contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AAPL250425C00100000,2025-04-16 16:50:54+00:00,100.0,97.3,103.85,104.2,0.0,0.0,10.0,18,1.0000000000000003e-05,True,REGULAR,USD,AAPL,1,2025-04-25,2025-04-23 13:00:34.020006,204.35000610351562
AAPL250425C00110000,2025-04-21 16:31:25+00:00,110.0,81.42,93.95,94.5,0.0,0.0,2.0,19,2.89844025390625,True,REGULAR,USD,AAPL,1,2025-04-25,2025-04-23 13:00:34.020006,204.35000610351562
AAPL250425C00120000,2025-04-21 16:31:25+00:00,120.0,71.45,83.7,84.2,0.0,0.0,2.0,65,1.0000000000000003e-05,True,REGULAR,USD,AAPL,1,2025-04-25,2025-04-23 13:00:34.020006,204.35000610351562
AAPL250425C00125000,2025-04-22 18:42:36+00:00,125.0,75.17,78.55,79.1,0.0,0.0,11.0,32,1.0000000000000003e-05,True,REGULAR,USD,AAPL,1,2025-04-25,2025-04-23 13:00:34.020006,204.35000610351562
AAPL250425C00126000,2025-04-17 14:56:35+00:00,126.0,70.13,77.85,78.2,0.0,0.0,4.0,7,1.0000000000000003e-05,True,REGULAR,USD,AAPL,1,2025-04-25,2025-04-23 13:00:34.020006,204.35000610351562
AAPL250425C00127000,2025-04-17 14:56:35+00:00,127.0,78.75,76.75,77.35,9.669998,13.99826,1.0,4,1.0000000000000003e-05,True,REGULAR,USD,AAPL,1,2025-04-25,2025-04-23 13:00:34.020006,204.35000610351562
AAPL250425C00128000,2025-04-21 13:52:58+00:00,128.0,65.33,76.0,76.5,0.0,0.0,7.0,7,2.2421918945312496,True,REGULAR,USD,AAPL,1,2025-04-25,2025-04-23 13:00:34.020006,204.35000610351562
AAPL250425C00129000,2025-04-21 13:52:58+00:00,129.0,77.65,74.75,75.35,13.380005,20.818432,1.0,7,1.0000000000000003e-05,True,REGULAR,USD,AAPL,1,2025-04-25,2025-04-23 13:00:34.020006,204.35000610351562
AAPL250425C00130000,2025-04-23 13:59:01+00:00,130.0,76.78,73.85,74.5,13.68,21.679874,14.0,120,2.175785810546875,True,REGULAR,USD,AAPL,1,2025-04-25,2025-04-23 13:00:34.020006,204.35000610351562
AAPL250425C00131000,2025-04-23 13:59:01+00:00,131.0,75.81,73.0,73.45,13.759998,22.175663,5.0,4,2.00781748046875,True,REGULAR,USD,AAPL,1,2025-04-25,2025-04-23 13:00:34.020006,204.35000610351562
AAPL250425C00132000,2025-04-23 13:59:01+00:00,132.0,75.12,72.0,72.45,13.560001,22.027292,4.0,4,1.9765626171875001,True,REGULAR,USD,AAPL,1,2025-04-25,2025-04-23 13:00:34.020006,204.35000610351562
AAPL250425C00133000,2025-04-23 14:46:43+00:00,133.0,74.74,70.9,71.35,14.209999,23.475962,8.0,4,1.0000000000000003e-05,True,REGULAR,USD,AAPL,1,2025-04-25,2025-04-23 13:00:34.020006,204.35000610351562
AAPL250425C00134000,2025-04-23 14:46:43+00:00,134.0,73.76,68.7,69.25,8.660004,13.302617,4.0,9,1.0000000000000003e-05,True,REGULAR,USD,AAPL,1,2025-04-25,2025-04-23 13:00:34.020006,204.35000610351562
AAPL250425C00135000,2025-04-23 14:46:43+00:00,135.0,72.72,69.0,69.45,8.920002,13.9811945,4.0,91,1.8828130859374999,True,REGULAR,USD,AAPL,1,2025-04-25,2025-04-23 13:00:34.020006,204.35000610351562
AAPL250425C00136000,2025-04-23 14:46:43+00:00,136.0,71.76,67.0,67.55,8.610001,13.634205,4.0,6,1.0000000000000003e-05,True,REGULAR,USD,AAPL,1,2025-04-25,2025-04-23 13:00:34.020006,204.35000610351562
AAPL250425C00138000,2025-04-22 17:25:05+00:00,138.0,60.8,65.95,66.55,0.0,0.0,1.0,5,2.0117237207031247,True,REGULAR,USD,AAPL,1,2025-04-25,2025-04-23 13:00:34.020006,204.35000610351562
AAPL250425C00140000,2025-04-23 15:21:55+00:00,140.0,66.5,63.2,63.6,13.75,26.06635,1.0,143,1.0000000000000003e-05,True,REGULAR,USD,AAPL,1,2025-04-25,2025-04-23 13:00:34.020006,204.35000610351562
