contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ABNB250425C00085000,2025-04-16 17:57:54+00:00,85.0,34.15,32.2,32.9,6.450001,23.2852,2.0,13,1.0000000000000003e-05,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00090000,2025-04-16 18:38:05+00:00,90.0,22.9,26.85,28.0,0.0,0.0,22.0,41,1.0000000000000003e-05,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00091000,2025-04-16 18:38:25+00:00,91.0,21.85,26.35,27.5,0.0,0.0,,7,1.818360283203125,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00093000,2025-04-16 17:58:26+00:00,93.0,19.55,24.6,25.75,0.0,0.0,,11,1.2851598242187499,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00095000,2025-04-21 19:18:55+00:00,95.0,15.82,22.1,22.75,0.0,0.0,4.0,4,1.0000000000000003e-05,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00097000,2025-04-21 17:55:51+00:00,97.0,13.47,20.3,21.7,0.0,0.0,2.0,2,1.5927754736328121,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00098000,2025-04-22 17:26:06+00:00,98.0,16.2,19.3,20.35,0.0,0.0,3.0,2,1.259769326171875,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00099000,2025-04-07 17:00:19+00:00,99.0,10.45,18.45,19.5,0.0,0.0,,12,1.3291049169921871,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00100000,2025-04-23 14:03:09+00:00,100.0,18.4,17.75,18.35,4.5699997,33.044106,6.0,18,1.1484417578125,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00101000,2025-04-22 15:58:42+00:00,101.0,13.4,16.15,17.4,0.0,0.0,1.0,14,1.1347699511718752,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00102000,2025-04-14 19:43:00+00:00,102.0,13.24,15.6,16.45,0.0,0.0,1.0,2,1.115238798828125,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00103000,2025-04-22 13:36:10+00:00,103.0,9.85,14.6,15.9,0.0,0.0,1.0,4,0.8906260937499999,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00104000,2025-04-09 19:53:48+00:00,104.0,19.0,13.0,14.2,0.0,0.0,1.0,3,0.7832052929687501,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00105000,2025-04-22 14:59:05+00:00,105.0,14.1,12.15,13.4,4.6000004,48.421055,1.0,36,0.9062509375,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00106000,2025-04-15 14:46:17+00:00,106.0,9.3,11.3,12.45,0.0,0.0,1.0,20,0.8818371191406249,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00107000,2025-04-22 19:37:34+00:00,107.0,13.9,10.05,11.3,6.1299996,78.89317,1.0,19,0.7236355761718749,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00108000,2025-04-22 19:37:34+00:00,108.0,13.9,9.4,10.5,7.1199994,105.01474,1.0,20,0.7919942675781251,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00109000,2025-04-22 19:11:19+00:00,109.0,6.38,8.6,9.4,0.0,0.0,1.0,16,0.6777375976562501,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00110000,2025-04-23 16:19:48+00:00,110.0,7.55,7.6,8.7,1.8600001,32.68893,6.0,152,0.7587914746093751,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00111000,2025-04-23 13:52:27+00:00,111.0,9.31,6.95,8.15,4.6100006,98.08512,9.0,53,0.63086306640625,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
ABNB250425C00112000,2025-04-23 16:22:56+00:00,112.0,5.73,5.6,7.15,2.16,60.504208,1.0,259,0.778322529296875,True,REGULAR,USD,ABNB,1,2025-04-25,2025-04-23 13:00:05.748360,117.91999816894531
