contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ABT250425C00085000,2025-04-23 13:34:45+00:00,85.0,47.46,43.45,44.8,1.2599983,2.727269,1.0,1,2.3125042187499996,True,REGULAR,USD,ABT,1,2025-04-25,2025-04-23 12:59:54.812215,129.6199951171875
ABT250425C00110000,2025-04-16 17:51:04+00:00,110.0,20.6,18.45,19.15,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,ABT,1,2025-04-25,2025-04-23 12:59:54.812215,129.6199951171875
ABT250425C00113000,2025-04-16 19:10:46+00:00,113.0,16.55,15.6,16.85,-0.70000076,-4.0579753,1.0,1,0.937500625,True,REGULAR,USD,ABT,1,2025-04-25,2025-04-23 12:59:54.812215,129.6199951171875
ABT250425C00115000,2025-04-16 19:18:11+00:00,115.0,15.2,13.15,14.55,0.0,0.0,2.0,3,1.0000000000000003e-05,True,REGULAR,USD,ABT,1,2025-04-25,2025-04-23 12:59:54.812215,129.6199951171875
ABT250425C00116000,2025-04-16 14:29:29+00:00,116.0,17.35,12.35,13.55,0.0,0.0,1.0,11,1.0000000000000003e-05,True,REGULAR,USD,ABT,1,2025-04-25,2025-04-23 12:59:54.812215,129.6199951171875
ABT250425C00117000,2025-04-09 15:05:14+00:00,117.0,8.15,11.5,13.1,0.0,0.0,1.0,3,0.8886729882812499,True,REGULAR,USD,ABT,1,2025-04-25,2025-04-23 12:59:54.812215,129.6199951171875
ABT250425C00118000,2025-04-15 16:36:14+00:00,118.0,8.95,10.5,12.1,0.0,0.0,1.0,2,0.8339860351562498,True,REGULAR,USD,ABT,1,2025-04-25,2025-04-23 12:59:54.812215,129.6199951171875
ABT250425C00119000,2025-04-09 15:16:12+00:00,119.0,7.1,9.45,11.1,0.0,0.0,,3,0.778322529296875,True,REGULAR,USD,ABT,1,2025-04-25,2025-04-23 12:59:54.812215,129.6199951171875
ABT250425C00120000,2025-04-22 16:11:01+00:00,120.0,11.67,8.45,10.85,0.0,0.0,1.0,10,0.9960937890625,True,REGULAR,USD,ABT,1,2025-04-25,2025-04-23 12:59:54.812215,129.6199951171875
ABT250425C00121000,2025-04-17 14:03:18+00:00,121.0,10.53,7.4,9.15,0.0,0.0,1.0,15,0.6870148486328126,True,REGULAR,USD,ABT,1,2025-04-25,2025-04-23 12:59:54.812215,129.6199951171875
ABT250425C00122000,2025-04-23 14:17:02+00:00,122.0,7.44,6.45,8.2,0.07000017,0.9497988,5.0,23,0.648441015625,True,REGULAR,USD,ABT,1,2025-04-25,2025-04-23 12:59:54.812215,129.6199951171875
ABT250425C00123000,2025-04-21 19:26:31+00:00,123.0,6.45,5.7,6.3,0.01999998,0.3110417,5.0,22,1.0000000000000003e-05,True,REGULAR,USD,ABT,1,2025-04-25,2025-04-23 12:59:54.812215,129.6199951171875
