contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ACGL250516C00070000,2025-04-23 15:53:35+00:00,70.0,22.7,22.4,23.2,-1.0,-4.219409,5.0,147.0,0.729494892578125,1.0,REGULAR,USD,ACGL,1,2025-05-16,2025-04-23 13:00:37.840149,92.33999633789062
ACGL250516C00075000,2025-03-17 16:37:47+00:00,75.0,20.04,17.5,20.3,0.0,0.0,1.0,1.0,0.8344743115234373,1.0,REGULAR,USD,ACGL,1,2025-05-16,2025-04-23 13:00:37.840149,92.33999633789062
ACGL250516C00080000,2025-02-11 16:19:39+00:00,80.0,11.5,12.0,16.0,0.0,0.0,,4.0,0.6691927612304689,1.0,REGULAR,USD,ACGL,1,2025-05-16,2025-04-23 13:00:37.840149,92.33999633789062
ACGL250516C00085000,2025-04-07 17:45:58+00:00,85.0,5.2,7.9,8.7,0.0,0.0,1.0,33.0,0.4419001123046875,1.0,REGULAR,USD,ACGL,1,2025-05-16,2025-04-23 13:00:37.840149,92.33999633789062
ACGL250516C00090000,2025-04-23 15:13:49+00:00,90.0,4.9,4.3,4.7,0.4500003,10.112367,3.0,59.0,0.36499658447265626,1.0,REGULAR,USD,ACGL,1,2025-05-16,2025-04-23 13:00:37.840149,92.33999633789062
ACGL250516C00095000,2025-04-23 15:06:15+00:00,95.0,2.03,1.5,2.05,-0.35000014,-14.705888,2.0,275.0,0.3347234497070312,0.0,REGULAR,USD,ACGL,1,2025-05-16,2025-04-23 13:00:37.840149,92.33999633789062
ACGL250516C00100000,2025-04-22 19:59:19+00:00,100.0,0.7,0.0,0.85,0.0,0.0,13.0,177.0,0.344733115234375,0.0,REGULAR,USD,ACGL,1,2025-05-16,2025-04-23 13:00:37.840149,92.33999633789062
ACGL250516C00105000,2025-04-22 18:01:32+00:00,105.0,0.13,0.0,0.9,0.0,0.0,4.0,154.0,0.4753470434570312,0.0,REGULAR,USD,ACGL,1,2025-05-16,2025-04-23 13:00:37.840149,92.33999633789062
ACGL250516C00110000,2025-04-17 14:18:14+00:00,110.0,0.17,0.0,0.2,-0.21,-55.263157,14.0,137.0,0.4057676611328125,0.0,REGULAR,USD,ACGL,1,2025-05-16,2025-04-23 13:00:37.840149,92.33999633789062
ACGL250516C00115000,2025-02-20 17:01:04+00:00,115.0,0.2,0.0,2.15,0.0,0.0,1.0,24.0,0.7172879833984375,0.0,REGULAR,USD,ACGL,1,2025-05-16,2025-04-23 13:00:37.840149,92.33999633789062
ACGL250516C00120000,2024-11-14 17:47:15+00:00,120.0,1.49,0.25,1.65,0.0,0.0,1.0,0.0,0.7832052929687501,0.0,REGULAR,USD,ACGL,1,2025-05-16,2025-04-23 13:00:37.840149,92.33999633789062
ACGL250516P00065000,2024-12-16 05:00:49+00:00,65.0,0.52,0.05,2.4,0.0,0.0,,1.0,1.1308637207031251,0.0,REGULAR,USD,ACGL,0,2025-05-16,2025-04-23 13:00:37.841156,92.33999633789062
ACGL250516P00070000,2025-03-11 17:45:18+00:00,70.0,0.37,0.1,1.65,0.0,0.0,5.0,13.0,0.8579115771484375,0.0,REGULAR,USD,ACGL,0,2025-05-16,2025-04-23 13:00:37.841156,92.33999633789062
ACGL250516P00075000,2025-04-11 18:17:56+00:00,75.0,0.6,0.0,1.7,0.0,0.0,2.0,6.0,0.6860382958984376,0.0,REGULAR,USD,ACGL,0,2025-05-16,2025-04-23 13:00:37.841156,92.33999633789062
ACGL250516P00080000,2025-04-22 16:55:30+00:00,80.0,0.43,0.0,1.6,0.0,0.0,1.0,15.0,0.5151415673828125,0.0,REGULAR,USD,ACGL,0,2025-05-16,2025-04-23 13:00:37.841156,92.33999633789062
ACGL250516P00085000,2025-04-23 15:33:00+00:00,85.0,0.9,0.65,1.15,0.01999998,2.272725,2.0,175.0,0.411138701171875,0.0,REGULAR,USD,ACGL,0,2025-05-16,2025-04-23 13:00:37.841156,92.33999633789062
ACGL250516P00090000,2025-04-23 15:23:03+00:00,90.0,2.05,1.9,2.3,0.049999952,2.4999976,11.0,110.0,0.358404853515625,0.0,REGULAR,USD,ACGL,0,2025-05-16,2025-04-23 13:00:37.841156,92.33999633789062
ACGL250516P00095000,2025-04-23 16:08:34+00:00,95.0,4.4,4.0,4.7,0.60000014,15.789478,4.0,119.0,0.3336248278808594,1.0,REGULAR,USD,ACGL,0,2025-05-16,2025-04-23 13:00:37.841156,92.33999633789062
ACGL250516P00100000,2025-04-07 14:16:59+00:00,100.0,12.45,7.5,8.5,0.0,0.0,2.0,18.0,0.34326828613281246,1.0,REGULAR,USD,ACGL,0,2025-05-16,2025-04-23 13:00:37.841156,92.33999633789062
ACGL250516P00105000,2025-04-03 18:22:59+00:00,105.0,9.1,10.8,13.0,0.0,0.0,2.0,0.0,0.36035795898437495,1.0,REGULAR,USD,ACGL,0,2025-05-16,2025-04-23 13:00:37.841156,92.33999633789062
ACGL250620C00070000,2025-02-10 17:40:15+00:00,70.0,23.6,18.9,22.7,0.0,0.0,,1.0,0.44043528320312497,1.0,REGULAR,USD,ACGL,1,2025-06-20,2025-04-23 13:00:37.896318,92.33999633789062
ACGL250620C00085000,2024-12-16 05:00:48+00:00,85.0,17.0,12.3,14.6,0.0,0.0,,2.0,0.6578403356933593,1.0,REGULAR,USD,ACGL,1,2025-06-20,2025-04-23 13:00:37.896318,92.33999633789062
ACGL250620C00090000,2025-04-17 18:26:36+00:00,90.0,7.0,5.6,7.1,0.0,0.0,2.0,9.0,0.4008848974609375,1.0,REGULAR,USD,ACGL,1,2025-06-20,2025-04-23 13:00:37.896318,92.33999633789062
ACGL250620C00095000,2025-04-22 14:37:58+00:00,95.0,3.2,3.0,3.5,0.0,0.0,6.0,41.0,0.31372756591796874,0.0,REGULAR,USD,ACGL,1,2025-06-20,2025-04-23 13:00:37.896318,92.33999633789062
ACGL250620C00100000,2025-04-23 15:00:18+00:00,100.0,1.78,1.4,1.95,0.42999995,31.851849,2.0,414.0,0.3145820495605468,0.0,REGULAR,USD,ACGL,1,2025-06-20,2025-04-23 13:00:37.896318,92.33999633789062
ACGL250620C00105000,2025-04-03 13:34:48+00:00,105.0,1.4,0.0,2.1,0.0,0.0,3.0,119.0,0.41699801757812494,0.0,REGULAR,USD,ACGL,1,2025-06-20,2025-04-23 13:00:37.896318,92.33999633789062
ACGL250620C00110000,2025-04-16 14:38:06+00:00,110.0,0.4,0.0,2.0,0.0,0.0,4.0,35.0,0.4870656762695313,0.0,REGULAR,USD,ACGL,1,2025-06-20,2025-04-23 13:00:37.896318,92.33999633789062
ACGL250620C00115000,2025-02-06 17:54:40+00:00,115.0,0.74,0.0,2.35,0.0,0.0,3.0,17.0,0.5915568188476563,0.0,REGULAR,USD,ACGL,1,2025-06-20,2025-04-23 13:00:37.896318,92.33999633789062
ACGL250620C00120000,2025-01-28 20:53:11+00:00,120.0,0.41,0.0,2.3,0.0,0.0,2.0,25.0,0.5261277856445312,0.0,REGULAR,USD,ACGL,1,2025-06-20,2025-04-23 13:00:37.896318,92.33999633789062
ACGL250620C00125000,2024-11-01 17:07:45+00:00,125.0,2.6,0.0,1.8,0.0,0.0,15.0,0.0,0.5459029785156251,0.0,REGULAR,USD,ACGL,1,2025-06-20,2025-04-23 13:00:37.896318,92.33999633789062
ACGL250620P00045000,2025-01-10 15:08:56+00:00,45.0,0.1,0.0,0.6,0.0,0.0,1.0,1.0,0.9609378906249999,0.0,REGULAR,USD,ACGL,0,2025-06-20,2025-04-23 13:00:37.897306,92.33999633789062
