contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ACN250425C00250000,2025-04-11 13:38:56+00:00,250.0,32.8,36.9,40.3,0.0,0.0,,1,1.119145029296875,True,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00265000,2025-04-17 13:30:03+00:00,265.0,21.5,22.4,25.5,0.0,0.0,1.0,1,0.8032246240234374,True,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00270000,2025-04-09 18:28:02+00:00,270.0,28.7,17.6,20.5,0.0,0.0,4.0,1,0.6772493212890626,True,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00275000,2025-04-11 17:05:05+00:00,275.0,14.1,13.2,15.9,0.0,0.0,,65,0.6108437353515627,True,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00277500,2025-04-22 13:55:40+00:00,277.5,18.5,9.9,11.7,12.0,184.61539,1.0,92,1.0000000000000003e-05,True,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00280000,2025-04-22 19:56:15+00:00,280.0,7.55,8.7,9.4,0.0,0.0,5.0,95,0.148446015625,True,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00282500,2025-04-23 14:35:39+00:00,282.5,10.4,7.1,8.1,5.2999997,103.92157,13.0,216,0.3549869189453124,True,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00285000,2025-04-23 14:35:06+00:00,285.0,8.75,4.7,6.2,5.15,143.05556,22.0,55,0.3452213916015625,True,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00287500,2025-04-22 19:47:55+00:00,287.5,9.33,2.9,3.9,6.58,239.27272,3.0,95,0.27368890380859373,True,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00290000,2025-04-23 14:30:34+00:00,290.0,2.73,2.15,3.3,1.4200001,108.39695,7.0,56,0.34326828613281246,False,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00292500,2025-04-23 15:50:40+00:00,292.5,1.68,1.2,2.0,0.67999995,67.99999,9.0,59,0.3161689477539062,False,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00295000,2025-04-23 15:29:27+00:00,295.0,1.6,0.65,1.1,0.8,100.0,617.0,802,0.2971261694335937,False,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00297500,2025-04-23 15:53:38+00:00,297.5,0.6,0.35,0.7,0.0,0.0,11.0,52,0.3086006640625,False,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00300000,2025-04-23 13:51:01+00:00,300.0,1.85,0.1,0.45,1.45,362.50003,556.0,101,0.3217841259765625,False,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00302500,2025-04-22 18:50:35+00:00,302.5,0.15,0.0,1.05,0.0,0.0,3.0,26,0.4821829125976563,False,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00305000,2025-04-23 15:00:36+00:00,305.0,0.3,0.0,0.25,0.16000001,114.28573,24.0,22,0.36963520996093746,False,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00307500,2025-04-17 14:58:21+00:00,307.5,0.12,0.0,0.3,0.0,0.0,20.0,9,0.43066975585937506,False,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00310000,2025-04-22 19:27:58+00:00,310.0,0.15,0.0,0.15,0.120000005,399.99997,1.0,34,0.415044912109375,False,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00312500,2025-04-17 14:36:59+00:00,312.5,0.25,0.0,0.5,0.049999997,24.999998,2.0,12,0.57812921875,False,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00315000,2025-04-23 13:43:43+00:00,315.0,0.25,0.0,0.15,0.15,150.00002,3.0,89,0.4931691308593751,False,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00320000,2025-04-22 15:24:27+00:00,320.0,0.1,0.0,0.6,0.0,0.0,1.0,93,0.64062859375,False,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00325000,2025-04-22 14:26:28+00:00,325.0,0.33,0.0,1.4,0.0,0.0,1.0,82,0.8544936425781251,False,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00330000,2025-04-22 15:50:58+00:00,330.0,0.16,0.0,1.35,0.0,0.0,5.0,129,0.9321295849609376,False,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00335000,2025-04-03 14:49:44+00:00,335.0,0.75,0.0,1.5,0.0,0.0,2.0,211,1.0361376318359379,False,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00340000,2025-04-11 14:13:16+00:00,340.0,1.13,0.0,1.35,0.0,0.0,4.0,6,1.091801416015625,False,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00345000,2025-03-19 14:19:54+00:00,345.0,6.7,0.0,0.65,0.0,0.0,2.0,3,1.021489267578125,False,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
ACN250425C00350000,2025-03-13 16:41:26+00:00,350.0,4.9,0.0,2.15,0.0,0.0,,3,1.369143779296875,False,REGULAR,USD,ACN,1,2025-04-25,2025-04-23 12:59:57.217104,289.3900146484375
