contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ADI250425C00116000,2025-04-14 15:27:17+00:00,116.0,63.2,66.8,69.2,0.0,0.0,,1,1.75000125,True,REGULAR,USD,ADI,1,2025-04-25,2025-04-23 13:00:29.314333,185.19000244140625
ADI250425C00134000,2025-04-15 16:57:38+00:00,134.0,53.4,49.0,51.8,7.5,16.339869,5.0,1,2.145512448730469,True,REGULAR,USD,ADI,1,2025-04-25,2025-04-23 13:00:29.314333,185.19000244140625
ADI250425C00135000,2025-04-10 14:59:13+00:00,135.0,47.65,47.8,50.8,0.0,0.0,,2,2.1035203662109367,True,REGULAR,USD,ADI,1,2025-04-25,2025-04-23 13:00:29.314333,185.19000244140625
ADI250425C00150000,2025-04-23 15:04:55+00:00,150.0,36.07,32.8,36.1,4.34,13.677908,7.0,2,1.656739997558594,True,REGULAR,USD,ADI,1,2025-04-25,2025-04-23 13:00:29.314333,185.19000244140625
ADI250425C00157500,2025-04-14 19:20:17+00:00,157.5,24.7,25.2,28.4,0.0,0.0,,6,1.2700231811523435,True,REGULAR,USD,ADI,1,2025-04-25,2025-04-23 13:00:29.314333,185.19000244140625
ADI250425C00160000,2025-04-07 15:14:33+00:00,160.0,18.9,22.5,25.9,0.0,0.0,,1,1.173832255859375,True,REGULAR,USD,ADI,1,2025-04-25,2025-04-23 13:00:29.314333,185.19000244140625
ADI250425C00165000,2025-04-21 14:01:10+00:00,165.0,9.5,17.8,21.0,0.0,0.0,2.0,12,1.0166064794921876,True,REGULAR,USD,ADI,1,2025-04-25,2025-04-23 13:00:29.314333,185.19000244140625
ADI250425C00167500,2025-04-22 17:26:06+00:00,167.5,11.9,15.9,18.7,0.0,0.0,1.0,1,0.9794923925781251,True,REGULAR,USD,ADI,1,2025-04-25,2025-04-23 13:00:29.314333,185.19000244140625
ADI250425C00170000,2025-04-22 17:26:00+00:00,170.0,9.3,13.3,15.6,0.0,0.0,1.0,5,0.6796907031250001,True,REGULAR,USD,ADI,1,2025-04-25,2025-04-23 13:00:29.314333,185.19000244140625
ADI250425C00172500,2025-04-22 18:04:38+00:00,172.5,7.5,12.3,14.3,0.0,0.0,1.0,104,0.6577182666015625,True,REGULAR,USD,ADI,1,2025-04-25,2025-04-23 13:00:29.314333,185.19000244140625
ADI250425C00175000,2025-04-23 13:39:32+00:00,175.0,11.86,9.8,11.7,6.5099998,121.68224,5.0,30,0.5459029785156251,True,REGULAR,USD,ADI,1,2025-04-25,2025-04-23 13:00:29.314333,185.19000244140625
ADI250425C00177500,2025-04-22 19:31:53+00:00,177.5,9.1,7.7,10.1,5.1000004,127.50001,5.0,154,0.5961954443359375,True,REGULAR,USD,ADI,1,2025-04-25,2025-04-23 13:00:29.314333,185.19000244140625
ADI250425C00180000,2025-04-23 15:02:37+00:00,180.0,7.45,6.6,7.1,4.8199997,183.26994,204.0,283,0.5585981640625001,True,REGULAR,USD,ADI,1,2025-04-25,2025-04-23 13:00:29.314333,185.19000244140625
ADI250425C00182500,2025-04-22 19:39:19+00:00,182.5,1.91,5.1,5.5,0.0,0.0,141.0,178,0.5722699023437501,True,REGULAR,USD,ADI,1,2025-04-25,2025-04-23 13:00:29.314333,185.19000244140625
ADI250425C00185000,2025-04-23 16:01:57+00:00,185.0,4.05,3.8,4.2,2.4,145.45454,44.0,96,0.5832561206054687,True,REGULAR,USD,ADI,1,2025-04-25,2025-04-23 13:00:29.314333,185.19000244140625
ADI250425C00187500,2025-04-23 15:41:35+00:00,187.5,3.5,2.6,3.0,2.66,316.6667,34.0,86,0.5705609350585938,False,REGULAR,USD,ADI,1,2025-04-25,2025-04-23 13:00:29.314333,185.19000244140625
ADI250425C00190000,2025-04-23 16:13:35+00:00,190.0,1.8,1.7,2.25,1.4,350.00003,53.0,75,0.5776409423828125,False,REGULAR,USD,ADI,1,2025-04-25,2025-04-23 13:00:29.314333,185.19000244140625
ADI250425C00192500,2025-04-16 19:08:44+00:00,192.5,2.15,1.05,1.5,1.9000001,760.00006,1.0,32,0.5688519677734375,False,REGULAR,USD,ADI,1,2025-04-25,2025-04-23 13:00:29.314333,185.19000244140625
ADI250425C00195000,2025-04-23 14:42:08+00:00,195.0,1.4,0.6,0.95,1.35,2700.0027,13.0,76,0.5590864404296876,False,REGULAR,USD,ADI,1,2025-04-25,2025-04-23 13:00:29.314333,185.19000244140625
