contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ADM250425C00037000,2025-04-17 15:31:06+00:00,37.0,10.2,10.7,11.0,0.0,0.0,3.0,5.0,1.4921900390624998,1.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00038000,2025-04-10 15:57:49+00:00,38.0,6.2,9.9,10.1,0.0,0.0,,21.0,1.359378203125,1.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00039000,2025-03-21 19:00:52+00:00,39.0,8.06,0.0,0.0,0.0,0.0,6.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00042000,2025-04-22 15:08:50+00:00,42.0,6.95,5.6,6.8,0.0,0.0,10.0,18.0,1.193363408203125,1.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00042500,2025-04-11 13:50:25+00:00,42.5,3.3,4.4,7.4,0.0,0.0,,4.0,1.3359408203124996,1.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00043000,2025-04-14 17:56:53+00:00,43.0,3.87,4.4,6.3,0.0,0.0,1.0,7.0,1.19922275390625,1.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00043500,2025-04-23 13:30:03+00:00,43.5,5.1,4.3,5.7,1.3299999,35.278515,1.0,11.0,1.2500037499999999,1.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00044000,2025-04-17 15:44:14+00:00,44.0,3.6,3.8,4.1,0.0,0.0,10.0,53.0,0.7578149218750001,1.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00044500,2025-04-22 14:20:01+00:00,44.5,4.0,3.3,4.1,-0.3000002,-6.9767485,1.0,14.0,0.7949239257812499,1.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00045000,2025-04-23 14:09:19+00:00,45.0,3.0,2.9,3.3,-0.5,-14.285714,13.0,27.0,0.6093789062500001,1.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00045500,2025-04-11 19:50:06+00:00,45.5,1.8,1.95,3.1,0.0,0.0,,11.0,0.9423833886718749,1.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00046000,2025-04-22 17:02:57+00:00,46.0,3.07,1.95,2.2,0.0,0.0,15.0,102.0,0.5429733203125001,1.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00046500,2025-04-23 14:11:04+00:00,46.5,3.08,1.45,1.95,1.4399999,87.80488,5.0,37.0,0.632816171875,1.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00047000,2025-04-23 15:13:16+00:00,47.0,1.4,1.05,1.3,-0.65,-31.707317,1.0,206.0,0.428716650390625,1.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00047500,2025-04-22 17:24:57+00:00,47.5,0.95,0.65,1.0,-0.51000005,-34.931507,1.0,64.0,0.44043528320312497,1.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00048000,2025-04-23 14:10:51+00:00,48.0,0.65,0.5,0.7,-0.65,-50.0,16.0,123.0,0.42090422851562503,0.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00048500,2025-04-23 13:57:27+00:00,48.5,0.9,0.3,0.4,0.19999999,28.571426,4.0,45.0,0.36817038085937503,0.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00049000,2025-04-22 19:51:34+00:00,49.0,0.46,0.05,0.3,0.0,0.0,16.0,97.0,0.40332627929687503,0.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00049500,2025-04-23 14:45:19+00:00,49.5,0.26,0.1,0.2,-0.030000001,-10.344828,5.0,104.0,0.414068359375,0.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00050000,2025-04-22 19:50:33+00:00,50.0,0.13,0.0,0.15,-0.040000007,-23.529415,6.0,202.0,0.44336494140625,0.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00051000,2025-04-22 16:04:06+00:00,51.0,0.09,0.0,0.55,0.0,0.0,9.0,157.0,0.70117486328125,0.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00052000,2025-04-22 19:33:29+00:00,52.0,0.05,0.0,1.35,0.0,0.0,4.0,80.0,1.169926025390625,0.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00053000,2025-04-22 19:33:02+00:00,53.0,0.04,0.0,0.05,0.0,0.0,4.0,38.0,0.570316796875,0.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00054000,2025-03-17 15:05:36+00:00,54.0,0.18,0.0,0.0,0.0,0.0,1.0,0.0,0.2500075,0.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00055000,2025-04-21 19:55:41+00:00,55.0,0.05,0.0,0.2,0.0,0.0,1.0,26.0,0.9414068359375,0.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00056000,2025-04-04 13:30:02+00:00,56.0,0.15,0.0,0.05,0.0,0.0,1.0,1.0,0.8125018749999999,0.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00057000,2025-04-01 17:50:34+00:00,57.0,0.2,0.0,0.05,0.0,0.0,1.0,1557.0,0.8906260937499999,0.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00060000,2025-03-13 14:22:54+00:00,60.0,0.1,0.0,0.5,0.0,0.0,,2.0,1.673829755859375,0.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425C00065000,2025-03-07 15:16:10+00:00,65.0,0.13,0.0,0.0,0.0,0.0,10.0,10.0,0.500005,0.0,REGULAR,USD,ADM,1,2025-04-25,2025-04-23 13:00:38.484130,47.939998626708984
ADM250425P00035000,2025-04-04 13:32:04+00:00,35.0,0.05,0.0,0.05,0.0,0.0,1.0,1.0,1.5468772656249998,0.0,REGULAR,USD,ADM,0,2025-04-25,2025-04-23 13:00:38.486136,47.939998626708984
ADM250425P00036000,2025-04-14 14:18:40+00:00,36.0,0.06,0.0,0.7,0.0,0.0,2.0,6.0,2.3242229394531244,0.0,REGULAR,USD,ADM,0,2025-04-25,2025-04-23 13:00:38.486136,47.939998626708984
ADM250425P00037000,2025-04-11 13:46:54+00:00,37.0,0.3,0.0,0.55,0.0,0.0,,47.0,2.02344244140625,0.0,REGULAR,USD,ADM,0,2025-04-25,2025-04-23 13:00:38.486136,47.939998626708984
ADM250425P00038000,2025-04-10 17:33:26+00:00,38.0,0.46,0.0,1.3,0.0,0.0,1.0,7.0,2.3691447021484366,0.0,REGULAR,USD,ADM,0,2025-04-25,2025-04-23 13:00:38.486136,47.939998626708984
