contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ADSK250425C00160000,2025-04-10 16:05:44+00:00,160.0,91.5,103.4,108.8,0.0,0.0,,1,3.064455463867187,True,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00165000,2025-04-07 14:11:00+00:00,165.0,79.9,97.8,103.5,0.0,0.0,,1,2.513675590820312,True,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00220000,2025-04-17 16:35:24+00:00,220.0,40.61,43.2,48.6,0.0,0.0,4.0,4,1.2543982592773437,True,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00222500,2025-04-07 14:13:32+00:00,222.5,30.1,40.7,46.0,0.0,0.0,,1,1.169926025390625,True,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00230000,2025-04-17 17:21:35+00:00,230.0,31.69,33.5,38.7,0.0,0.0,1.0,1,1.0781296093750001,True,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00245000,2025-04-16 18:00:07+00:00,245.0,17.9,18.1,23.2,0.0,0.0,,9,0.5585981640625001,True,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00250000,2025-04-11 14:00:00+00:00,250.0,14.56,13.8,16.9,0.0,0.0,4.0,5,0.7065459033203125,True,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00255000,2025-04-23 13:32:12+00:00,255.0,12.5,9.4,12.0,5.56,80.11527,1.0,49,0.5647016186523439,True,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00257500,2025-04-22 18:01:49+00:00,257.5,4.6,6.5,8.5,0.0,0.0,3.0,10,0.33350275878906255,True,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00260000,2025-04-23 14:49:07+00:00,260.0,10.13,5.4,6.2,5.33,111.041664,3.0,51,0.28955788574218744,True,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00262500,2025-04-22 19:47:16+00:00,262.5,6.2,3.6,4.8,3.1999998,106.66666,1.0,123,0.33399103515625,True,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00265000,2025-04-22 15:48:06+00:00,265.0,3.55,2.35,3.1,2.24,170.99237,4.0,88,0.305671005859375,True,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00267500,2025-04-22 16:24:10+00:00,267.5,3.71,1.35,2.9,2.13,134.81015,1.0,8,0.4035704174804688,False,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00270000,2025-04-23 13:52:29+00:00,270.0,2.88,0.3,1.3,2.43,539.99994,2.0,41,0.31909860595703116,False,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00272500,2025-04-17 14:04:43+00:00,272.5,1.66,0.25,1.2,0.42999995,34.959347,2.0,10,0.38477177734374995,False,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00275000,2025-04-22 17:44:47+00:00,275.0,0.2,0.1,0.85,0.0,0.0,3.0,70,0.4023497265625,False,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00277500,2025-04-15 19:51:30+00:00,277.5,1.58,0.0,2.95,0.0,0.0,,4,0.567387138671875,False,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00280000,2025-04-22 14:18:54+00:00,280.0,0.15,0.0,0.7,0.0,0.0,1.0,22,0.4975636181640626,False,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00285000,2025-04-16 18:13:16+00:00,285.0,0.27,0.0,1.5,0.0,0.0,1.0,12,0.6210975390625001,False,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00287500,2025-04-15 19:51:30+00:00,287.5,0.58,0.0,0.5,0.0,0.0,,1,0.52539537109375,False,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00290000,2025-04-17 16:35:24+00:00,290.0,0.48,0.0,1.5,0.0,0.0,1.0,12,0.7270535107421875,False,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00295000,2025-04-01 15:27:19+00:00,295.0,0.6,0.0,1.5,0.0,0.0,2.0,6,0.8281267187499999,False,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00300000,2025-04-17 15:32:53+00:00,300.0,0.1,0.0,1.5,0.0,0.0,1.0,1,0.9248054394531251,False,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425C00305000,2025-04-01 17:13:41+00:00,305.0,0.27,0.0,1.5,0.0,0.0,12.0,14,1.017583037109375,False,REGULAR,USD,ADSK,1,2025-04-25,2025-04-23 13:00:45.313989,265.3299865722656
ADSK250425P00165000,2025-04-07 15:09:02+00:00,165.0,0.65,0.0,1.6,0.0,0.0,,1,2.9218776953125003,False,REGULAR,USD,ADSK,0,2025-04-25,2025-04-23 13:00:45.315994,265.3299865722656
ADSK250425P00170000,2025-04-07 15:09:22+00:00,170.0,0.7,0.0,1.6,0.0,0.0,,2,2.7636749658203126,False,REGULAR,USD,ADSK,0,2025-04-25,2025-04-23 13:00:45.315994,265.3299865722656
ADSK250425P00175000,2025-04-07 15:09:02+00:00,175.0,0.9,0.0,1.6,0.0,0.0,,1,2.6084019165039063,False,REGULAR,USD,ADSK,0,2025-04-25,2025-04-23 13:00:45.315994,265.3299865722656
ADSK250425P00195000,2025-03-12 19:50:10+00:00,195.0,2.65,0.05,3.2,0.0,0.0,,50,2.3588908215332025,False,REGULAR,USD,ADSK,0,2025-04-25,2025-04-23 13:00:45.315994,265.3299865722656
