contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AEP250516C00060000,2025-04-07 14:13:12+00:00,60.0,44.2,45.0,47.7,0.0,0.0,2.0,7,1.2636755566406248,True,REGULAR,USD,AEP,1,2025-05-16,2025-04-23 13:00:20.823016,105.94000244140625
AEP250516C00070000,2024-12-27 16:04:59+00:00,70.0,22.81,26.0,30.9,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,AEP,1,2025-05-16,2025-04-23 13:00:20.823016,105.94000244140625
AEP250516C00085000,2025-04-21 18:22:00+00:00,85.0,20.24,20.6,22.9,0.0,0.0,1.0,58,0.6792024267578126,True,REGULAR,USD,AEP,1,2025-05-16,2025-04-23 13:00:20.823016,105.94000244140625
AEP250516C00090000,2025-04-22 14:35:57+00:00,90.0,16.7,15.5,16.8,0.0,0.0,2.0,1121,0.5532271240234375,True,REGULAR,USD,AEP,1,2025-05-16,2025-04-23 13:00:20.823016,105.94000244140625
AEP250516C00095000,2025-04-14 19:09:32+00:00,95.0,12.58,10.8,11.7,0.0,0.0,11.0,165,0.39990834472656256,True,REGULAR,USD,AEP,1,2025-05-16,2025-04-23 13:00:20.823016,105.94000244140625
AEP250516C00100000,2025-04-23 16:12:04+00:00,100.0,6.92,6.4,6.6,-1.6300001,-19.06433,30.0,549,0.24951922363281248,True,REGULAR,USD,AEP,1,2025-05-16,2025-04-23 13:00:20.823016,105.94000244140625
AEP250516C00105000,2025-04-23 16:25:19+00:00,105.0,2.86,2.75,3.0,-1.5899999,-35.730335,17.0,1511,0.23194127441406248,True,REGULAR,USD,AEP,1,2025-05-16,2025-04-23 13:00:20.823016,105.94000244140625
AEP250516C00110000,2025-04-23 15:41:39+00:00,110.0,0.86,0.55,0.85,-0.84000003,-49.411762,135.0,2111,0.21192194335937498,False,REGULAR,USD,AEP,1,2025-05-16,2025-04-23 13:00:20.823016,105.94000244140625
AEP250516C00115000,2025-04-23 16:10:00+00:00,115.0,0.15,0.0,0.25,-0.16999999,-53.124996,587.0,3050,0.231452998046875,False,REGULAR,USD,AEP,1,2025-05-16,2025-04-23 13:00:20.823016,105.94000244140625
AEP250516C00120000,2025-04-22 15:02:39+00:00,120.0,0.06,0.0,0.4,0.0,0.0,2.0,1811,0.3544986425781249,False,REGULAR,USD,AEP,1,2025-05-16,2025-04-23 13:00:20.823016,105.94000244140625
AEP250516C00125000,2024-12-16 05:08:00+00:00,125.0,0.25,0.0,2.2,0.0,0.0,,3,0.5730023168945313,False,REGULAR,USD,AEP,1,2025-05-16,2025-04-23 13:00:20.823016,105.94000244140625
