contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AES250516C00005000,2025-04-09 14:43:35+00:00,5.0,5.2,4.9,5.6,0.0,0.0,4.0,6,1.953125234375,True,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00007000,2025-04-23 14:11:38+00:00,7.0,3.3,3.0,3.2,0.6299999,23.5955,97.0,255,1.0078174609375,True,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00008000,2025-04-23 15:43:44+00:00,8.0,2.2,2.05,2.15,0.35000002,18.91892,3.0,866,0.5468795312500001,True,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00009000,2025-04-23 14:27:43+00:00,9.0,1.47,1.15,1.25,0.38,34.862385,17.0,348,0.5097705273437501,True,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00010000,2025-04-23 15:50:15+00:00,10.0,0.55,0.5,0.6,0.07000002,14.583339,204.0,4970,0.5195360546875,True,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00011000,2025-04-23 16:12:25+00:00,11.0,0.18,0.15,0.2,0.02000001,13.333341,786.0,5069,0.48633326171875,False,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00012000,2025-04-23 16:10:31+00:00,12.0,0.05,0.0,0.1,0.0,0.0,86.0,3642,0.5742230078125,False,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00013000,2025-04-23 15:27:36+00:00,13.0,0.05,0.0,0.05,0.020000001,66.66668,271.0,9145,0.5546919531250001,False,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00014000,2025-04-22 16:17:02+00:00,14.0,0.05,0.0,0.05,0.0,0.0,34.0,6755,0.6796907031250001,False,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00015000,2025-04-21 19:25:33+00:00,15.0,0.03,0.0,0.05,0.0,0.0,1.0,11975,0.789064609375,False,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00016000,2025-04-22 17:26:37+00:00,16.0,0.01,0.0,0.05,-0.02,-66.66667,1.0,3143,0.8906260937499999,False,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00017000,2025-04-08 13:54:09+00:00,17.0,0.03,0.0,0.05,0.0,0.0,2.0,390,0.98437515625,False,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00018000,2025-04-15 19:00:37+00:00,18.0,0.02,0.0,0.2,0.0,0.0,5.0,595,1.37109689453125,False,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00019000,2025-03-28 16:33:32+00:00,19.0,0.03,0.0,0.05,0.0,0.0,1.0,2675,1.15625421875,False,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00020000,2025-04-07 13:30:02+00:00,20.0,0.05,0.0,0.1,0.0,0.0,1.0,261,1.3750031249999999,False,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00021000,2025-01-30 18:55:54+00:00,21.0,0.03,0.0,0.75,0.0,0.0,7.0,30,2.2070357324218746,False,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00022000,2024-11-14 20:49:42+00:00,22.0,0.1,0.0,1.35,0.0,0.0,12.0,1197,2.72656568359375,False,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00023000,2024-11-27 14:40:29+00:00,23.0,0.1,0.0,1.35,0.0,0.0,1.0,41,2.816409208984375,False,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00024000,2024-12-16 05:08:27+00:00,24.0,0.8,0.0,0.1,0.0,0.0,1.0,2,1.65625171875,False,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00025000,2025-03-07 18:12:29+00:00,25.0,0.03,0.0,0.0,0.0,0.0,1.0,27,0.500005,False,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00026000,2024-12-16 05:08:28+00:00,26.0,0.39,0.1,0.9,0.0,0.0,,1,2.810549848632813,False,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516C00027000,2025-01-30 20:53:58+00:00,27.0,0.01,0.0,0.75,0.0,0.0,,50,2.67969080078125,False,REGULAR,USD,AES,1,2025-05-16,2025-04-23 13:00:01.590847,10.125
AES250516P00007000,2025-04-17 18:23:45+00:00,7.0,0.06,0.0,0.05,0.0,0.0,2.0,111,0.79687703125,False,REGULAR,USD,AES,0,2025-05-16,2025-04-23 13:00:01.591850,10.125
AES250516P00008000,2025-04-22 18:17:44+00:00,8.0,0.07,0.05,0.1,0.0,0.0,38.0,574,0.710940390625,False,REGULAR,USD,AES,0,2025-05-16,2025-04-23 13:00:01.591850,10.125
AES250516P00009000,2025-04-23 15:45:54+00:00,9.0,0.23,0.2,0.25,-0.040000007,-14.8148155,48.0,3805,0.65039412109375,False,REGULAR,USD,AES,0,2025-05-16,2025-04-23 13:00:01.591850,10.125
AES250516P00010000,2025-04-23 16:17:46+00:00,10.0,0.58,0.55,0.6,-0.09000003,-13.432841,365.0,4537,0.6171913281250001,False,REGULAR,USD,AES,0,2025-05-16,2025-04-23 13:00:01.591850,10.125
AES250516P00011000,2025-04-23 14:21:15+00:00,11.0,1.05,1.2,1.3,-0.4000001,-27.586212,5.0,3983,0.6777375976562501,True,REGULAR,USD,AES,0,2025-05-16,2025-04-23 13:00:01.591850,10.125
AES250516P00012000,2025-04-23 13:39:12+00:00,12.0,1.95,2.0,2.15,-0.29999995,-13.333332,23.0,5268,0.7246121289062499,True,REGULAR,USD,AES,0,2025-05-16,2025-04-23 13:00:01.591850,10.125
AES250516P00013000,2025-04-23 14:07:10+00:00,13.0,2.76,3.0,3.2,-0.74,-21.142857,6.0,6312,0.9570316796874999,True,REGULAR,USD,AES,0,2025-05-16,2025-04-23 13:00:01.591850,10.125
AES250516P00014000,2025-04-22 13:59:09+00:00,14.0,4.26,4.0,4.1,0.0,0.0,3.0,4387,1.0468797656250002,True,REGULAR,USD,AES,0,2025-05-16,2025-04-23 13:00:01.591850,10.125
AES250516P00015000,2025-04-22 16:00:00+00:00,15.0,5.24,5.0,5.2,0.0,0.0,3.0,537,1.2773473632812498,True,REGULAR,USD,AES,0,2025-05-16,2025-04-23 13:00:01.591850,10.125
AES250516P00016000,2025-03-26 16:32:40+00:00,16.0,3.65,5.9,6.3,0.0,0.0,1.0,1256,1.4140654296875002,True,REGULAR,USD,AES,0,2025-05-16,2025-04-23 13:00:01.591850,10.125
AES250516P00017000,2025-04-07 14:43:57+00:00,17.0,6.63,6.9,8.2,0.0,0.0,11.0,466,2.1699264501953124,True,REGULAR,USD,AES,0,2025-05-16,2025-04-23 13:00:01.591850,10.125
AES250516P00018000,2025-04-07 14:30:54+00:00,18.0,7.6,7.9,8.2,0.0,0.0,10.0,175,1.5507834960937497,True,REGULAR,USD,AES,0,2025-05-16,2025-04-23 13:00:01.591850,10.125
AES250516P00019000,2024-12-16 05:08:30+00:00,19.0,4.85,5.5,6.1,0.0,0.0,6.0,31,1.0000000000000003e-05,True,REGULAR,USD,AES,0,2025-05-16,2025-04-23 13:00:01.591850,10.125
AES250516P00020000,2024-12-16 05:08:30+00:00,20.0,3.66,5.1,7.5,0.0,0.0,10.0,34,1.0000000000000003e-05,True,REGULAR,USD,AES,0,2025-05-16,2025-04-23 13:00:01.591850,10.125
AES250516P00023000,2024-12-16 05:08:30+00:00,23.0,9.3,7.6,10.0,0.0,0.0,83.0,0,1.0000000000000003e-05,True,REGULAR,USD,AES,0,2025-05-16,2025-04-23 13:00:01.591850,10.125
AES250516P00027000,2025-04-07 14:11:21+00:00,27.0,16.4,16.9,17.3,0.0,0.0,1.0,3,2.3867227832031244,True,REGULAR,USD,AES,0,2025-05-16,2025-04-23 13:00:01.591850,10.125
AES250620C00003000,2025-02-21 19:26:42+00:00,3.0,7.73,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,AES,1,2025-06-20,2025-04-23 13:00:01.658644,10.125
AES250620C00005000,2025-03-10 18:01:11+00:00,5.0,6.85,5.1,5.7,0.0,0.0,10.0,10,1.5468772656249998,True,REGULAR,USD,AES,1,2025-06-20,2025-04-23 13:00:01.658644,10.125
