contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AFL250425C00105000,2025-04-22 19:46:01+00:00,105.0,3.9,2.85,4.1,0.0,0.0,30.0,9,0.37744763183593744,True,REGULAR,USD,AFL,1,2025-04-25,2025-04-23 13:00:02.385709,108.81999969482422
AFL250425C00106000,2025-04-22 17:07:51+00:00,106.0,2.22,2.0,2.95,0.0,0.0,2.0,3,0.24024197265624997,True,REGULAR,USD,AFL,1,2025-04-25,2025-04-23 13:00:02.385709,108.81999969482422
AFL250425C00107000,2025-04-23 15:00:35+00:00,107.0,2.4,1.7,2.25,0.8000001,50.000004,17.0,9,0.2846751220703124,True,REGULAR,USD,AFL,1,2025-04-25,2025-04-23 13:00:02.385709,108.81999969482422
AFL250425C00108000,2025-04-22 13:55:08+00:00,108.0,1.75,1.1,1.4,1.0,133.33333,1.0,55,0.23780059082031246,True,REGULAR,USD,AFL,1,2025-04-25,2025-04-23 13:00:02.385709,108.81999969482422
AFL250425C00109000,2025-04-23 16:20:58+00:00,109.0,0.65,0.6,0.85,0.049999952,8.333325,4.0,31,0.23780059082031246,False,REGULAR,USD,AFL,1,2025-04-25,2025-04-23 13:00:02.385709,108.81999969482422
AFL250425C00110000,2025-04-23 14:19:10+00:00,110.0,0.78,0.25,0.5,0.46999997,151.61288,25.0,46,0.2475661181640625,False,REGULAR,USD,AFL,1,2025-04-25,2025-04-23 13:00:02.385709,108.81999969482422
AFL250425C00111000,2025-04-22 19:53:56+00:00,111.0,0.29,0.1,0.25,0.0,0.0,4.0,21,0.2456130126953125,False,REGULAR,USD,AFL,1,2025-04-25,2025-04-23 13:00:02.385709,108.81999969482422
AFL250425C00112000,2025-04-17 17:19:16+00:00,112.0,0.13,0.05,0.2,-0.18,-58.064514,6.0,36,0.28955788574218744,False,REGULAR,USD,AFL,1,2025-04-25,2025-04-23 13:00:02.385709,108.81999969482422
AFL250425C00113000,2025-04-16 16:10:18+00:00,113.0,0.2,0.0,0.6,0.0,0.0,1.0,49,0.5097705273437501,False,REGULAR,USD,AFL,1,2025-04-25,2025-04-23 13:00:02.385709,108.81999969482422
AFL250425C00114000,2025-04-21 15:54:23+00:00,114.0,0.05,0.0,0.75,0.0,0.0,26.0,35,0.631839619140625,False,REGULAR,USD,AFL,1,2025-04-25,2025-04-23 13:00:02.385709,108.81999969482422
AFL250425C00115000,2025-04-21 15:55:09+00:00,115.0,0.05,0.0,0.75,0.0,0.0,20.0,21,0.5488326367187502,False,REGULAR,USD,AFL,1,2025-04-25,2025-04-23 13:00:02.385709,108.81999969482422
AFL250425C00116000,2025-04-14 15:36:53+00:00,116.0,0.12,0.0,0.75,0.0,0.0,3.0,15,0.6064492480468751,False,REGULAR,USD,AFL,1,2025-04-25,2025-04-23 13:00:02.385709,108.81999969482422
