contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AIG250425C00068000,2025-04-01 17:23:56+00:00,68.0,19.1,13.2,14.4,0.0,0.0,,5,1.3515657421874998,True,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00069000,2025-04-16 19:10:09+00:00,69.0,12.4,12.2,13.9,0.0,0.0,,1,1.4912134814453122,True,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00074000,2025-04-14 19:22:47+00:00,74.0,8.5,7.1,8.1,0.0,0.0,,1,0.6269568554687501,True,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00075000,2025-04-09 17:19:36+00:00,75.0,5.74,6.0,7.5,0.0,0.0,,5,0.70898728515625,True,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00076000,2025-04-14 16:27:56+00:00,76.0,7.7,5.1,6.3,0.0,0.0,6.0,8,0.5839885351562499,True,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00077000,2025-04-14 17:03:32+00:00,77.0,6.5,4.2,5.3,0.0,0.0,,6,0.5371140039062501,True,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00078000,2025-04-08 19:47:44+00:00,78.0,3.8,2.55,4.5,0.70000005,22.580648,3.0,17,0.807619111328125,True,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00079000,2025-04-22 14:34:16+00:00,79.0,1.69,2.45,2.75,0.0,0.0,5.0,17,0.35742830078125,True,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00080000,2025-04-21 16:16:00+00:00,80.0,0.9,1.7,1.9,0.0,0.0,2.0,7,0.32617861328125,True,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00081000,2025-04-16 19:53:56+00:00,81.0,1.1,0.9,1.05,-0.5,-31.25,2.0,9,0.25928475097656256,True,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00082000,2025-04-22 17:42:04+00:00,82.0,0.35,0.45,0.55,0.0,0.0,8.0,31,0.25879647460937505,False,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00083000,2025-04-23 15:01:44+00:00,83.0,0.3,0.15,0.3,-0.099999994,-24.999998,3.0,117,0.282233740234375,False,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00084000,2025-04-23 13:47:38+00:00,84.0,0.1,0.05,0.15,-0.089999996,-47.368423,1.0,537,0.2978585839843749,False,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00085000,2025-04-21 19:51:06+00:00,85.0,0.05,0.0,0.15,0.0,0.0,10.0,41,0.37500625,False,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00086000,2025-04-14 17:58:50+00:00,86.0,0.45,0.0,0.5,0.0,0.0,61.0,73,0.5185595019531251,False,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00087000,2025-04-04 17:14:06+00:00,87.0,0.52,0.0,0.05,0.0,0.0,5.0,25,0.4101621484375,False,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00088000,2025-04-07 15:09:02+00:00,88.0,0.55,0.0,0.5,0.0,0.0,2.0,108,0.6660189648437502,False,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00089000,2025-04-22 16:24:14+00:00,89.0,0.23,0.0,0.5,0.0,0.0,1.0,9,0.73633076171875,False,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00090000,2025-04-17 18:42:17+00:00,90.0,0.05,0.0,0.05,0.0,0.0,1.0,18,0.51562984375,False,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00091000,2025-04-03 18:00:00+00:00,91.0,0.75,0.0,1.35,0.0,0.0,16.0,15,1.1513714306640623,False,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00092000,2025-04-04 16:27:52+00:00,92.0,0.11,0.0,0.5,0.0,0.0,1.0,11,0.93164130859375,False,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00093000,2025-03-31 18:11:13+00:00,93.0,0.35,0.0,1.2,0.0,0.0,8.0,8,1.2519568652343749,False,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00094000,2025-03-31 18:24:54+00:00,94.0,0.25,0.0,0.05,0.0,0.0,,45,0.70312796875,False,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425C00095000,2025-03-31 17:47:08+00:00,95.0,0.12,0.0,1.0,0.0,0.0,,1,1.3193393408203122,False,REGULAR,USD,AIG,1,2025-04-25,2025-04-23 13:00:23.238176,81.5199966430664
AIG250425P00050000,2025-04-11 14:18:39+00:00,50.0,0.56,0.0,0.05,0.0,0.0,,3,2.156254609375,False,REGULAR,USD,AIG,0,2025-04-25,2025-04-23 13:00:23.240183,81.5199966430664
AIG250425P00060000,2025-04-11 14:18:39+00:00,60.0,0.7,0.0,0.65,0.0,0.0,,3,2.1328171679687498,False,REGULAR,USD,AIG,0,2025-04-25,2025-04-23 13:00:23.240183,81.5199966430664
AIG250425P00067000,2025-04-14 17:57:23+00:00,67.0,0.25,0.0,0.25,0.0,0.0,,1,1.220707021484375,False,REGULAR,USD,AIG,0,2025-04-25,2025-04-23 13:00:23.240183,81.5199966430664
AIG250425P00070000,2025-04-09 17:21:47+00:00,70.0,1.05,0.0,1.35,0.0,0.0,,1,1.5000025,False,REGULAR,USD,AIG,0,2025-04-25,2025-04-23 13:00:23.240183,81.5199966430664
AIG250425P00073000,2025-04-17 18:14:46+00:00,73.0,0.06,0.0,1.35,0.0,0.0,50.0,50,1.197269638671875,False,REGULAR,USD,AIG,0,2025-04-25,2025-04-23 13:00:23.240183,81.5199966430664
AIG250425P00074000,2025-04-17 15:20:46+00:00,74.0,0.11,0.0,1.35,0.0,0.0,2.0,2,1.0957076464843751,False,REGULAR,USD,AIG,0,2025-04-25,2025-04-23 13:00:23.240183,81.5199966430664
AIG250425P00075000,2025-04-22 16:55:42+00:00,75.0,0.07,0.0,1.35,0.0,0.0,2.0,72,0.9941406835937501,False,REGULAR,USD,AIG,0,2025-04-25,2025-04-23 13:00:23.240183,81.5199966430664
AIG250425P00076000,2025-04-22 16:55:42+00:00,76.0,0.17,0.05,0.2,0.0,0.0,3.0,35,0.53320779296875,False,REGULAR,USD,AIG,0,2025-04-25,2025-04-23 13:00:23.240183,81.5199966430664
AIG250425P00077000,2025-04-16 19:23:16+00:00,77.0,0.47,0.1,1.4,0.0,0.0,6.0,35,0.8203142968749999,False,REGULAR,USD,AIG,0,2025-04-25,2025-04-23 13:00:23.240183,81.5199966430664
AIG250425P00078000,2025-04-21 14:57:33+00:00,78.0,0.15,0.05,0.35,-0.25,-62.5,3.0,31,0.5185595019531251,False,REGULAR,USD,AIG,0,2025-04-25,2025-04-23 13:00:23.240183,81.5199966430664
