contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AIZ250516C00185000,2025-04-07 16:22:56+00:00,185.0,8.75,9.8,13.0,0.0,0.0,,1,0.5017139672851563,True,REGULAR,USD,AIZ,1,2025-05-16,2025-04-23 13:00:41.118937,191.10000610351562
AIZ250516C00200000,2025-04-21 18:38:20+00:00,200.0,2.0,1.0,5.5,0.0,0.0,1.0,1,0.46411668701171876,False,REGULAR,USD,AIZ,1,2025-05-16,2025-04-23 13:00:41.118937,191.10000610351562
AIZ250516C00210000,2025-04-14 19:42:29+00:00,210.0,2.7,0.05,5.0,0.0,0.0,1.0,16,0.5950968225097657,False,REGULAR,USD,AIZ,1,2025-05-16,2025-04-23 13:00:41.118937,191.10000610351562
AIZ250516C00220000,2025-04-14 19:42:29+00:00,220.0,0.2,0.0,1.0,0.0,0.0,1.0,63,0.42139250488281255,False,REGULAR,USD,AIZ,1,2025-05-16,2025-04-23 13:00:41.118937,191.10000610351562
AIZ250516P00170000,2025-04-21 17:14:14+00:00,170.0,3.2,0.05,4.9,0.0,0.0,1.0,4,0.5170946728515625,False,REGULAR,USD,AIZ,0,2025-05-16,2025-04-23 13:00:41.119939,191.10000610351562
AIZ250516P00180000,2025-04-14 19:42:29+00:00,180.0,2.5,0.5,4.9,0.0,0.0,1.0,2,0.497197410888672,False,REGULAR,USD,AIZ,0,2025-05-16,2025-04-23 13:00:41.119939,191.10000610351562
AIZ250516P00190000,2025-03-21 19:36:54+00:00,190.0,2.9,0.0,0.0,0.0,0.0,51.0,0,0.007822421875,False,REGULAR,USD,AIZ,0,2025-05-16,2025-04-23 13:00:41.119939,191.10000610351562
AIZ250516P00195000,2025-03-21 17:50:07+00:00,195.0,3.3,0.0,0.0,0.0,0.0,6.0,0,1.0000000000000003e-05,True,REGULAR,USD,AIZ,0,2025-05-16,2025-04-23 13:00:41.119939,191.10000610351562
AIZ250516P00200000,2025-04-07 16:22:38+00:00,200.0,21.0,9.5,13.1,0.0,0.0,1.0,6,0.39331661376953125,True,REGULAR,USD,AIZ,0,2025-05-16,2025-04-23 13:00:41.119939,191.10000610351562
AIZ250516P00210000,2025-03-21 19:48:25+00:00,210.0,9.1,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,AIZ,0,2025-05-16,2025-04-23 13:00:41.119939,191.10000610351562
AIZ250620C00175000,2024-11-19 19:58:53+00:00,175.0,49.74,41.5,44.7,0.0,0.0,1.0,0,1.1853068078613282,True,REGULAR,USD,AIZ,1,2025-06-20,2025-04-23 13:00:41.182169,191.10000610351562
