contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AJG250516C00310000,2025-04-17 16:05:12+00:00,310.0,24.9,23.7,26.6,0.0,0.0,1.0,4,0.40918559570312496,True,REGULAR,USD,AJG,1,2025-05-16,2025-04-23 13:00:40.671205,331.2099914550781
AJG250516C00320000,2025-04-21 19:25:23+00:00,320.0,19.7,16.6,19.3,9.000001,84.11216,2.0,37,0.3883117810058594,True,REGULAR,USD,AJG,1,2025-05-16,2025-04-23 13:00:40.671205,331.2099914550781
AJG250516C00330000,2025-04-23 14:27:44+00:00,330.0,13.3,10.7,12.6,7.5,129.31033,3.0,64,0.3544986425781249,True,REGULAR,USD,AJG,1,2025-05-16,2025-04-23 13:00:40.671205,331.2099914550781
AJG250516C00340000,2025-04-22 18:58:49+00:00,340.0,6.25,5.7,7.6,0.0,0.0,7.0,55,0.33399103515625,False,REGULAR,USD,AJG,1,2025-05-16,2025-04-23 13:00:40.671205,331.2099914550781
AJG250516C00350000,2025-04-22 18:50:25+00:00,350.0,3.27,2.5,3.2,0.31999993,10.847455,2.0,412,0.2836985693359374,False,REGULAR,USD,AJG,1,2025-05-16,2025-04-23 13:00:40.671205,331.2099914550781
AJG250516C00360000,2025-04-23 14:35:50+00:00,360.0,1.51,0.8,1.45,0.56,58.94737,5.0,613,0.27686270019531245,False,REGULAR,USD,AJG,1,2025-05-16,2025-04-23 13:00:40.671205,331.2099914550781
AJG250516C00370000,2025-04-04 18:50:00+00:00,370.0,1.05,0.0,1.7,0.0,0.0,2.0,3,0.3534000207519531,False,REGULAR,USD,AJG,1,2025-05-16,2025-04-23 13:00:40.671205,331.2099914550781
AJG250516C00380000,2025-04-14 15:04:19+00:00,380.0,2.2,0.0,0.75,0.0,0.0,1.0,17,0.3391179370117187,False,REGULAR,USD,AJG,1,2025-05-16,2025-04-23 13:00:40.671205,331.2099914550781
AJG250516P00200000,2025-04-07 15:09:02+00:00,200.0,0.35,0.0,0.9,0.0,0.0,,1,0.954102021484375,False,REGULAR,USD,AJG,0,2025-05-16,2025-04-23 13:00:40.673210,331.2099914550781
AJG250516P00220000,2025-04-07 16:17:06+00:00,220.0,1.0,0.0,0.75,0.0,0.0,,2,0.77148666015625,False,REGULAR,USD,AJG,0,2025-05-16,2025-04-23 13:00:40.673210,331.2099914550781
AJG250516P00250000,2025-04-09 14:19:58+00:00,250.0,2.89,0.0,0.7,0.0,0.0,,1,0.5502974658203126,False,REGULAR,USD,AJG,0,2025-05-16,2025-04-23 13:00:40.673210,331.2099914550781
AJG250516P00260000,2025-04-11 16:16:49+00:00,260.0,1.51,0.0,0.75,0.0,0.0,,3,0.5534712622070312,False,REGULAR,USD,AJG,0,2025-05-16,2025-04-23 13:00:40.673210,331.2099914550781
AJG250516P00270000,2025-04-09 15:37:04+00:00,270.0,6.1,0.3,1.0,0.0,0.0,1.0,2,0.5109912182617188,False,REGULAR,USD,AJG,0,2025-05-16,2025-04-23 13:00:40.673210,331.2099914550781
AJG250516P00280000,2025-04-21 18:17:33+00:00,280.0,2.25,0.15,1.3,0.0,0.0,1.0,541,0.4646049633789063,False,REGULAR,USD,AJG,0,2025-05-16,2025-04-23 13:00:40.673210,331.2099914550781
AJG250516P00290000,2025-04-23 13:46:05+00:00,290.0,1.2,1.05,1.4,-0.95000005,-44.186047,2.0,27,0.39551385742187506,False,REGULAR,USD,AJG,0,2025-05-16,2025-04-23 13:00:40.673210,331.2099914550781
AJG250516P00300000,2025-04-23 15:52:59+00:00,300.0,1.95,1.85,2.35,-0.75,-27.777777,1.0,32,0.3731141790771484,False,REGULAR,USD,AJG,0,2025-05-16,2025-04-23 13:00:40.673210,331.2099914550781
AJG250516P00310000,2025-04-22 17:25:58+00:00,310.0,3.3,3.3,3.8,-1.2,-26.666668,1.0,69,0.3479069116210937,False,REGULAR,USD,AJG,0,2025-05-16,2025-04-23 13:00:40.673210,331.2099914550781
AJG250516P00320000,2025-04-23 16:01:29+00:00,320.0,5.24,5.4,6.4,-6.66,-55.96639,1.0,544,0.3339300006103516,False,REGULAR,USD,AJG,0,2025-05-16,2025-04-23 13:00:40.673210,331.2099914550781
AJG250516P00330000,2025-04-21 16:12:39+00:00,330.0,15.65,9.3,10.1,0.0,0.0,3.0,12,0.31632153411865227,False,REGULAR,USD,AJG,0,2025-05-16,2025-04-23 13:00:40.673210,331.2099914550781
AJG250516P00340000,2025-04-21 15:34:41+00:00,340.0,20.48,14.3,15.4,0.0,0.0,10.0,12,0.3036568658447265,True,REGULAR,USD,AJG,0,2025-05-16,2025-04-23 13:00:40.673210,331.2099914550781
AJG250516P00350000,2025-04-10 15:52:14+00:00,350.0,28.1,20.4,23.0,0.0,0.0,5.0,11,0.32117378051757806,True,REGULAR,USD,AJG,0,2025-05-16,2025-04-23 13:00:40.673210,331.2099914550781
AJG250620C00330000,2025-04-22 19:05:20+00:00,330.0,15.7,15.0,17.4,0.0,0.0,4.0,8,0.31674877593994133,True,REGULAR,USD,AJG,1,2025-06-20,2025-04-23 13:00:40.728357,331.2099914550781
AJG250620C00340000,2025-04-22 13:30:56+00:00,340.0,8.6,10.7,11.9,0.0,0.0,1.0,9,0.29572237487792963,False,REGULAR,USD,AJG,1,2025-06-20,2025-04-23 13:00:40.728357,331.2099914550781
AJG250620C00350000,2025-04-17 15:36:40+00:00,350.0,6.9,6.6,8.9,0.0,0.0,1.0,1,0.304694453125,False,REGULAR,USD,AJG,1,2025-06-20,2025-04-23 13:00:40.728357,331.2099914550781
AJG250620C00360000,2025-04-17 15:36:40+00:00,360.0,4.0,3.6,5.0,0.0,0.0,1.0,1,0.2757030438232422,False,REGULAR,USD,AJG,1,2025-06-20,2025-04-23 13:00:40.728357,331.2099914550781
AJG250620P00280000,2025-04-21 18:58:07+00:00,280.0,4.3,1.7,2.85,0.0,0.0,1.0,2,0.36694968994140625,False,REGULAR,USD,AJG,0,2025-06-20,2025-04-23 13:00:40.730360,331.2099914550781
AJG250620P00290000,2025-04-17 16:16:03+00:00,290.0,3.9,2.75,4.0,0.0,0.0,1.0,1,0.34906656799316405,False,REGULAR,USD,AJG,0,2025-06-20,2025-04-23 13:00:40.730360,331.2099914550781
AJG250620P00300000,2025-04-22 19:42:22+00:00,300.0,5.0,4.4,5.3,0.0,0.0,1.0,5,0.3243170596313476,False,REGULAR,USD,AJG,0,2025-06-20,2025-04-23 13:00:40.730360,331.2099914550781
AJG250620P00310000,2025-04-22 14:23:14+00:00,310.0,9.0,6.7,7.6,0.0,0.0,1.0,2,0.31189652954101554,False,REGULAR,USD,AJG,0,2025-06-20,2025-04-23 13:00:40.730360,331.2099914550781
AJG250620P00320000,2025-04-22 17:51:08+00:00,320.0,11.8,9.0,10.9,0.0,0.0,1.0,3,0.3043282458496094,False,REGULAR,USD,AJG,0,2025-06-20,2025-04-23 13:00:40.730360,331.2099914550781
AJG250620P00330000,2025-04-23 16:08:50+00:00,330.0,13.4,13.9,14.9,-8.5,-38.812786,7.0,2,0.2924875439453124,False,REGULAR,USD,AJG,0,2025-06-20,2025-04-23 13:00:40.730360,331.2099914550781
AJG250620P00350000,2025-04-17 19:22:51+00:00,350.0,23.9,23.7,26.6,0.0,0.0,2.0,2,0.28253891296386713,True,REGULAR,USD,AJG,0,2025-06-20,2025-04-23 13:00:40.730360,331.2099914550781
AJG250620P00360000,2025-04-17 17:17:59+00:00,360.0,30.9,30.9,33.3,0.0,0.0,1.0,1,0.26392337646484376,True,REGULAR,USD,AJG,0,2025-06-20,2025-04-23 13:00:40.730360,331.2099914550781
AJG250718C00155000,2024-12-09 20:59:51+00:00,155.0,138.8,140.5,144.3,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,AJG,1,2025-07-18,2025-04-23 13:00:40.791522,331.2099914550781
AJG250718C00180000,2024-12-09 20:59:51+00:00,180.0,115.6,116.0,119.9,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,AJG,1,2025-07-18,2025-04-23 13:00:40.791522,331.2099914550781
AJG250718C00185000,2025-01-31 14:32:30+00:00,185.0,120.7,154.6,159.1,0.0,0.0,1.0,2,1.1546673126220701,True,REGULAR,USD,AJG,1,2025-07-18,2025-04-23 13:00:40.791522,331.2099914550781
AJG250718C00190000,2025-04-08 19:32:01+00:00,190.0,124.14,141.0,143.9,0.0,0.0,,1,0.64648791015625,True,REGULAR,USD,AJG,1,2025-07-18,2025-04-23 13:00:40.791522,331.2099914550781
AJG250718C00200000,2025-03-04 16:14:47+00:00,200.0,145.6,0.0,0.0,0.0,0.0,24.0,34,1.0000000000000003e-05,True,REGULAR,USD,AJG,1,2025-07-18,2025-04-23 13:00:40.791522,331.2099914550781
AJG250718C00210000,2024-12-09 20:59:51+00:00,210.0,86.5,87.0,90.6,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,AJG,1,2025-07-18,2025-04-23 13:00:40.791522,331.2099914550781
AJG250718C00220000,2024-11-21 16:54:23+00:00,220.0,88.1,78.4,81.3,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,AJG,1,2025-07-18,2025-04-23 13:00:40.791522,331.2099914550781
AJG250718C00230000,2025-04-17 18:08:53+00:00,230.0,105.4,102.0,104.8,0.0,0.0,10.0,47,0.510869149169922,True,REGULAR,USD,AJG,1,2025-07-18,2025-04-23 13:00:40.791522,331.2099914550781
AJG250718C00240000,2025-02-13 16:14:34+00:00,240.0,91.82,87.7,91.3,0.0,0.0,10.0,15,0.26856200195312496,True,REGULAR,USD,AJG,1,2025-07-18,2025-04-23 13:00:40.791522,331.2099914550781
AJG250718C00250000,2024-12-06 16:28:30+00:00,250.0,57.4,51.8,54.0,0.0,0.0,4.0,2,1.0000000000000003e-05,True,REGULAR,USD,AJG,1,2025-07-18,2025-04-23 13:00:40.791522,331.2099914550781
AJG250718C00260000,2025-02-13 16:14:34+00:00,260.0,72.62,68.8,72.7,0.0,0.0,10.0,86,0.3358220715332031,True,REGULAR,USD,AJG,1,2025-07-18,2025-04-23 13:00:40.791522,331.2099914550781
AJG250718C00270000,2025-03-05 17:40:14+00:00,270.0,74.98,56.8,59.0,0.0,0.0,1.0,40,1.0000000000000003e-05,True,REGULAR,USD,AJG,1,2025-07-18,2025-04-23 13:00:40.791522,331.2099914550781
AJG250718C00280000,2025-02-26 17:11:24+00:00,280.0,57.0,64.7,67.4,0.0,0.0,1.0,10,0.5842021560668945,True,REGULAR,USD,AJG,1,2025-07-18,2025-04-23 13:00:40.791522,331.2099914550781
AJG250718C00290000,2025-04-01 13:36:10+00:00,290.0,60.4,45.8,49.0,0.0,0.0,1.0,280,0.3759522854614258,True,REGULAR,USD,AJG,1,2025-07-18,2025-04-23 13:00:40.791522,331.2099914550781
AJG250718C00300000,2025-04-09 16:55:30+00:00,300.0,27.0,38.0,40.1,0.0,0.0,3.0,77,0.34039966247558595,True,REGULAR,USD,AJG,1,2025-07-18,2025-04-23 13:00:40.791522,331.2099914550781
AJG250718C00310000,2025-04-21 17:08:15+00:00,310.0,25.1,30.4,32.5,0.0,0.0,1.0,59,0.32294378234863275,True,REGULAR,USD,AJG,1,2025-07-18,2025-04-23 13:00:40.791522,331.2099914550781
