contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AKAM250425C00067000,2025-04-14 19:45:34+00:00,67.0,7.92,7.7,8.5,0.0,0.0,2.0,2,0.6015664843750002,True,REGULAR,USD,AKAM,1,2025-04-25,2025-04-23 13:00:07.565631,75.4800033569336
AKAM250425C00068000,2025-04-22 14:00:54+00:00,68.0,4.82,6.5,9.2,0.0,0.0,1.0,2,0.975586181640625,True,REGULAR,USD,AKAM,1,2025-04-25,2025-04-23 13:00:07.565631,75.4800033569336
AKAM250425C00069000,2025-04-09 18:47:18+00:00,69.0,7.02,5.7,7.6,0.0,0.0,,4,0.7070341796875,True,REGULAR,USD,AKAM,1,2025-04-25,2025-04-23 13:00:07.565631,75.4800033569336
AKAM250425C00070000,2025-04-14 19:45:34+00:00,70.0,6.28,4.6,6.8,1.2900004,25.851713,2.0,3,0.6640658593750002,True,REGULAR,USD,AKAM,1,2025-04-25,2025-04-23 13:00:07.565631,75.4800033569336
AKAM250425C00072000,2025-04-22 14:59:07+00:00,72.0,1.6,3.3,3.6,0.0,0.0,2.0,11,0.398443515625,True,REGULAR,USD,AKAM,1,2025-04-25,2025-04-23 13:00:07.565631,75.4800033569336
AKAM250425C00073000,2025-04-22 17:06:13+00:00,73.0,3.2,2.55,2.8,1.6500001,106.45163,2.0,25,0.4335994140625,True,REGULAR,USD,AKAM,1,2025-04-25,2025-04-23 13:00:07.565631,75.4800033569336
AKAM250425C00074000,2025-04-23 14:44:17+00:00,74.0,2.73,1.65,2.15,2.13,355.0001,5.0,16,0.471684970703125,True,REGULAR,USD,AKAM,1,2025-04-25,2025-04-23 13:00:07.565631,75.4800033569336
AKAM250425C00075000,2025-04-23 15:51:57+00:00,75.0,1.12,1.15,1.35,0.57,103.63636,3.0,33,0.4018614501953125,True,REGULAR,USD,AKAM,1,2025-04-25,2025-04-23 13:00:07.565631,75.4800033569336
AKAM250425C00076000,2025-04-22 16:16:35+00:00,76.0,0.33,0.6,0.8,0.0,0.0,7.0,34,0.3794007373046875,False,REGULAR,USD,AKAM,1,2025-04-25,2025-04-23 13:00:07.565631,75.4800033569336
AKAM250425C00077000,2025-04-23 15:51:11+00:00,77.0,0.4,0.2,0.4,0.25,166.66666,5.0,9,0.3544986425781249,False,REGULAR,USD,AKAM,1,2025-04-25,2025-04-23 13:00:07.565631,75.4800033569336
AKAM250425C00078000,2025-04-22 19:43:52+00:00,78.0,0.05,0.1,0.2,0.0,0.0,1.0,2,0.35645174804687496,False,REGULAR,USD,AKAM,1,2025-04-25,2025-04-23 13:00:07.565631,75.4800033569336
AKAM250425C00078500,2025-04-17 15:27:12+00:00,78.5,0.25,0.05,0.15,0.0,0.0,2.0,3,0.367193828125,False,REGULAR,USD,AKAM,1,2025-04-25,2025-04-23 13:00:07.565631,75.4800033569336
AKAM250425C00079000,2025-04-17 16:08:58+00:00,79.0,0.09,0.0,0.15,0.0,0.0,5.0,16,0.40820904296875,False,REGULAR,USD,AKAM,1,2025-04-25,2025-04-23 13:00:07.565631,75.4800033569336
AKAM250425C00080000,2025-04-16 17:32:01+00:00,80.0,0.15,0.0,0.2,0.0,0.0,2.0,40,0.526371923828125,False,REGULAR,USD,AKAM,1,2025-04-25,2025-04-23 13:00:07.565631,75.4800033569336
AKAM250425C00081000,2025-04-09 18:12:18+00:00,81.0,0.7,0.0,0.75,0.0,0.0,4.0,24,0.727541787109375,False,REGULAR,USD,AKAM,1,2025-04-25,2025-04-23 13:00:07.565631,75.4800033569336
AKAM250425C00082000,2025-04-01 16:41:10+00:00,82.0,1.92,0.0,0.75,0.0,0.0,13.0,31,0.8105487695312499,False,REGULAR,USD,AKAM,1,2025-04-25,2025-04-23 13:00:07.565631,75.4800033569336
