contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ALGN250425C00136000,2025-04-08 16:03:13+00:00,136.0,20.3,39.9,45.1,0.0,0.0,,3,2.50000375,True,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00140000,2025-04-11 19:26:44+00:00,140.0,25.56,36.1,40.6,0.0,0.0,,29,2.112309406738281,True,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00143000,2025-04-07 14:11:24+00:00,143.0,18.8,32.7,38.2,0.0,0.0,,2,2.1855514111328125,True,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00145000,2025-04-09 17:27:59+00:00,145.0,16.17,30.5,36.2,0.0,0.0,3.0,3,2.086918845214843,True,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00146000,2025-04-09 15:47:22+00:00,146.0,8.5,29.5,35.2,0.0,0.0,,1,2.0380908422851567,True,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00149000,2025-04-08 16:46:02+00:00,149.0,9.1,27.1,32.2,0.0,0.0,,5,1.8911138256835938,True,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00155000,2025-04-15 17:23:26+00:00,155.0,10.1,21.5,26.3,0.0,0.0,1.0,20,1.626954990234375,True,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00157500,2025-04-16 18:47:11+00:00,157.5,10.5,19.0,23.8,0.0,0.0,3.0,3,1.5043970092773438,True,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00160000,2025-04-23 13:42:18+00:00,160.0,19.55,16.0,21.3,8.049999,69.99999,4.0,10,1.3813507495117183,True,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00162500,2025-04-07 17:00:06+00:00,162.5,5.3,13.6,18.8,0.0,0.0,,1,1.2578162109375,True,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00165000,2025-04-21 18:06:41+00:00,165.0,7.2,11.6,16.2,0.0,0.0,2.0,14,1.1108442895507813,True,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00167500,2025-04-21 17:12:21+00:00,167.5,18.07,10.2,11.9,12.87,247.50002,1.0,21,0.48633326171875,True,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00170000,2025-04-23 14:07:45+00:00,170.0,15.18,7.4,9.1,9.08,148.85245,1.0,25,1.0000000000000003e-05,True,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00172500,2025-04-21 19:03:06+00:00,172.5,11.0,6.0,7.6,7.6,223.5294,1.0,70,0.5039112109375,True,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00175000,2025-04-23 13:30:08+00:00,175.0,10.71,4.5,5.7,7.81,269.31033,2.0,63,0.49561051269531253,True,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00177500,2025-04-23 14:43:04+00:00,177.5,5.7,3.0,3.5,3.5299997,162.67279,7.0,23,0.3979552392578125,True,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00180000,2025-04-23 14:37:19+00:00,180.0,3.75,1.45,2.2,2.79,290.625,11.0,113,0.3979552392578125,False,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00182500,2025-04-23 15:23:03+00:00,182.5,2.2,1.0,1.55,1.73,368.08508,14.0,16,0.44507390869140623,False,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00185000,2025-04-23 14:52:14+00:00,185.0,1.49,0.35,0.75,1.1700001,365.6251,3.0,11,0.41358008300781246,False,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00190000,2025-04-22 17:46:13+00:00,190.0,1.58,0.0,0.3,1.4100001,829.41205,3.0,50,0.4682670361328125,False,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00195000,2025-04-11 18:27:08+00:00,195.0,0.3,0.0,0.3,0.0,0.0,,16,0.5351608984375,False,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00200000,2025-04-22 14:15:33+00:00,200.0,0.23,0.0,0.75,0.0,0.0,1.0,4,0.7939473730468749,False,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00205000,2025-04-11 19:55:30+00:00,205.0,0.2,0.0,1.5,0.0,0.0,78.0,80,1.0883834643554686,False,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00240000,2025-03-11 16:03:08+00:00,240.0,0.44,0.0,4.5,0.0,0.0,,1,2.5214880712890624,False,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425C00260000,2025-04-14 18:27:13+00:00,260.0,0.05,0.0,0.6,0.0,0.0,2.0,4,2.0136768408203123,False,REGULAR,USD,ALGN,1,2025-04-25,2025-04-23 13:00:10.700916,179.1699981689453
ALGN250425P00100000,2025-04-09 13:37:46+00:00,100.0,0.58,0.0,0.8,0.0,0.0,,3,3.3203141992187497,False,REGULAR,USD,ALGN,0,2025-04-25,2025-04-23 13:00:10.702921,179.1699981689453
ALGN250425P00110000,2025-04-04 13:31:57+00:00,110.0,0.5,0.0,0.9,0.0,0.0,3.0,3,2.8945340136718753,False,REGULAR,USD,ALGN,0,2025-04-25,2025-04-23 13:00:10.702921,179.1699981689453
ALGN250425P00120000,2025-04-09 18:45:42+00:00,120.0,0.7,0.0,1.15,0.0,0.0,1.0,5,2.556644233398437,False,REGULAR,USD,ALGN,0,2025-04-25,2025-04-23 13:00:10.702921,179.1699981689453
ALGN250425P00130000,2025-04-21 16:39:53+00:00,130.0,0.15,0.0,0.05,0.0,0.0,1.0,15,1.3437532812499997,False,REGULAR,USD,ALGN,0,2025-04-25,2025-04-23 13:00:10.702921,179.1699981689453
