contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ALLE250516C00120000,2025-04-09 18:35:35+00:00,120.0,9.49,8.6,10.9,0.0,0.0,,1,0.5505416040039064,True,REGULAR,USD,ALLE,1,2025-05-16,2025-04-23 13:00:11.853186,126.8499984741211
ALLE250516C00125000,2025-04-22 15:11:54+00:00,125.0,5.1,4.7,7.5,0.0,0.0,1.0,20,0.5075732836914062,True,REGULAR,USD,ALLE,1,2025-05-16,2025-04-23 13:00:11.853186,126.8499984741211
ALLE250516C00130000,2025-04-22 19:00:58+00:00,130.0,4.0,2.1,5.2,0.9000001,29.03226,1.0,41,0.5070850073242188,False,REGULAR,USD,ALLE,1,2025-05-16,2025-04-23 13:00:11.853186,126.8499984741211
ALLE250516C00135000,2025-04-22 15:42:51+00:00,135.0,1.51,0.65,3.2,0.0,0.0,9.0,394,0.48389187988281257,False,REGULAR,USD,ALLE,1,2025-05-16,2025-04-23 13:00:11.853186,126.8499984741211
ALLE250516C00140000,2025-04-15 15:48:02+00:00,140.0,0.8,0.0,2.0,0.0,0.0,1.0,8,0.4836477416992188,False,REGULAR,USD,ALLE,1,2025-05-16,2025-04-23 13:00:11.853186,126.8499984741211
ALLE250516C00145000,2025-03-27 18:44:47+00:00,145.0,0.81,0.0,2.4,0.0,0.0,,7,0.6195106408691409,False,REGULAR,USD,ALLE,1,2025-05-16,2025-04-23 13:00:11.853186,126.8499984741211
ALLE250516C00150000,2025-03-24 19:29:28+00:00,150.0,0.34,0.0,1.4,0.0,0.0,,1,0.5891154370117189,False,REGULAR,USD,ALLE,1,2025-05-16,2025-04-23 13:00:11.853186,126.8499984741211
ALLE250516P00115000,2025-04-15 16:51:50+00:00,115.0,1.5,0.25,2.8,0.0,0.0,10.0,17,0.5856975024414062,False,REGULAR,USD,ALLE,0,2025-05-16,2025-04-23 13:00:11.854189,126.8499984741211
ALLE250516P00120000,2025-04-22 19:55:13+00:00,120.0,2.0,1.05,2.6,0.0,0.0,5.0,19,0.4233456103515625,False,REGULAR,USD,ALLE,0,2025-05-16,2025-04-23 13:00:11.854189,126.8499984741211
ALLE250516P00125000,2025-04-22 13:36:30+00:00,125.0,4.5,1.7,4.3,0.0,0.0,3.0,12,0.4017393811035156,False,REGULAR,USD,ALLE,0,2025-05-16,2025-04-23 13:00:11.854189,126.8499984741211
ALLE250516P00130000,2025-04-17 14:18:26+00:00,130.0,7.35,4.0,7.0,0.0,0.0,2.0,3,0.4018614501953125,True,REGULAR,USD,ALLE,0,2025-05-16,2025-04-23 13:00:11.854189,126.8499984741211
ALLE250516P00135000,2025-04-15 16:18:49+00:00,135.0,9.72,7.9,10.3,0.0,0.0,1.0,2,0.39234006103515623,True,REGULAR,USD,ALLE,0,2025-05-16,2025-04-23 13:00:11.854189,126.8499984741211
ALLE250516P00140000,2025-03-27 14:33:37+00:00,140.0,10.61,12.2,14.7,0.0,0.0,,1,0.43677321044921874,True,REGULAR,USD,ALLE,0,2025-05-16,2025-04-23 13:00:11.854189,126.8499984741211
ALLE250620C00105000,2025-02-03 18:43:34+00:00,105.0,26.2,22.5,25.5,0.0,0.0,2.0,2,0.6160927062988282,True,REGULAR,USD,ALLE,1,2025-06-20,2025-04-23 13:00:11.906797,126.8499984741211
ALLE250620C00115000,2025-04-17 14:50:49+00:00,115.0,14.3,13.4,16.8,0.0,0.0,2.0,2,0.5039112109375,True,REGULAR,USD,ALLE,1,2025-06-20,2025-04-23 13:00:11.906797,126.8499984741211
ALLE250620C00120000,2025-01-31 19:40:34+00:00,120.0,17.3,9.8,13.0,0.0,0.0,1.0,1,0.4639946179199219,True,REGULAR,USD,ALLE,1,2025-06-20,2025-04-23 13:00:11.906797,126.8499984741211
ALLE250620C00125000,2025-04-22 13:30:07+00:00,125.0,6.3,7.0,9.6,0.0,0.0,1.0,6,0.42847251220703125,True,REGULAR,USD,ALLE,1,2025-06-20,2025-04-23 13:00:11.906797,126.8499984741211
ALLE250620C00130000,2025-04-22 15:10:33+00:00,130.0,4.55,4.1,5.4,0.0,0.0,1.0,186,0.3332586206054688,False,REGULAR,USD,ALLE,1,2025-06-20,2025-04-23 13:00:11.906797,126.8499984741211
ALLE250620C00135000,2025-04-22 17:13:16+00:00,135.0,2.52,1.6,4.4,0.0,0.0,1.0,523,0.37219866088867193,False,REGULAR,USD,ALLE,1,2025-06-20,2025-04-23 13:00:11.906797,126.8499984741211
ALLE250620C00140000,2025-04-17 17:12:05+00:00,140.0,0.59,0.85,3.2,0.0,0.0,1.0,37,0.38104867004394527,False,REGULAR,USD,ALLE,1,2025-06-20,2025-04-23 13:00:11.906797,126.8499984741211
