contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ALL250516C00165000,2025-04-08 18:30:02+00:00,165.0,23.4,28.5,31.6,0.0,0.0,3.0,2,0.5063525927734375,True,REGULAR,USD,ALL,1,2025-05-16,2025-04-23 13:00:12.789725,193.85499572753906
ALL250516C00170000,2025-04-08 18:30:02+00:00,170.0,19.6,24.0,25.6,0.0,0.0,,0,0.49023947265625006,True,REGULAR,USD,ALL,1,2025-05-16,2025-04-23 13:00:12.789725,193.85499572753906
ALL250516C00180000,2025-04-17 13:34:00+00:00,180.0,17.9,15.5,16.5,0.0,0.0,1.0,7,0.4008848974609375,True,REGULAR,USD,ALL,1,2025-05-16,2025-04-23 13:00:12.789725,193.85499572753906
ALL250516C00185000,2025-04-21 17:40:13+00:00,185.0,8.2,11.1,12.6,0.0,0.0,5.0,11,0.3789124609375,True,REGULAR,USD,ALL,1,2025-05-16,2025-04-23 13:00:12.789725,193.85499572753906
ALL250516C00190000,2025-04-23 14:32:11+00:00,190.0,10.0,7.9,9.1,1.5,17.647058,1.0,50,0.35681795532226557,True,REGULAR,USD,ALL,1,2025-05-16,2025-04-23 13:00:12.789725,193.85499572753906
ALL250516C00195000,2025-04-22 19:51:57+00:00,195.0,6.5,5.8,6.2,0.19999981,3.1746001,1.0,60,0.3398503515625,False,REGULAR,USD,ALL,1,2025-05-16,2025-04-23 13:00:12.789725,193.85499572753906
ALL250516C00200000,2025-04-23 15:45:21+00:00,200.0,4.0,3.6,4.0,-0.010000229,-0.24938226,3.0,479,0.3288641333007812,False,REGULAR,USD,ALL,1,2025-05-16,2025-04-23 13:00:12.789725,193.85499572753906
ALL250516C00210000,2025-04-23 16:23:01+00:00,210.0,0.95,0.85,1.1,-0.16000003,-14.414416,7.0,222,0.29175512939453113,False,REGULAR,USD,ALL,1,2025-05-16,2025-04-23 13:00:12.789725,193.85499572753906
ALL250516C00220000,2025-04-22 14:30:10+00:00,220.0,0.26,0.05,0.35,0.08999999,52.94117,1.0,227,0.30322962402343745,False,REGULAR,USD,ALL,1,2025-05-16,2025-04-23 13:00:12.789725,193.85499572753906
ALL250516C00230000,2025-04-04 18:40:34+00:00,230.0,0.25,0.0,1.35,0.0,0.0,12.0,136,0.5222215747070311,False,REGULAR,USD,ALL,1,2025-05-16,2025-04-23 13:00:12.789725,193.85499572753906
ALL250516C00240000,2025-04-17 19:12:09+00:00,240.0,0.09,0.0,1.35,0.0,0.0,230.0,334,0.5214891601562499,False,REGULAR,USD,ALL,1,2025-05-16,2025-04-23 13:00:12.789725,193.85499572753906
ALL250516P00140000,2025-04-17 18:41:23+00:00,140.0,0.36,0.0,0.75,0.0,0.0,22.0,21,0.6899445068359377,False,REGULAR,USD,ALL,0,2025-05-16,2025-04-23 13:00:12.790728,193.85499572753906
ALL250516P00145000,2025-04-08 19:59:41+00:00,145.0,1.92,0.0,0.45,0.0,0.0,,4,0.5742230078125,False,REGULAR,USD,ALL,0,2025-05-16,2025-04-23 13:00:12.790728,193.85499572753906
ALL250516P00150000,2025-04-15 13:37:54+00:00,150.0,0.45,0.0,0.75,0.0,0.0,1.0,2,0.5639692041015626,False,REGULAR,USD,ALL,0,2025-05-16,2025-04-23 13:00:12.790728,193.85499572753906
ALL250516P00155000,2025-04-17 17:21:03+00:00,155.0,0.59,0.15,0.8,0.0,0.0,1.0,24,0.5268602001953125,False,REGULAR,USD,ALL,0,2025-05-16,2025-04-23 13:00:12.790728,193.85499572753906
ALL250516P00160000,2025-04-21 14:51:02+00:00,160.0,0.48,0.35,0.85,0.0,0.0,1.0,308,0.5295457202148439,False,REGULAR,USD,ALL,0,2025-05-16,2025-04-23 13:00:12.790728,193.85499572753906
ALL250516P00165000,2025-04-21 18:00:38+00:00,165.0,1.85,0.25,1.05,0.0,0.0,6.0,9,0.4887746435546876,False,REGULAR,USD,ALL,0,2025-05-16,2025-04-23 13:00:12.790728,193.85499572753906
ALL250516P00170000,2025-04-21 18:52:44+00:00,170.0,2.7,0.0,1.25,0.0,0.0,4.0,47,0.4415339050292969,False,REGULAR,USD,ALL,0,2025-05-16,2025-04-23 13:00:12.790728,193.85499572753906
ALL250516P00175000,2025-04-23 15:40:03+00:00,175.0,1.25,0.95,1.8,-0.65,-34.210526,1.0,16,0.4188290539550781,False,REGULAR,USD,ALL,0,2025-05-16,2025-04-23 13:00:12.790728,193.85499572753906
ALL250516P00180000,2025-04-21 19:59:38+00:00,180.0,3.3,1.9,2.45,0.0,0.0,9.0,25,0.38757936645507807,False,REGULAR,USD,ALL,0,2025-05-16,2025-04-23 13:00:12.790728,193.85499572753906
ALL250516P00185000,2025-04-23 14:16:20+00:00,185.0,2.85,2.75,3.6,-0.94000006,-24.802113,21.0,36,0.3704896936035156,False,REGULAR,USD,ALL,0,2025-05-16,2025-04-23 13:00:12.790728,193.85499572753906
ALL250516P00190000,2025-04-22 18:24:18+00:00,190.0,5.05,4.7,5.1,0.0,0.0,4.0,296,0.3493717407226562,False,REGULAR,USD,ALL,0,2025-05-16,2025-04-23 13:00:12.790728,193.85499572753906
ALL250516P00195000,2025-04-23 13:43:51+00:00,195.0,6.2,6.7,7.1,-6.09,-49.552483,2.0,248,0.3275213732910156,True,REGULAR,USD,ALL,0,2025-05-16,2025-04-23 13:00:12.790728,193.85499572753906
ALL250516P00200000,2025-04-22 19:42:23+00:00,200.0,9.6,8.5,10.0,0.0,0.0,4.0,39,0.32129584960937496,True,REGULAR,USD,ALL,0,2025-05-16,2025-04-23 13:00:12.790728,193.85499572753906
ALL250516P00210000,2025-04-22 15:14:14+00:00,210.0,18.1,16.1,17.1,0.0,0.0,5.0,39,0.2790599438476562,True,REGULAR,USD,ALL,0,2025-05-16,2025-04-23 13:00:12.790728,193.85499572753906
ALL250516P00220000,2025-04-07 14:39:57+00:00,220.0,42.1,24.6,27.7,0.0,0.0,1.0,0,0.4422663195800781,True,REGULAR,USD,ALL,0,2025-05-16,2025-04-23 13:00:12.790728,193.85499572753906
ALL250620C00080000,2024-12-16 05:05:04+00:00,80.0,108.46,108.4,111.2,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,ALL,1,2025-06-20,2025-04-23 13:00:12.852891,193.85499572753906
ALL250620C00110000,2025-03-07 17:38:24+00:00,110.0,88.7,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,ALL,1,2025-06-20,2025-04-23 13:00:12.852891,193.85499572753906
