contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AMAT250425C00090000,2025-04-23 16:25:46+00:00,90.0,53.37,52.0,54.25,5.8499985,12.310603,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00095000,2025-04-22 17:52:21+00:00,95.0,42.04,47.4,49.7,0.0,0.0,12.0,1,2.3164104589843744,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00100000,2025-04-17 15:53:06+00:00,100.0,38.25,42.85,45.35,0.0,0.0,5.0,5,2.707034482421875,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00105000,2025-04-10 16:19:27+00:00,105.0,31.5,37.35,40.45,0.0,0.0,,3,2.475589748535157,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00110000,2025-04-11 18:04:03+00:00,110.0,36.04,32.2,34.8,0.0,0.0,,11,1.7109389453125,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00115000,2025-04-11 14:19:04+00:00,115.0,25.95,27.85,30.4,0.0,0.0,,10,1.8759771826171874,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00116000,2025-04-10 16:19:27+00:00,116.0,21.75,26.3,29.5,0.0,0.0,,1,1.8720709521484376,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00117000,2025-04-11 15:23:41+00:00,117.0,24.05,25.1,28.2,0.0,0.0,,2,1.6582048339843751,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00119000,2025-04-10 16:19:27+00:00,119.0,19.3,24.1,25.95,0.0,0.0,,1,1.40234673828125,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00120000,2025-04-07 19:54:59+00:00,120.0,23.9,23.3,24.8,6.949999,41.00294,2.0,6,1.2451209619140622,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00121000,2025-04-07 15:53:21+00:00,121.0,15.15,22.1,23.25,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00122000,2025-04-10 16:25:37+00:00,122.0,16.75,21.5,22.45,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00123000,2025-04-11 14:25:07+00:00,123.0,18.55,20.35,20.9,0.0,0.0,,4,1.0000000000000003e-05,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00124000,2025-04-14 15:51:08+00:00,124.0,20.05,18.8,21.25,0.0,0.0,,3,1.3183627832031248,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00125000,2025-04-16 15:13:53+00:00,125.0,15.4,18.3,20.3,0.0,0.0,2.0,3,1.2890660546875,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00126000,2025-04-16 14:43:15+00:00,126.0,15.55,17.7,18.2,0.0,0.0,3.0,6,1.0000000000000003e-05,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00127000,2025-04-10 17:36:43+00:00,127.0,14.6,15.85,17.5,0.0,0.0,,4,0.5468795312500001,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00128000,2025-04-17 16:00:02+00:00,128.0,11.2,15.1,17.25,0.0,0.0,1.0,8,1.109379453125,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00129000,2025-04-21 16:34:13+00:00,129.0,6.72,14.3,15.5,0.0,0.0,3.0,11,0.48438015625,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00130000,2025-04-23 14:48:12+00:00,130.0,16.35,12.95,15.15,10.5,179.48717,6.0,21,0.9643558251953125,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00131000,2025-04-22 13:44:48+00:00,131.0,15.2,12.25,14.25,6.5199995,75.1152,2.0,32,0.9521489160156249,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00132000,2025-04-22 17:08:02+00:00,132.0,13.5,11.1,12.8,5.7,73.07692,1.0,48,0.70312796875,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00133000,2025-04-23 14:54:22+00:00,133.0,13.35,10.4,12.25,7.0000005,110.23623,1.0,32,0.8466812207031249,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00134000,2025-04-23 14:54:54+00:00,134.0,11.41,9.65,10.8,5.6299996,97.40483,11.0,57,0.6123085644531252,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00135000,2025-04-22 19:33:16+00:00,135.0,9.8,8.65,9.6,5.7000003,139.0244,1.0,116,0.44727115234375,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00136000,2025-04-23 16:01:00+00:00,136.0,8.5,8.1,8.65,4.85,132.87671,8.0,43,0.4414118359375,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00137000,2025-04-23 15:23:02+00:00,137.0,7.65,7.2,7.6,4.6000004,150.8197,5.0,72,0.367193828125,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00138000,2025-04-23 16:01:11+00:00,138.0,6.93,6.7,7.3,4.18,151.99998,54.0,201,0.58789474609375,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00139000,2025-04-23 16:14:24+00:00,139.0,6.2,5.75,6.35,3.7899997,157.2614,32.0,170,0.5434615966796876,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00140000,2025-04-23 15:53:10+00:00,140.0,5.25,4.85,5.05,3.19,154.85437,108.0,461,0.40381455566406255,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00141000,2025-04-23 16:01:00+00:00,141.0,4.55,4.45,5.05,2.94,182.60867,74.0,130,0.5127001855468749,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00142000,2025-04-23 16:02:27+00:00,142.0,3.9,3.85,4.1,2.6000001,200.0,46.0,131,0.5158739819335938,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00143000,2025-04-23 15:34:52+00:00,143.0,3.46,2.89,3.15,2.4,226.41512,38.0,248,0.44824770507812495,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00144000,2025-04-23 16:04:50+00:00,144.0,2.9,2.6,2.99,2.17,297.26025,65.0,226,0.5249070947265625,True,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00145000,2025-04-23 16:22:55+00:00,145.0,2.15,2.1,2.49,1.5100001,235.93753,273.0,405,0.5229539892578124,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00146000,2025-04-23 16:16:35+00:00,146.0,1.88,1.74,2.06,1.48,370.00003,73.0,479,0.523442265625,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00147000,2025-04-23 15:47:16+00:00,147.0,1.59,1.4,1.66,1.23,341.66666,110.0,161,0.5185595019531251,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00148000,2025-04-23 15:39:40+00:00,148.0,1.35,1.01,1.12,1.15,574.9999,65.0,114,0.47119669433593747,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00149000,2025-04-23 15:32:05+00:00,149.0,1.05,0.55,0.98,0.87999994,517.647,325.0,71,0.4985401708984375,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00150000,2025-04-23 16:23:33+00:00,150.0,0.67,0.58,0.85,0.52,346.6666,210.0,432,0.5214891601562499,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00152500,2025-04-23 16:18:22+00:00,152.5,0.34,0.29,0.35,0.26,324.99994,47.0,144,0.48633326171875,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00155000,2025-04-23 14:45:45+00:00,155.0,0.2,0.13,0.17,0.16,399.99994,322.0,352,0.495122236328125,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00157500,2025-04-23 15:23:02+00:00,157.5,0.12,0.0,0.18,-0.089999996,-42.857143,16.0,127,0.51562984375,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00160000,2025-04-23 14:52:51+00:00,160.0,0.08,0.01,0.12,0.009999998,14.285711,29.0,366,0.5625043750000001,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00162500,2025-04-22 13:30:45+00:00,162.5,0.18,0.0,0.49,-0.019999996,-9.999997,3.0,207,0.79883013671875,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00165000,2025-04-23 15:12:42+00:00,165.0,0.04,0.0,0.12,0.01,33.333336,26.0,299,0.6914093359375001,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00167500,2025-04-23 15:33:17+00:00,167.5,0.01,0.0,0.1,-0.24,-96.0,15.0,9,0.7382838671874999,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00170000,2025-04-23 16:12:16+00:00,170.0,0.02,0.0,0.11,-0.01,-33.333336,20.0,381,0.8125018749999999,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00172500,2025-04-16 13:39:37+00:00,172.5,0.01,0.0,0.75,0.0,0.0,8.0,8,1.201175869140625,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00175000,2025-04-23 16:12:16+00:00,175.0,0.02,0.0,0.03,0.01,100.0,18.0,300,0.79687703125,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00180000,2025-04-21 17:18:15+00:00,180.0,0.02,0.0,0.2,0.0,0.0,11.0,111,1.140629296875,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00185000,2025-04-22 14:08:41+00:00,185.0,0.02,0.0,0.05,0.0,0.0,5.0,18,1.0625046875000002,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00190000,2025-04-07 13:52:46+00:00,190.0,0.96,0.0,1.26,0.0,0.0,4.0,13,1.8710943945312501,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00195000,2025-04-01 16:40:35+00:00,195.0,0.27,0.0,1.27,0.0,0.0,2.0,3,2.0087940405273432,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00200000,2025-04-07 14:09:41+00:00,200.0,0.05,0.0,1.11,0.0,0.0,1.0,7,2.0830126049804685,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00205000,2025-04-03 17:17:53+00:00,205.0,0.17,0.0,1.15,0.0,0.0,1.0,0,2.220707573242187,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00210000,2025-03-26 19:48:18+00:00,210.0,0.1,0.0,0.63,0.0,0.0,,1,2.107426606445312,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00220000,2025-03-26 19:48:02+00:00,220.0,0.24,0.0,0.58,0.0,0.0,,1,2.2871136572265627,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425C00230000,2025-04-22 13:40:52+00:00,230.0,0.24,0.0,0.22,0.0,0.0,5.0,6,2.1718795703125,False,REGULAR,USD,AMAT,1,2025-04-25,2025-04-23 13:00:35.779684,144.49000549316406
AMAT250425P00080000,2025-04-16 14:27:30+00:00,80.0,0.01,0.0,0.01,0.0,0.0,1.0,1,2.0625048437499998,False,REGULAR,USD,AMAT,0,2025-04-25,2025-04-23 13:00:35.780708,144.49000549316406
AMAT250425P00085000,2025-04-10 13:40:59+00:00,85.0,0.63,0.0,0.62,0.0,0.0,,11,3.0351586621093753,False,REGULAR,USD,AMAT,0,2025-04-25,2025-04-23 13:00:35.780708,144.49000549316406
AMAT250425P00090000,2025-04-08 16:40:45+00:00,90.0,0.31,0.0,0.25,0.0,0.0,,2,2.3906290234374996,False,REGULAR,USD,AMAT,0,2025-04-25,2025-04-23 13:00:35.780708,144.49000549316406
AMAT250425P00095000,2025-04-22 16:17:21+00:00,95.0,0.11,0.0,1.05,0.0,0.0,2.0,6,2.7207063232421875,False,REGULAR,USD,AMAT,0,2025-04-25,2025-04-23 13:00:35.780708,144.49000549316406
