contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AME250516C00150000,2025-04-23 16:10:03+00:00,150.0,14.3,13.3,14.3,5.6000004,64.36782,2.0,6,0.3966124792480469,True,REGULAR,USD,AME,1,2025-05-16,2025-04-23 13:00:26.818750,162.30999755859375
AME250516C00155000,2025-04-09 16:44:44+00:00,155.0,6.5,9.5,10.1,0.0,0.0,,83,0.35242346801757807,True,REGULAR,USD,AME,1,2025-05-16,2025-04-23 13:00:26.818750,162.30999755859375
AME250516C00160000,2025-04-22 14:23:56+00:00,160.0,4.7,6.1,6.7,0.0,0.0,2.0,125,0.3316717224121094,True,REGULAR,USD,AME,1,2025-05-16,2025-04-23 13:00:26.818750,162.30999755859375
AME250516C00165000,2025-04-22 19:53:58+00:00,165.0,2.95,3.5,4.0,0.0,0.0,14.0,111,0.3127510131835937,False,REGULAR,USD,AME,1,2025-05-16,2025-04-23 13:00:26.818750,162.30999755859375
AME250516C00170000,2025-04-22 19:47:47+00:00,170.0,1.55,1.7,2.15,0.0,0.0,2.0,595,0.30005582763671873,False,REGULAR,USD,AME,1,2025-05-16,2025-04-23 13:00:26.818750,162.30999755859375
AME250516C00175000,2025-04-23 14:02:41+00:00,175.0,1.18,0.75,0.95,0.53,81.53846,12.0,26,0.28321029296874994,False,REGULAR,USD,AME,1,2025-05-16,2025-04-23 13:00:26.818750,162.30999755859375
AME250516C00180000,2025-04-22 18:27:22+00:00,180.0,0.3,0.25,0.4,0.0,0.0,139.0,155,0.278327529296875,False,REGULAR,USD,AME,1,2025-05-16,2025-04-23 13:00:26.818750,162.30999755859375
AME250516C00185000,2025-04-10 18:31:58+00:00,185.0,0.52,0.0,1.4,0.0,0.0,10.0,14,0.4626518579101563,False,REGULAR,USD,AME,1,2025-05-16,2025-04-23 13:00:26.818750,162.30999755859375
AME250516C00190000,2025-03-24 17:41:27+00:00,190.0,2.01,0.0,1.35,0.0,0.0,,18,0.5185595019531251,False,REGULAR,USD,AME,1,2025-05-16,2025-04-23 13:00:26.818750,162.30999755859375
AME250516C00195000,2025-03-28 15:07:40+00:00,195.0,0.49,0.0,0.5,0.0,0.0,1.0,11,0.4523980541992188,False,REGULAR,USD,AME,1,2025-05-16,2025-04-23 13:00:26.818750,162.30999755859375
AME250516C00200000,2025-03-26 14:12:07+00:00,200.0,0.6,0.0,1.35,0.0,0.0,,5,0.5327195166015625,False,REGULAR,USD,AME,1,2025-05-16,2025-04-23 13:00:26.818750,162.30999755859375
AME250516P00120000,2025-04-07 15:26:55+00:00,120.0,1.18,0.0,0.55,0.0,0.0,,1,0.632816171875,False,REGULAR,USD,AME,0,2025-05-16,2025-04-23 13:00:26.819753,162.30999755859375
AME250516P00125000,2025-04-15 13:38:43+00:00,125.0,0.35,0.0,0.35,0.0,0.0,1.0,6,0.51758294921875,False,REGULAR,USD,AME,0,2025-05-16,2025-04-23 13:00:26.819753,162.30999755859375
AME250516P00130000,2025-04-16 19:53:06+00:00,130.0,0.65,0.0,0.75,0.0,0.0,,2,0.5170946728515625,False,REGULAR,USD,AME,0,2025-05-16,2025-04-23 13:00:26.819753,162.30999755859375
AME250516P00135000,2025-04-09 16:02:37+00:00,135.0,4.02,0.05,1.6,0.0,0.0,1.0,1,0.532231240234375,False,REGULAR,USD,AME,0,2025-05-16,2025-04-23 13:00:26.819753,162.30999755859375
AME250516P00140000,2025-04-10 15:26:35+00:00,140.0,2.05,0.05,0.7,0.0,0.0,,77,0.43115803222656257,False,REGULAR,USD,AME,0,2025-05-16,2025-04-23 13:00:26.819753,162.30999755859375
AME250516P00145000,2025-04-16 19:08:58+00:00,145.0,1.86,0.35,1.0,0.0,0.0,2.0,3,0.39063109375,False,REGULAR,USD,AME,0,2025-05-16,2025-04-23 13:00:26.819753,162.30999755859375
AME250516P00150000,2025-04-15 18:10:56+00:00,150.0,2.15,1.3,1.6,0.0,0.0,2.0,156,0.3626772717285156,False,REGULAR,USD,AME,0,2025-05-16,2025-04-23 13:00:26.819753,162.30999755859375
AME250516P00155000,2025-04-22 18:41:15+00:00,155.0,3.6,2.4,2.8,0.0,0.0,8.0,15,0.35315588256835934,False,REGULAR,USD,AME,0,2025-05-16,2025-04-23 13:00:26.819753,162.30999755859375
AME250516P00160000,2025-04-22 16:44:12+00:00,160.0,5.37,4.0,4.6,0.0,0.0,1.0,404,0.344733115234375,False,REGULAR,USD,AME,0,2025-05-16,2025-04-23 13:00:26.819753,162.30999755859375
AME250516P00165000,2025-04-16 15:50:57+00:00,165.0,7.8,6.2,7.1,0.0,0.0,5.0,23,0.33789724609375,True,REGULAR,USD,AME,0,2025-05-16,2025-04-23 13:00:26.819753,162.30999755859375
AME250516P00170000,2025-04-04 13:56:13+00:00,170.0,16.7,8.1,10.1,0.0,0.0,4.0,3,0.31836619140624994,True,REGULAR,USD,AME,0,2025-05-16,2025-04-23 13:00:26.819753,162.30999755859375
AME250516P00175000,2025-04-03 18:33:06+00:00,175.0,13.5,12.9,14.3,0.0,0.0,1.0,2,0.34290207885742185,True,REGULAR,USD,AME,0,2025-05-16,2025-04-23 13:00:26.819753,162.30999755859375
AME250516P00180000,2025-03-20 13:43:04+00:00,180.0,8.38,20.8,24.2,0.0,0.0,,0,0.6619906848144532,True,REGULAR,USD,AME,0,2025-05-16,2025-04-23 13:00:26.819753,162.30999755859375
AME250516P00185000,2025-03-25 16:14:44+00:00,185.0,8.7,21.3,24.7,0.0,0.0,,0,0.5217332983398437,True,REGULAR,USD,AME,0,2025-05-16,2025-04-23 13:00:26.819753,162.30999755859375
AME250620C00130000,2025-04-04 15:29:35+00:00,130.0,28.4,32.4,35.4,0.0,0.0,13.0,13,0.5808147387695313,True,REGULAR,USD,AME,1,2025-06-20,2025-04-23 13:00:26.874914,162.30999755859375
AME250620C00140000,2025-04-14 19:55:37+00:00,140.0,24.7,23.0,26.0,0.0,0.0,,1,0.47937532348632805,True,REGULAR,USD,AME,1,2025-06-20,2025-04-23 13:00:26.874914,162.30999755859375
AME250620C00150000,2025-04-23 15:18:13+00:00,150.0,17.49,15.3,16.3,-0.010000229,-0.057144165,2.0,12,0.35217932983398437,True,REGULAR,USD,AME,1,2025-06-20,2025-04-23 13:00:26.874914,162.30999755859375
AME250620C00155000,2025-04-21 16:04:33+00:00,155.0,7.7,11.8,12.7,0.0,0.0,1.0,11,0.3363103479003906,True,REGULAR,USD,AME,1,2025-06-20,2025-04-23 13:00:26.874914,162.30999755859375
AME250620C00160000,2025-04-22 17:12:13+00:00,160.0,7.2,8.4,9.1,0.0,0.0,1.0,4,0.30542686767578126,True,REGULAR,USD,AME,1,2025-06-20,2025-04-23 13:00:26.874914,162.30999755859375
AME250620C00165000,2025-04-21 19:49:03+00:00,165.0,3.7,5.8,7.6,0.0,0.0,2.0,83,0.33850759155273435,False,REGULAR,USD,AME,1,2025-06-20,2025-04-23 13:00:26.874914,162.30999755859375
AME250620C00170000,2025-04-22 16:00:26+00:00,170.0,3.65,3.9,4.2,0.0,0.0,5.0,28,0.27857166748046874,False,REGULAR,USD,AME,1,2025-06-20,2025-04-23 13:00:26.874914,162.30999755859375
AME250620C00175000,2025-04-23 14:05:40+00:00,175.0,2.95,2.25,2.6,1.1500001,63.888893,8.0,130,0.26807372558593745,False,REGULAR,USD,AME,1,2025-06-20,2025-04-23 13:00:26.874914,162.30999755859375
AME250620C00180000,2025-04-21 19:31:41+00:00,180.0,0.7,1.2,1.6,0.0,0.0,4.0,294,0.26489992919921873,False,REGULAR,USD,AME,1,2025-06-20,2025-04-23 13:00:26.874914,162.30999755859375
AME250620C00185000,2025-04-15 16:55:31+00:00,185.0,0.75,0.85,1.75,0.0,0.0,1.0,183,0.31726756958007807,False,REGULAR,USD,AME,1,2025-06-20,2025-04-23 13:00:26.874914,162.30999755859375
AME250620C00190000,2025-04-15 15:40:25+00:00,190.0,0.4,0.25,1.35,0.0,0.0,1.0,60,0.3306951696777344,False,REGULAR,USD,AME,1,2025-06-20,2025-04-23 13:00:26.874914,162.30999755859375
AME250620C00195000,2025-04-03 18:50:37+00:00,195.0,0.5,0.05,1.55,0.0,0.0,28.0,114,0.38220832641601554,False,REGULAR,USD,AME,1,2025-06-20,2025-04-23 13:00:26.874914,162.30999755859375
AME250620C00200000,2025-04-03 19:48:00+00:00,200.0,0.3,0.0,1.45,0.0,0.0,2.0,139,0.4101621484375,False,REGULAR,USD,AME,1,2025-06-20,2025-04-23 13:00:26.874914,162.30999755859375
AME250620C00210000,2025-04-04 16:35:57+00:00,210.0,0.48,0.0,1.35,0.0,0.0,4.0,122,0.4672904833984375,False,REGULAR,USD,AME,1,2025-06-20,2025-04-23 13:00:26.874914,162.30999755859375
