contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AMGN250425C00175000,2025-04-08 13:31:41+00:00,175.0,115.8,101.05,104.4,0.0,0.0,,5,2.9765650585937498,True,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00250000,2025-04-11 19:58:26+00:00,250.0,30.96,26.85,29.6,-7.040001,-18.52632,1.0,148,0.9672854833984376,True,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00255000,2025-04-09 17:18:43+00:00,255.0,26.4,21.3,25.55,0.0,0.0,,1,1.0065967639160154,True,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00260000,2025-04-17 17:58:40+00:00,260.0,18.08,16.2,19.75,0.0,0.0,4.0,4,0.7270535107421875,True,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00262500,2025-04-21 18:44:40+00:00,262.5,10.75,13.35,17.45,0.0,0.0,1.0,2,0.689700368652344,True,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00265000,2025-04-17 14:35:15+00:00,265.0,11.6,11.4,14.95,0.0,0.0,1.0,13,0.6167030517578126,True,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00270000,2025-04-22 17:14:40+00:00,270.0,12.77,7.65,9.55,4.1400003,47.972195,1.0,16,0.4101621484375,True,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00272500,2025-04-22 14:14:47+00:00,272.5,5.8,6.35,7.8,0.0,0.0,3.0,16,0.4250545776367188,True,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00275000,2025-04-22 16:49:57+00:00,275.0,5.1,4.55,6.35,0.099999905,1.9999981,1.0,48,0.44605046142578125,True,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00277500,2025-04-23 16:27:56+00:00,277.5,3.34,2.96,3.75,0.39999986,13.605436,23.0,260,0.3278875805664062,True,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00280000,2025-04-23 16:10:27+00:00,280.0,2.46,1.85,2.5,-0.19000006,-7.169813,43.0,131,0.3217841259765625,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00282500,2025-04-23 16:08:13+00:00,282.5,1.5,1.05,1.53,0.0,0.0,23.0,123,0.31323928955078123,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00285000,2025-04-23 15:32:08+00:00,285.0,0.85,0.61,0.97,-0.089999974,-9.574465,18.0,201,0.3210517114257812,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00287500,2025-04-23 14:20:43+00:00,287.5,0.98,0.28,0.45,0.39000005,66.10171,28.0,107,0.3012765185546875,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00290000,2025-04-23 14:03:53+00:00,290.0,0.5,0.1,0.25,0.13,35.135136,52.0,133,0.30762411132812495,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00292500,2025-04-23 14:14:39+00:00,292.5,0.32,0.03,0.35,0.16999999,113.33331,18.0,63,0.38477177734374995,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00295000,2025-04-23 15:42:18+00:00,295.0,0.1,0.0,0.1,0.020000003,25.000004,10.0,90,0.33887379882812496,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00297500,2025-04-23 15:42:08+00:00,297.5,0.42,0.06,0.41,0.119999975,39.99999,10.0,86,0.499028447265625,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00300000,2025-04-22 14:30:25+00:00,300.0,0.1,0.0,0.1,0.07,233.33333,15.0,254,0.41797457031249996,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00302500,2025-04-22 15:33:59+00:00,302.5,0.02,0.0,0.31,-0.59000003,-96.72131,5.0,32,0.5585981640625001,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00305000,2025-04-17 18:44:44+00:00,305.0,0.46,0.0,0.11,0.0,0.0,10.0,271,0.5019581054687501,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00307500,2025-04-17 19:11:51+00:00,307.5,0.72,0.0,0.26,0.0,0.0,3.0,65,0.55273884765625,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00310000,2025-04-23 14:34:44+00:00,310.0,0.01,0.0,0.21,-0.060000002,-85.71429,104.0,168,0.5722699023437501,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00312500,2025-04-15 19:46:20+00:00,312.5,0.4,0.0,1.27,0.0,0.0,1.0,7,0.8413101806640625,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00315000,2025-04-22 19:53:05+00:00,315.0,0.23,0.0,0.31,0.0,0.0,1.0,83,0.6816438085937502,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00317500,2025-04-14 15:24:09+00:00,317.5,0.15,0.0,0.5,0.0,0.0,,4,0.7763694238281251,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00320000,2025-04-23 15:07:45+00:00,320.0,0.5,0.0,0.01,0.49,4900.005,2.0,163,0.51562984375,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00322500,2025-04-07 19:05:10+00:00,322.5,1.62,0.0,1.27,0.0,0.0,,6,1.0127002490234376,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00325000,2025-04-23 13:58:19+00:00,325.0,0.64,0.0,1.26,0.22999999,56.097557,1.0,35,1.0522508325195314,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00330000,2025-04-22 17:05:38+00:00,330.0,0.03,0.0,0.27,0.0,0.0,3.0,539,0.8730481445312499,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00335000,2025-04-17 13:30:10+00:00,335.0,0.66,0.0,1.05,0.0,0.0,3.0,14,1.168461188964844,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00340000,2025-04-21 16:43:59+00:00,340.0,0.18,0.0,1.27,0.0,0.0,40.0,65,1.2876012182617185,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00345000,2025-04-04 13:54:31+00:00,345.0,0.59,0.0,0.23,0.0,0.0,1.0,18,1.0410204199218753,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00350000,2025-03-24 14:57:07+00:00,350.0,0.63,0.0,1.26,0.0,0.0,1.0,2,1.4306669091796875,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00360000,2025-03-25 17:52:42+00:00,360.0,0.2,0.0,1.25,0.0,0.0,1.0,3,1.5673849755859375,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00370000,2025-03-25 14:53:14+00:00,370.0,0.2,0.0,1.27,0.0,0.0,,1,1.7041030419921874,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425C00375000,2025-04-01 14:14:03+00:00,375.0,0.12,0.0,1.25,0.0,0.0,1.0,1,1.763673056640625,False,REGULAR,USD,AMGN,1,2025-04-25,2025-04-23 13:00:27.267195,278.3699951171875
AMGN250425P00210000,2025-04-11 14:25:40+00:00,210.0,1.57,0.0,0.7,0.0,0.0,,3,1.6035176074218749,False,REGULAR,USD,AMGN,0,2025-04-25,2025-04-23 13:00:27.268198,278.3699951171875
AMGN250425P00215000,2025-04-16 19:08:23+00:00,215.0,1.25,0.0,0.5,0.0,0.0,2.0,5,1.41015919921875,False,REGULAR,USD,AMGN,0,2025-04-25,2025-04-23 13:00:27.268198,278.3699951171875
AMGN250425P00217500,2025-04-17 19:57:46+00:00,217.5,0.03,0.0,0.11,0.0,0.0,13.0,13,1.1054732226562503,False,REGULAR,USD,AMGN,0,2025-04-25,2025-04-23 13:00:27.268198,278.3699951171875
AMGN250425P00220000,2025-04-17 13:57:10+00:00,220.0,0.26,0.0,2.5,0.0,0.0,1.0,4,1.769044123535156,False,REGULAR,USD,AMGN,0,2025-04-25,2025-04-23 13:00:27.268198,278.3699951171875
AMGN250425P00225000,2025-04-22 14:49:46+00:00,225.0,0.01,0.0,1.27,0.0,0.0,6.0,6,1.4096709204101563,False,REGULAR,USD,AMGN,0,2025-04-25,2025-04-23 13:00:27.268198,278.3699951171875
AMGN250425P00230000,2025-04-14 14:28:38+00:00,230.0,0.3,0.0,0.5,0.0,0.0,1.0,12,1.0869186279296876,False,REGULAR,USD,AMGN,0,2025-04-25,2025-04-23 13:00:27.268198,278.3699951171875
AMGN250425P00235000,2025-04-22 14:49:21+00:00,235.0,0.1,0.0,0.5,0.0,0.0,20.0,24,0.98242205078125,False,REGULAR,USD,AMGN,0,2025-04-25,2025-04-23 13:00:27.268198,278.3699951171875
