contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AMP250516C00410000,2025-04-16 19:13:46+00:00,410.0,56.0,64.0,70.0,0.0,0.0,1.0,5,0.48730981445312505,True,REGULAR,USD,AMP,1,2025-05-16,2025-04-23 13:00:25.953723,476.9700012207031
AMP250516C00420000,2025-04-07 17:00:10+00:00,420.0,30.7,55.2,59.3,0.0,0.0,1.0,5,0.3980773083496094,True,REGULAR,USD,AMP,1,2025-05-16,2025-04-23 13:00:25.953723,476.9700012207031
AMP250516C00430000,2025-04-09 13:59:18+00:00,430.0,30.05,46.5,50.7,0.0,0.0,,3,0.3978331701660156,True,REGULAR,USD,AMP,1,2025-05-16,2025-04-23 13:00:25.953723,476.9700012207031
AMP250516C00440000,2025-04-08 13:46:48+00:00,440.0,29.76,37.6,43.3,0.0,0.0,2.0,2,0.4157773266601562,True,REGULAR,USD,AMP,1,2025-05-16,2025-04-23 13:00:25.953723,476.9700012207031
AMP250516C00450000,2025-04-09 17:34:05+00:00,450.0,29.5,30.3,37.0,0.0,0.0,1.0,1,0.4388178677368164,True,REGULAR,USD,AMP,1,2025-05-16,2025-04-23 13:00:25.953723,476.9700012207031
AMP250516C00460000,2025-04-11 14:44:42+00:00,460.0,25.8,23.5,30.4,0.0,0.0,2.0,15,0.4347590704345704,True,REGULAR,USD,AMP,1,2025-05-16,2025-04-23 13:00:25.953723,476.9700012207031
AMP250516C00470000,2025-04-21 15:23:38+00:00,470.0,29.64,17.4,23.4,18.89,175.72093,6.0,12,0.40726300750732425,True,REGULAR,USD,AMP,1,2025-05-16,2025-04-23 13:00:25.953723,476.9700012207031
AMP250516C00480000,2025-04-21 14:07:15+00:00,480.0,25.0,12.8,19.0,16.7,201.20485,2.0,13,0.41855439849853515,False,REGULAR,USD,AMP,1,2025-05-16,2025-04-23 13:00:25.953723,476.9700012207031
AMP250516C00490000,2025-04-23 14:58:03+00:00,490.0,14.42,8.4,15.0,7.42,106.0,1.0,7,0.4221859539794922,False,REGULAR,USD,AMP,1,2025-05-16,2025-04-23 13:00:25.953723,476.9700012207031
AMP250516C00500000,2025-04-22 19:42:36+00:00,500.0,5.0,5.5,10.8,0.0,0.0,3.0,47,0.40582869567871094,False,REGULAR,USD,AMP,1,2025-05-16,2025-04-23 13:00:25.953723,476.9700012207031
AMP250516C00510000,2025-04-23 14:57:24+00:00,510.0,5.8,4.5,7.4,2.2000003,61.111122,3.0,22,0.389654541015625,False,REGULAR,USD,AMP,1,2025-05-16,2025-04-23 13:00:25.953723,476.9700012207031
AMP250516C00520000,2025-04-15 19:13:59+00:00,520.0,3.5,0.55,7.8,0.07999992,2.339179,3.0,4,0.4564873687744141,False,REGULAR,USD,AMP,1,2025-05-16,2025-04-23 13:00:25.953723,476.9700012207031
AMP250516C00530000,2025-04-21 16:07:47+00:00,530.0,0.5,0.05,6.8,0.0,0.0,1.0,5,0.4822439471435547,False,REGULAR,USD,AMP,1,2025-05-16,2025-04-23 13:00:25.953723,476.9700012207031
AMP250516C00550000,2025-04-22 14:11:18+00:00,550.0,0.05,0.35,3.3,0.0,0.0,1.0,14,0.4587456469726563,False,REGULAR,USD,AMP,1,2025-05-16,2025-04-23 13:00:25.953723,476.9700012207031
AMP250516C00560000,2025-03-27 16:18:26+00:00,560.0,2.15,0.0,1.5,0.0,0.0,,2,0.4101621484375,False,REGULAR,USD,AMP,1,2025-05-16,2025-04-23 13:00:25.953723,476.9700012207031
AMP250516C00630000,2025-04-11 17:30:09+00:00,630.0,0.45,0.0,1.5,0.0,0.0,,6,0.5556685058593751,False,REGULAR,USD,AMP,1,2025-05-16,2025-04-23 13:00:25.953723,476.9700012207031
AMP250516P00300000,2025-04-15 14:04:16+00:00,300.0,0.8,0.0,0.9,0.0,0.0,3.0,4,0.8393570751953124,False,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00310000,2025-04-08 13:38:34+00:00,310.0,2.05,0.0,1.0,0.0,0.0,,1,0.7983418603515625,False,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00320000,2025-04-14 13:32:54+00:00,320.0,1.6,0.0,1.5,0.0,0.0,1.0,0,0.7944356494140624,False,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00330000,2025-04-08 15:17:56+00:00,330.0,3.11,0.0,1.5,0.0,0.0,,3,0.7409693872070311,False,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00350000,2025-04-22 13:34:19+00:00,350.0,1.0,0.0,1.6,0.0,0.0,1.0,2,0.6447789428710937,False,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00360000,2025-04-22 13:34:19+00:00,360.0,1.1,0.0,1.75,0.0,0.0,2.0,3,0.603763728027344,False,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00370000,2025-04-22 13:34:18+00:00,370.0,1.0,0.0,1.95,-0.9,-47.368423,1.0,5,0.5649457568359376,False,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00390000,2025-04-22 13:34:18+00:00,390.0,3.0,0.0,2.45,0.0,0.0,1.0,2,0.5714764532470704,False,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00400000,2025-04-23 16:19:35+00:00,400.0,1.35,0.1,2.05,-1.85,-57.8125,3.0,1,0.49255878540039066,False,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00410000,2025-04-22 15:02:12+00:00,410.0,2.8,0.3,3.2,0.0,0.0,4.0,5,0.495122236328125,False,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00420000,2025-04-22 15:27:01+00:00,420.0,4.79,0.95,4.6,0.0,0.0,8.0,12,0.4910939562988281,False,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00430000,2025-04-21 15:52:20+00:00,430.0,12.0,1.7,5.0,0.0,0.0,1.0,10,0.44159493957519536,False,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00440000,2025-04-23 16:13:34+00:00,440.0,6.45,3.3,9.8,-7.95,-55.208336,1.0,10,0.5095263891601562,False,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00450000,2025-04-23 14:11:17+00:00,450.0,4.0,5.8,13.6,-6.0,-60.0,1.0,5,0.523320196533203,False,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00460000,2025-04-22 15:27:01+00:00,460.0,16.3,8.6,13.2,0.0,0.0,8.0,22,0.4297542376708985,False,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00470000,2025-04-15 19:25:10+00:00,470.0,17.27,12.6,19.3,0.0,0.0,126.0,126,0.4671989315795898,False,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00480000,2025-04-23 13:41:01+00:00,480.0,12.8,17.7,26.0,-7.9000006,-38.164253,17.0,4,0.500005,True,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00490000,2025-04-04 13:41:20+00:00,490.0,24.65,23.3,29.8,-42.089996,-63.065624,10.0,3,0.45914237152099613,True,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00500000,2025-04-07 19:41:51+00:00,500.0,79.6,30.8,37.0,0.0,0.0,1.0,2,0.4752860089111328,True,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00510000,2025-04-17 15:57:58+00:00,510.0,44.9,37.3,43.7,0.0,0.0,8.0,8,0.46796186340332036,True,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
AMP250516P00540000,2025-04-07 14:11:52+00:00,540.0,116.0,64.1,69.9,0.0,0.0,,1,0.5335740002441407,True,REGULAR,USD,AMP,0,2025-05-16,2025-04-23 13:00:25.954745,476.9700012207031
