contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AMT250516C00170000,2025-04-11 14:15:41+00:00,170.0,40.7,40.0,42.3,0.0,0.0,,22,0.6491734301757812,True,REGULAR,USD,AMT,1,2025-05-16,2025-04-23 13:00:24.590563,210.84750366210938
AMT250516C00180000,2025-03-24 16:46:56+00:00,180.0,33.9,30.1,32.6,0.0,0.0,,1,0.5451705639648439,True,REGULAR,USD,AMT,1,2025-05-16,2025-04-23 13:00:24.590563,210.84750366210938
AMT250516C00185000,2025-04-15 17:57:17+00:00,185.0,36.38,25.3,27.8,0.0,0.0,5.0,8,0.4936574072265626,True,REGULAR,USD,AMT,1,2025-05-16,2025-04-23 13:00:24.590563,210.84750366210938
AMT250516C00190000,2025-04-08 19:36:39+00:00,190.0,20.08,20.7,23.3,0.0,0.0,,1,0.46045461425781253,True,REGULAR,USD,AMT,1,2025-05-16,2025-04-23 13:00:24.590563,210.84750366210938
AMT250516C00195000,2025-04-11 17:50:11+00:00,195.0,21.4,16.7,18.7,0.0,0.0,1.0,10,0.4115049084472656,True,REGULAR,USD,AMT,1,2025-05-16,2025-04-23 13:00:24.590563,210.84750366210938
AMT250516C00200000,2025-04-17 18:37:14+00:00,200.0,25.64,12.4,14.0,0.0,0.0,10.0,213,0.34924967163085935,True,REGULAR,USD,AMT,1,2025-05-16,2025-04-23 13:00:24.590563,210.84750366210938
AMT250516C00210000,2025-04-23 14:17:17+00:00,210.0,7.2,6.7,7.4,-7.2,-50.0,46.0,225,0.3237372314453124,True,REGULAR,USD,AMT,1,2025-05-16,2025-04-23 13:00:24.590563,210.84750366210938
AMT250516C00220000,2025-04-23 16:05:42+00:00,220.0,2.7,2.5,3.0,-5.0199995,-65.0259,46.0,461,0.2990792749023437,False,REGULAR,USD,AMT,1,2025-05-16,2025-04-23 13:00:24.590563,210.84750366210938
AMT250516C00230000,2025-04-23 16:19:31+00:00,230.0,0.65,0.55,0.8,-2.35,-78.33333,22.0,1710,0.27368890380859373,False,REGULAR,USD,AMT,1,2025-05-16,2025-04-23 13:00:24.590563,210.84750366210938
AMT250516C00240000,2025-04-23 15:59:46+00:00,240.0,0.2,0.1,0.25,-0.65000004,-76.47059,7.0,351,0.2846751220703124,False,REGULAR,USD,AMT,1,2025-05-16,2025-04-23 13:00:24.590563,210.84750366210938
AMT250516C00250000,2025-04-22 17:35:03+00:00,250.0,0.36,0.0,0.7,0.0,0.0,6.0,107,0.4343318286132813,False,REGULAR,USD,AMT,1,2025-05-16,2025-04-23 13:00:24.590563,210.84750366210938
AMT250516C00260000,2025-04-21 15:15:44+00:00,260.0,0.05,0.0,0.25,-0.05,-50.0,1.0,15,0.42090422851562503,False,REGULAR,USD,AMT,1,2025-05-16,2025-04-23 13:00:24.590563,210.84750366210938
AMT250516C00270000,2025-04-03 17:46:58+00:00,270.0,1.3,0.0,0.15,1.16,828.57153,1.0,12,0.4467828759765625,False,REGULAR,USD,AMT,1,2025-05-16,2025-04-23 13:00:24.590563,210.84750366210938
AMT250516P00135000,2025-04-02 14:55:34+00:00,135.0,0.05,0.0,0.25,0.0,0.0,,5,0.7607445800781252,False,REGULAR,USD,AMT,0,2025-05-16,2025-04-23 13:00:24.591567,210.84750366210938
AMT250516P00140000,2025-03-27 14:09:02+00:00,140.0,0.38,0.0,0.55,0.0,0.0,,1,0.789064609375,False,REGULAR,USD,AMT,0,2025-05-16,2025-04-23 13:00:24.591567,210.84750366210938
AMT250516P00145000,2025-04-07 13:32:40+00:00,145.0,0.4,0.0,0.6,0.0,0.0,,80,0.7392604199218749,False,REGULAR,USD,AMT,0,2025-05-16,2025-04-23 13:00:24.591567,210.84750366210938
AMT250516P00150000,2025-04-15 16:25:47+00:00,150.0,0.2,0.0,0.1,0.0,0.0,,4,0.53320779296875,False,REGULAR,USD,AMT,0,2025-05-16,2025-04-23 13:00:24.591567,210.84750366210938
AMT250516P00160000,2025-04-15 14:55:14+00:00,160.0,0.12,0.05,1.4,-0.38,-76.0,5.0,11,0.6709017285156251,False,REGULAR,USD,AMT,0,2025-05-16,2025-04-23 13:00:24.591567,210.84750366210938
AMT250516P00165000,2025-04-22 15:17:55+00:00,165.0,0.1,0.0,0.3,-0.019999996,-16.666662,1.0,19,0.5136767382812499,False,REGULAR,USD,AMT,0,2025-05-16,2025-04-23 13:00:24.591567,210.84750366210938
AMT250516P00170000,2025-04-09 18:00:35+00:00,170.0,0.94,0.0,0.85,0.0,0.0,,36,0.56836369140625,False,REGULAR,USD,AMT,0,2025-05-16,2025-04-23 13:00:24.591567,210.84750366210938
AMT250516P00175000,2025-04-23 15:16:59+00:00,175.0,0.34,0.3,0.65,-0.24999997,-42.372875,2.0,12,0.47681187255859375,False,REGULAR,USD,AMT,0,2025-05-16,2025-04-23 13:00:24.591567,210.84750366210938
