contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AMZN250425C00105000,2025-04-22 19:41:01+00:00,105.0,67.27,76.7,77.4,0.0,0.0,1.0,18,2.7382844042968753,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00110000,2025-04-23 14:40:33+00:00,110.0,76.7,71.65,72.2,13.589996,21.533823,20.0,7,2.1093797265624996,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00115000,2025-04-14 14:27:50+00:00,115.0,70.16,65.95,66.4,0.0,0.0,8.0,8,1.0000000000000003e-05,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00120000,2025-04-23 13:39:05+00:00,120.0,64.53,61.35,61.9,11.309998,21.251404,1.0,144,1.5625021874999998,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00122000,2025-04-21 14:29:12+00:00,122.0,44.31,59.4,59.9,0.0,0.0,4.0,3,1.5000025,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00123000,2025-04-21 14:29:12+00:00,123.0,43.29,58.65,59.15,0.0,0.0,4.0,3,1.46875265625,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00124000,2025-04-15 14:35:00+00:00,124.0,56.81,57.2,57.65,0.0,0.0,,4,1.0000000000000003e-05,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00125000,2025-04-21 19:24:47+00:00,125.0,41.2,56.7,57.2,0.0,0.0,30.0,65,1.7109389453125,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00126000,2025-04-15 14:40:21+00:00,126.0,54.45,55.55,56.2,0.0,0.0,,4,2.1171922070312497,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00127000,2025-04-22 14:16:46+00:00,127.0,44.56,54.7,55.2,0.0,0.0,8.0,8,1.64453302734375,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00128000,2025-04-22 14:16:46+00:00,128.0,43.49,53.65,54.25,0.0,0.0,8.0,8,1.609376953125,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00129000,2025-04-23 14:30:44+00:00,129.0,57.26,52.05,52.7,14.769997,34.76111,4.0,8,1.0000000000000003e-05,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00130000,2025-04-23 14:30:44+00:00,130.0,56.29,51.2,51.7,14.84,35.80217,7.0,66,1.0000000000000003e-05,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00131000,2025-04-21 14:00:29+00:00,131.0,36.2,50.65,51.25,0.0,0.0,4.0,6,1.5156274218749999,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00132000,2025-04-21 14:00:29+00:00,132.0,35.27,49.7,50.25,0.0,0.0,4.0,13,1.5507834960937497,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00133000,2025-04-23 15:00:35+00:00,133.0,51.75,48.6,49.25,17.48,51.00671,31.0,6,1.3671906640625,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00134000,2025-04-15 14:55:02+00:00,134.0,46.8,47.35,47.95,0.0,0.0,,4,1.421877890625,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00135000,2025-04-17 16:51:31+00:00,135.0,38.5,46.7,47.35,0.0,0.0,19.0,55,1.5507834960937497,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00136000,2025-04-15 14:53:37+00:00,136.0,44.9,45.3,45.95,0.0,0.0,,4,1.359378203125,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00137000,2025-04-15 14:53:37+00:00,137.0,43.9,44.65,45.25,0.0,0.0,,4,1.3281283593749997,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00138000,2025-04-22 19:43:41+00:00,138.0,45.85,43.15,43.7,10.919998,31.262518,1.0,9,1.0000000000000003e-05,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00140000,2025-04-23 16:19:18+00:00,140.0,41.45,41.55,42.3,8.549999,25.987839,2.0,71,1.1640666796875,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00141000,2025-04-22 19:43:41+00:00,141.0,31.85,40.7,41.25,0.0,0.0,4.0,6,1.2656286718749998,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00145000,2025-04-23 15:34:20+00:00,145.0,37.95,36.35,36.9,9.780001,34.71779,5.0,249,0.8906260937499999,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00146000,2025-04-23 15:23:02+00:00,146.0,37.95,35.55,36.2,8.720001,29.832369,6.0,2,1.369143779296875,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00148000,2025-04-22 15:12:25+00:00,148.0,36.75,33.75,34.35,11.139999,43.49863,6.0,8,1.15625421875,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00150000,2025-04-23 16:05:56+00:00,150.0,32.35,31.35,31.75,9.329998,40.529964,52.0,15306,1.0000000000000003e-05,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00152500,2025-04-23 15:04:49+00:00,152.5,32.65,29.1,29.5,8.350002,34.362152,7.0,121,0.9531254687499999,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00155000,2025-04-23 14:56:24+00:00,155.0,29.15,26.85,27.1,10.75,58.423916,68.0,470,0.8437515624999999,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00157500,2025-04-22 19:24:38+00:00,157.5,25.71,24.4,24.85,10.759999,71.973236,10.0,743,0.914063359375,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00160000,2025-04-23 15:34:22+00:00,160.0,23.2,21.75,21.95,9.620001,70.83948,1177.0,5281,0.6621127539062501,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00162500,2025-04-23 16:18:33+00:00,162.5,19.3,19.55,19.95,8.15,73.09417,45.0,214,0.8193377441406249,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00165000,2025-04-23 16:14:41+00:00,165.0,17.05,16.95,17.3,7.9799995,87.98235,299.0,3146,0.6660189648437502,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00167500,2025-04-23 16:14:15+00:00,167.5,14.65,14.15,14.5,7.5999994,107.80141,308.0,2678,0.5019581054687501,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00170000,2025-04-23 16:16:48+00:00,170.0,12.1,12.0,12.25,6.9000006,132.69232,1660.0,4403,0.5522505712890625,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00172500,2025-04-23 16:16:22+00:00,172.5,9.92,9.85,10.0,6.3900003,181.01987,2113.0,6125,0.516606396484375,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00175000,2025-04-23 16:30:05+00:00,175.0,7.94,7.9,8.0,5.65,246.7249,7847.0,13673,0.5376022802734376,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00177500,2025-04-23 16:28:25+00:00,177.5,5.55,5.7,5.8,4.21,314.17908,4256.0,6268,0.48120635986328125,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
AMZN250425C00180000,2025-04-23 16:28:51+00:00,180.0,3.9,4.0,4.1,3.16,427.027,18752.0,19331,0.46802289794921875,True,REGULAR,USD,AMZN,1,2025-04-25,2025-04-23 13:00:18.155956,181.83189392089844
