contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ANET250425C00048500,2025-04-16 17:57:34+00:00,48.5,22.6,22.3,23.1,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,ANET,1,2025-04-25,2025-04-23 13:00:39.524539,71.73999786376953
ANET250425C00050000,2025-04-16 14:51:22+00:00,50.0,22.19,20.7,21.6,0.0,0.0,4.0,4.0,1.0000000000000003e-05,1.0,REGULAR,USD,ANET,1,2025-04-25,2025-04-23 13:00:39.524539,71.73999786376953
ANET250425C00052000,2025-04-23 15:34:58+00:00,52.0,19.82,18.8,19.7,-0.8600006,-4.1586103,2.0,2.0,1.0000000000000003e-05,1.0,REGULAR,USD,ANET,1,2025-04-25,2025-04-23 13:00:39.524539,71.73999786376953
ANET250425C00053000,2025-04-23 16:29:10+00:00,53.0,18.24,17.9,18.5,2.5599995,16.326527,2.0,2.0,1.0000000000000003e-05,1.0,REGULAR,USD,ANET,1,2025-04-25,2025-04-23 13:00:39.524539,71.73999786376953
ANET250425C00057000,2025-04-22 14:11:04+00:00,57.0,11.64,13.7,14.7,0.0,0.0,1.0,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,ANET,1,2025-04-25,2025-04-23 13:00:39.524539,71.73999786376953
ANET250425C00058000,2025-04-07 17:00:11+00:00,58.0,11.8,12.9,13.7,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,ANET,1,2025-04-25,2025-04-23 13:00:39.524539,71.73999786376953
ANET250425C00059000,2025-04-08 18:30:11+00:00,59.0,13.4,11.6,12.7,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,ANET,1,2025-04-25,2025-04-23 13:00:39.524539,71.73999786376953
ANET250425C00060000,2025-04-23 16:21:46+00:00,60.0,11.3,10.8,11.3,2.1999998,24.175821,2.0,11.0,1.0000000000000003e-05,1.0,REGULAR,USD,ANET,1,2025-04-25,2025-04-23 13:00:39.524539,71.73999786376953
ANET250425C00061000,2025-04-08 17:38:23+00:00,61.0,11.4,9.9,11.0,0.0,0.0,,7.0,1.25390998046875,1.0,REGULAR,USD,ANET,1,2025-04-25,2025-04-23 13:00:39.524539,71.73999786376953
ANET250425C00062000,2025-04-21 15:56:22+00:00,62.0,5.4,9.0,9.9,0.0,0.0,1.0,1.0,1.0332079589843752,1.0,REGULAR,USD,ANET,1,2025-04-25,2025-04-23 13:00:39.524539,71.73999786376953
