contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ANSS250516C00290000,2025-04-21 15:55:08+00:00,290.0,18.48,21.4,31.0,0.0,0.0,2.0,4,0.6389806610107422,True,REGULAR,USD,ANSS,1,2025-05-16,2025-04-23 13:00:30.369552,309.7300109863281
ANSS250516C00300000,2025-04-22 17:29:23+00:00,300.0,22.6,14.4,24.0,8.77,63.412876,1.0,11,0.6013223461914063,True,REGULAR,USD,ANSS,1,2025-05-16,2025-04-23 13:00:30.369552,309.7300109863281
ANSS250516C00310000,2025-04-22 19:40:28+00:00,310.0,9.0,8.1,18.0,0.0,0.0,17.0,19,0.5725750750732423,False,REGULAR,USD,ANSS,1,2025-05-16,2025-04-23 13:00:30.369552,309.7300109863281
ANSS250516C00320000,2025-04-22 18:50:48+00:00,320.0,7.5,3.2,13.0,0.0,0.0,130.0,77,0.5488326367187502,False,REGULAR,USD,ANSS,1,2025-05-16,2025-04-23 13:00:30.369552,309.7300109863281
ANSS250516C00330000,2025-03-31 19:25:56+00:00,330.0,8.0,0.1,10.0,0.0,0.0,7.0,8,0.5625043750000001,False,REGULAR,USD,ANSS,1,2025-05-16,2025-04-23 13:00:30.369552,309.7300109863281
ANSS250516C00340000,2025-04-23 15:40:23+00:00,340.0,3.0,0.1,6.0,1.4,87.5,1.0,15,0.5129443237304687,False,REGULAR,USD,ANSS,1,2025-05-16,2025-04-23 13:00:30.369552,309.7300109863281
ANSS250516C00350000,2025-04-22 15:08:22+00:00,350.0,1.05,0.0,4.8,0.0,0.0,14.0,21,0.5435836657714845,False,REGULAR,USD,ANSS,1,2025-05-16,2025-04-23 13:00:30.369552,309.7300109863281
ANSS250516C00360000,2025-03-26 14:12:02+00:00,360.0,2.8,0.0,1.4,0.0,0.0,,3,0.4255428540039063,False,REGULAR,USD,ANSS,1,2025-05-16,2025-04-23 13:00:30.369552,309.7300109863281
ANSS250516P00190000,2025-04-02 15:27:38+00:00,190.0,0.05,0.0,4.8,0.0,0.0,1.0,2,1.2836949877929684,False,REGULAR,USD,ANSS,0,2025-05-16,2025-04-23 13:00:30.370536,309.7300109863281
ANSS250516P00200000,2025-04-15 18:08:33+00:00,200.0,0.3,0.0,4.8,0.0,0.0,,1,1.1713908618164064,False,REGULAR,USD,ANSS,0,2025-05-16,2025-04-23 13:00:30.370536,309.7300109863281
ANSS250516P00220000,2025-04-21 19:56:20+00:00,220.0,1.1,0.0,4.8,0.0,0.0,2.0,4,0.9602054760742187,False,REGULAR,USD,ANSS,0,2025-05-16,2025-04-23 13:00:30.370536,309.7300109863281
ANSS250516P00240000,2025-04-15 14:32:46+00:00,240.0,2.5,0.0,4.8,0.0,0.0,2.0,2,0.7629418237304688,False,REGULAR,USD,ANSS,0,2025-05-16,2025-04-23 13:00:30.370536,309.7300109863281
ANSS250516P00250000,2025-04-21 14:22:50+00:00,250.0,3.5,0.0,4.8,0.0,0.0,4.0,8,0.6679720703125002,False,REGULAR,USD,ANSS,0,2025-05-16,2025-04-23 13:00:30.370536,309.7300109863281
ANSS250516P00260000,2025-04-15 14:32:45+00:00,260.0,3.8,0.0,4.8,0.0,0.0,,2,0.5745892150878906,False,REGULAR,USD,ANSS,0,2025-05-16,2025-04-23 13:00:30.370536,309.7300109863281
