contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AON250516C00250000,2025-04-07 13:36:36+00:00,250.0,115.8,115.4,119.8,0.0,0.0,,2,0.7006865869140625,True,REGULAR,USD,AON,1,2025-05-16,2025-04-23 13:00:30.993574,367.2850036621094
AON250516C00260000,2025-04-07 13:36:36+00:00,260.0,106.1,105.2,109.2,0.0,0.0,,1,0.8818371191406249,True,REGULAR,USD,AON,1,2025-05-16,2025-04-23 13:00:30.993574,367.2850036621094
AON250516C00270000,2025-04-07 13:36:36+00:00,270.0,96.2,96.2,99.0,0.0,0.0,,2,0.5756878369140624,True,REGULAR,USD,AON,1,2025-05-16,2025-04-23 13:00:30.993574,367.2850036621094
AON250516C00280000,2025-04-07 13:36:36+00:00,280.0,86.7,86.1,89.1,0.0,0.0,,1,0.5161181201171875,True,REGULAR,USD,AON,1,2025-05-16,2025-04-23 13:00:30.993574,367.2850036621094
AON250516C00290000,2025-04-07 13:36:36+00:00,290.0,77.1,76.4,79.3,0.0,0.0,,1,0.5043994873046875,True,REGULAR,USD,AON,1,2025-05-16,2025-04-23 13:00:30.993574,367.2850036621094
AON250516C00300000,2025-04-07 13:38:14+00:00,300.0,65.5,66.4,69.4,0.0,0.0,,1,0.5905802661132813,True,REGULAR,USD,AON,1,2025-05-16,2025-04-23 13:00:30.993574,367.2850036621094
AON250516C00310000,2025-04-07 13:38:14+00:00,310.0,56.5,57.1,59.6,0.0,0.0,,1,0.5290574438476563,True,REGULAR,USD,AON,1,2025-05-16,2025-04-23 13:00:30.993574,367.2850036621094
AON250516C00340000,2025-04-09 17:08:58+00:00,340.0,28.8,29.8,32.3,0.0,0.0,,7,0.41034525207519534,True,REGULAR,USD,AON,1,2025-05-16,2025-04-23 13:00:30.993574,367.2850036621094
AON250516C00350000,2025-04-22 14:11:10+00:00,350.0,19.4,21.8,23.9,0.0,0.0,1.0,9,0.36914693359375,True,REGULAR,USD,AON,1,2025-05-16,2025-04-23 13:00:30.993574,367.2850036621094
AON250516C00360000,2025-04-22 18:49:02+00:00,360.0,16.6,14.9,16.3,1.1000004,7.0967765,2.0,15,0.33115292877197267,True,REGULAR,USD,AON,1,2025-05-16,2025-04-23 13:00:30.993574,367.2850036621094
