contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AOS250516C00055000,2025-04-17 14:38:02+00:00,55.0,8.35,8.3,10.1,0.0,0.0,1.0,1.0,0.65820654296875,1.0,REGULAR,USD,AOS,1,2025-05-16,2025-04-23 12:59:54.295274,64.11000061035156
AOS250516C00060000,2025-04-21 18:37:48+00:00,60.0,3.0,4.6,4.8,0.0,0.0,3.0,30.0,0.33838552246093745,1.0,REGULAR,USD,AOS,1,2025-05-16,2025-04-23 12:59:54.295274,64.11000061035156
AOS250516C00065000,2025-04-23 15:32:41+00:00,65.0,1.8,1.55,1.7,0.25,16.129032,2.0,1358.0,0.32031929687499994,0.0,REGULAR,USD,AOS,1,2025-05-16,2025-04-23 12:59:54.295274,64.11000061035156
AOS250516C00070000,2025-04-22 18:41:39+00:00,70.0,0.5,0.3,0.45,0.3,150.00002,2.0,146.0,0.33301448242187504,0.0,REGULAR,USD,AOS,1,2025-05-16,2025-04-23 12:59:54.295274,64.11000061035156
AOS250516C00075000,2025-04-22 16:32:11+00:00,75.0,0.05,0.0,0.85,0.0,0.0,16.0,25.0,0.5991251025390626,0.0,REGULAR,USD,AOS,1,2025-05-16,2025-04-23 12:59:54.295274,64.11000061035156
AOS250516C00095000,2025-04-14 13:35:13+00:00,95.0,0.7,0.0,0.75,0.0,0.0,,6.0,0.9257819921875,0.0,REGULAR,USD,AOS,1,2025-05-16,2025-04-23 12:59:54.295274,64.11000061035156
AOS250516P00045000,2025-04-17 13:30:01+00:00,45.0,0.68,0.0,0.75,0.0,0.0,1.0,1.0,0.922852333984375,0.0,REGULAR,USD,AOS,0,2025-05-16,2025-04-23 12:59:54.296283,64.11000061035156
AOS250516P00050000,2025-04-21 13:30:15+00:00,50.0,0.05,0.0,0.25,0.0,0.0,2.0,8.0,0.5507857421875001,0.0,REGULAR,USD,AOS,0,2025-05-16,2025-04-23 12:59:54.296283,64.11000061035156
AOS250516P00055000,2025-04-22 14:51:16+00:00,55.0,0.5,0.25,0.35,0.0,0.0,10.0,12.0,0.471684970703125,0.0,REGULAR,USD,AOS,0,2025-05-16,2025-04-23 12:59:54.296283,64.11000061035156
AOS250516P00060000,2025-04-23 14:39:54+00:00,60.0,0.8,0.9,1.1,-0.14999998,-15.789472,300.0,101.0,0.4204159521484375,0.0,REGULAR,USD,AOS,0,2025-05-16,2025-04-23 12:59:54.296283,64.11000061035156
AOS250516P00065000,2025-04-23 15:47:07+00:00,65.0,2.67,2.9,3.1,-0.28999996,-9.797296,12.0,96.0,0.3986876538085938,1.0,REGULAR,USD,AOS,0,2025-05-16,2025-04-23 12:59:54.296283,64.11000061035156
