contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
APD250516C00175000,2025-04-09 17:18:44+00:00,175.0,74.8,88.1,92.2,0.0,0.0,,1.0,1.1137739624023437,1.0,REGULAR,USD,APD,1,2025-05-16,2025-04-23 13:00:04.998843,265.2200012207031
APD250516C00200000,2025-04-07 15:14:40+00:00,200.0,59.2,64.5,66.9,0.0,0.0,,1.0,0.6035195898437502,1.0,REGULAR,USD,APD,1,2025-05-16,2025-04-23 13:00:04.998843,265.2200012207031
APD250516C00250000,2025-04-22 16:49:30+00:00,250.0,20.3,19.5,20.8,0.0,0.0,2.0,17.0,0.4420221813964844,1.0,REGULAR,USD,APD,1,2025-05-16,2025-04-23 13:00:04.998843,265.2200012207031
APD250516C00260000,2025-04-23 14:05:18+00:00,260.0,18.0,13.1,14.5,5.7,46.34146,3.0,283.0,0.4359187268066406,1.0,REGULAR,USD,APD,1,2025-05-16,2025-04-23 13:00:04.998843,265.2200012207031
APD250516C00270000,2025-04-23 14:52:48+00:00,270.0,10.9,7.9,8.4,3.4499998,46.308723,1.0,123.0,0.3880676428222656,0.0,REGULAR,USD,APD,1,2025-05-16,2025-04-23 13:00:04.998843,265.2200012207031
APD250516C00280000,2025-04-23 16:24:55+00:00,280.0,4.7,4.3,4.9,0.39999962,9.302317,132.0,234.0,0.3841614318847656,0.0,REGULAR,USD,APD,1,2025-05-16,2025-04-23 13:00:04.998843,265.2200012207031
APD250516C00290000,2025-04-23 13:37:44+00:00,290.0,2.9,2.05,3.0,0.3000002,11.538469,63.0,687.0,0.39942006835937505,0.0,REGULAR,USD,APD,1,2025-05-16,2025-04-23 13:00:04.998843,265.2200012207031
APD250516C00300000,2025-04-22 18:40:13+00:00,300.0,0.9,0.85,1.95,0.0,0.0,24.0,343.0,0.422857333984375,0.0,REGULAR,USD,APD,1,2025-05-16,2025-04-23 13:00:04.998843,265.2200012207031
APD250516C00310000,2025-04-23 13:45:15+00:00,310.0,0.8,0.0,1.2,0.25,45.454544,3.0,41.0,0.43726148681640625,0.0,REGULAR,USD,APD,1,2025-05-16,2025-04-23 13:00:04.998843,265.2200012207031
APD250516C00320000,2025-04-22 14:40:24+00:00,320.0,0.35,0.4,2.4,0.0,0.0,1.0,3772.0,0.5202684692382812,0.0,REGULAR,USD,APD,1,2025-05-16,2025-04-23 13:00:04.998843,265.2200012207031
APD250516C00330000,2025-04-21 15:46:41+00:00,330.0,0.1,0.0,1.35,0.0,0.0,1.0,220.0,0.577152666015625,0.0,REGULAR,USD,APD,1,2025-05-16,2025-04-23 13:00:04.998843,265.2200012207031
APD250516C00340000,2025-04-04 15:43:28+00:00,340.0,0.53,0.0,1.3,0.0,0.0,2.0,8.0,0.5476119458007813,0.0,REGULAR,USD,APD,1,2025-05-16,2025-04-23 13:00:04.998843,265.2200012207031
APD250516C00350000,2025-03-24 17:33:26+00:00,350.0,0.3,0.0,0.75,0.0,0.0,,1.0,0.5449264257812501,0.0,REGULAR,USD,APD,1,2025-05-16,2025-04-23 13:00:04.998843,265.2200012207031
APD250516C00380000,2025-03-26 19:29:20+00:00,380.0,0.17,0.0,1.65,0.0,0.0,,1.0,0.7666038964843751,0.0,REGULAR,USD,APD,1,2025-05-16,2025-04-23 13:00:04.998843,265.2200012207031
APD250516C00390000,2025-03-26 19:29:52+00:00,390.0,0.15,0.0,0.65,0.0,0.0,,1.0,0.6997100341796876,0.0,REGULAR,USD,APD,1,2025-05-16,2025-04-23 13:00:04.998843,265.2200012207031
APD250516C00430000,2025-03-27 19:17:58+00:00,430.0,0.05,0.0,0.75,0.0,0.0,,5.0,0.86132951171875,0.0,REGULAR,USD,APD,1,2025-05-16,2025-04-23 13:00:04.998843,265.2200012207031
