contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
APH250516C00050000,2025-04-07 17:00:21+00:00,50.0,12.2,21.4,22.4,0.0,0.0,,1,0.5390671093750001,True,REGULAR,USD,APH,1,2025-05-16,2025-04-23 13:00:28.550976,72.38999938964844
APH250516C00055000,2025-04-22 17:26:05+00:00,55.0,10.9,16.7,17.3,0.0,0.0,1.0,6,1.0000000000000003e-05,True,REGULAR,USD,APH,1,2025-05-16,2025-04-23 13:00:28.550976,72.38999938964844
APH250516C00060000,2025-04-23 15:01:45+00:00,60.0,13.7,12.3,12.9,7.1,107.57576,69.0,95,0.5888712988281251,True,REGULAR,USD,APH,1,2025-05-16,2025-04-23 13:00:28.550976,72.38999938964844
APH250516C00065000,2025-04-23 16:24:43+00:00,65.0,7.65,7.7,7.9,4.0,109.589035,51.0,2797,0.39453730468750003,True,REGULAR,USD,APH,1,2025-05-16,2025-04-23 13:00:28.550976,72.38999938964844
APH250516C00070000,2025-04-23 16:22:24+00:00,70.0,3.73,4.0,4.2,2.38,176.29633,393.0,2719,0.39111937011718745,True,REGULAR,USD,APH,1,2025-05-16,2025-04-23 13:00:28.550976,72.38999938964844
APH250516C00075000,2025-04-23 15:48:32+00:00,75.0,1.15,1.0,1.35,0.79999995,228.5714,882.0,2579,0.3232489550781249,False,REGULAR,USD,APH,1,2025-05-16,2025-04-23 13:00:28.550976,72.38999938964844
APH250516C00080000,2025-04-23 15:25:06+00:00,80.0,0.39,0.0,0.35,0.29,290.00003,66.0,137,0.3232489550781249,False,REGULAR,USD,APH,1,2025-05-16,2025-04-23 13:00:28.550976,72.38999938964844
APH250516P00040000,2025-04-21 19:55:23+00:00,40.0,0.19,0.0,0.15,0.0,0.0,2.0,12,1.0625046875000002,False,REGULAR,USD,APH,0,2025-05-16,2025-04-23 13:00:28.552982,72.38999938964844
APH250516P00045000,2025-04-17 15:44:08+00:00,45.0,0.15,0.0,0.25,0.0,0.0,1.0,875,0.93945373046875,False,REGULAR,USD,APH,0,2025-05-16,2025-04-23 13:00:28.552982,72.38999938964844
APH250516P00050000,2025-04-23 13:36:44+00:00,50.0,0.1,0.05,0.1,-0.20000002,-66.66667,5.0,950,0.6972686523437501,False,REGULAR,USD,APH,0,2025-05-16,2025-04-23 13:00:28.552982,72.38999938964844
APH250516P00055000,2025-04-23 14:04:19+00:00,55.0,0.1,0.0,0.15,-0.38,-79.16667,15.0,593,0.5371140039062501,False,REGULAR,USD,APH,0,2025-05-16,2025-04-23 13:00:28.552982,72.38999938964844
APH250516P00060000,2025-04-23 16:19:37+00:00,60.0,0.22,0.2,0.3,-0.87,-79.81651,705.0,2624,0.5136767382812499,False,REGULAR,USD,APH,0,2025-05-16,2025-04-23 13:00:28.552982,72.38999938964844
APH250516P00065000,2025-04-23 16:26:09+00:00,65.0,0.65,0.5,0.65,-1.9699999,-75.190834,167.0,3043,0.4282283740234375,False,REGULAR,USD,APH,0,2025-05-16,2025-04-23 13:00:28.552982,72.38999938964844
APH250516P00070000,2025-04-23 16:20:30+00:00,70.0,1.75,1.55,1.7,-3.85,-68.75,1317.0,615,0.37500625,False,REGULAR,USD,APH,0,2025-05-16,2025-04-23 13:00:28.552982,72.38999938964844
APH250516P00075000,2025-04-23 15:30:13+00:00,75.0,3.58,3.4,4.3,-8.82,-71.129036,17.0,106,0.372076591796875,True,REGULAR,USD,APH,0,2025-05-16,2025-04-23 13:00:28.552982,72.38999938964844
APH250620C00070000,2025-04-23 16:23:39+00:00,70.0,4.9,5.0,5.3,2.7,122.72727,31.0,152,0.3498600170898437,True,REGULAR,USD,APH,1,2025-06-20,2025-04-23 13:00:28.604113,72.38999938964844
APH250620P00070000,2025-04-23 16:24:00+00:00,70.0,2.8,2.65,2.8,-5.2,-65.0,40.0,10,0.3399724206542969,False,REGULAR,USD,APH,0,2025-06-20,2025-04-23 13:00:28.605115,72.38999938964844
APH250718C00040000,2025-03-17 17:12:54+00:00,40.0,24.5,23.8,27.2,0.0,0.0,1.0,8,1.0000000000000003e-05,True,REGULAR,USD,APH,1,2025-07-18,2025-04-23 13:00:28.681315,72.38999938964844
APH250718C00045000,2025-04-08 16:20:50+00:00,45.0,18.5,26.7,29.2,0.0,0.0,1.0,201,0.65820654296875,True,REGULAR,USD,APH,1,2025-07-18,2025-04-23 13:00:28.681315,72.38999938964844
APH250718C00050000,2025-04-08 18:30:01+00:00,50.0,13.2,22.6,23.5,0.0,0.0,1.0,47,0.5590864404296876,True,REGULAR,USD,APH,1,2025-07-18,2025-04-23 13:00:28.681315,72.38999938964844
APH250718C00055000,2025-04-23 15:48:19+00:00,55.0,18.01,18.0,18.6,6.21,52.627117,16.0,41,0.5312546875,True,REGULAR,USD,APH,1,2025-07-18,2025-04-23 13:00:28.681315,72.38999938964844
APH250718C00060000,2025-04-22 16:53:58+00:00,60.0,14.84,13.3,13.9,6.3500004,74.793884,4.0,125,0.4426325268554688,True,REGULAR,USD,APH,1,2025-07-18,2025-04-23 13:00:28.681315,72.38999938964844
APH250718C00065000,2025-04-23 14:25:19+00:00,65.0,10.5,9.2,9.7,5.1,94.44444,11.0,643,0.38867798828125,True,REGULAR,USD,APH,1,2025-07-18,2025-04-23 13:00:28.681315,72.38999938964844
APH250718C00070000,2025-04-23 16:27:32+00:00,70.0,5.9,5.9,6.0,2.95,100.0,50.0,2079,0.3399724206542969,True,REGULAR,USD,APH,1,2025-07-18,2025-04-23 13:00:28.681315,72.38999938964844
APH250718C00075000,2025-04-23 15:14:21+00:00,75.0,3.25,3.2,3.4,1.88,137.22627,34.0,2279,0.31995308959960933,False,REGULAR,USD,APH,1,2025-07-18,2025-04-23 13:00:28.681315,72.38999938964844
APH250718C00080000,2025-04-23 15:07:58+00:00,80.0,1.84,1.45,1.65,1.1400001,162.85718,42.0,1785,0.30103238037109376,False,REGULAR,USD,APH,1,2025-07-18,2025-04-23 13:00:28.681315,72.38999938964844
APH250718C00085000,2025-04-23 15:14:38+00:00,85.0,0.85,0.6,0.75,0.55,183.33333,6.0,3224,0.29492892578124996,False,REGULAR,USD,APH,1,2025-07-18,2025-04-23 13:00:28.681315,72.38999938964844
APH250718C00090000,2025-03-07 15:49:00+00:00,90.0,0.2,0.0,0.0,0.0,0.0,1.0,520,0.12500875,False,REGULAR,USD,APH,1,2025-07-18,2025-04-23 13:00:28.681315,72.38999938964844
APH250718C00095000,2025-02-19 18:33:58+00:00,95.0,0.35,0.0,1.45,0.0,0.0,5.0,38,0.5119677709960937,False,REGULAR,USD,APH,1,2025-07-18,2025-04-23 13:00:28.681315,72.38999938964844
APH250718C00100000,2025-01-30 15:03:48+00:00,100.0,0.55,0.0,1.4,0.0,0.0,1.0,911,0.5664105859375,False,REGULAR,USD,APH,1,2025-07-18,2025-04-23 13:00:28.681315,72.38999938964844
