contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
APTV250516C00030000,2025-04-03 15:08:09+00:00,30.0,25.5,23.0,25.9,0.0,0.0,1.0,1.0,1.5009790576171875,1.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00042500,2025-04-16 19:24:06+00:00,42.5,9.0,11.4,12.6,0.0,0.0,1.0,6.0,0.7514673291015624,1.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00045000,2025-04-11 15:12:47+00:00,45.0,5.6,9.3,10.2,0.0,0.0,4.0,5.0,0.70312796875,1.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00047500,2025-04-21 18:49:38+00:00,47.5,5.0,7.2,7.5,0.0,0.0,3.0,47.0,0.5844768115234374,1.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00050000,2025-04-22 15:39:28+00:00,50.0,4.15,5.3,5.6,0.0,0.0,10.0,32.0,0.5676312768554688,1.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00052500,2025-04-23 15:40:10+00:00,52.5,4.0,3.7,3.9,1.2,42.857147,21.0,127.0,0.5459029785156251,1.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00055000,2025-04-23 16:17:12+00:00,55.0,2.55,2.4,2.6,0.6999999,37.837833,14.0,654.0,0.5312546875,0.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00057500,2025-04-23 14:35:25+00:00,57.5,1.8,1.4,1.55,0.77,74.757286,29.0,1257.0,0.50586431640625,0.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00060000,2025-04-22 18:51:24+00:00,60.0,0.85,0.75,0.85,0.31,57.407406,4.0,1594.0,0.500005,0.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00062500,2025-04-23 15:28:14+00:00,62.5,0.5,0.3,0.5,0.19999999,66.66666,1.0,496.0,0.507817421875,0.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00065000,2025-04-11 17:16:39+00:00,65.0,0.29,0.15,0.45,0.11999999,70.58823,2.0,585.0,0.5205126074218749,0.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00067500,2025-04-15 14:18:57+00:00,67.5,0.1,0.0,0.55,0.0,0.0,2.0,490.0,0.584965087890625,0.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00070000,2025-04-11 15:08:24+00:00,70.0,0.15,0.0,0.75,0.0,0.0,3.0,96.0,0.70312796875,0.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00072500,2025-04-21 19:11:22+00:00,72.5,0.05,0.0,0.75,0.0,0.0,1.0,99.0,0.772463212890625,0.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00075000,2025-04-16 13:32:55+00:00,75.0,0.15,0.0,0.75,0.0,0.0,2.0,306.0,0.8378922460937499,0.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00077500,2025-04-01 14:10:34+00:00,77.5,0.17,0.0,0.15,0.0,0.0,3.0,165.0,0.6738313867187502,0.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00080000,2025-04-02 19:37:59+00:00,80.0,0.15,0.0,0.1,0.0,0.0,1.0,16.0,0.6835969140625001,0.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00085000,2024-12-27 20:41:20+00:00,85.0,0.8,0.25,0.95,0.0,0.0,4.0,2.0,1.1806681591796875,0.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00090000,2025-02-24 14:59:14+00:00,90.0,0.34,0.0,0.75,0.0,0.0,1.0,7.0,1.1679729101562502,0.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00095000,2024-12-16 05:03:02+00:00,95.0,2.9,0.0,0.0,0.0,0.0,,1.0,0.500005,0.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
APTV250516C00105000,2025-02-24 14:30:15+00:00,105.0,0.15,0.0,0.75,0.0,0.0,,3.0,1.4277372363281249,0.0,REGULAR,USD,APTV,1,2025-05-16,2025-04-23 13:00:37.154465,54.029998779296875
