contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ARE250516C00070000,2025-04-15 14:46:17+00:00,70.0,10.9,7.7,9.3,0.0,0.0,1.0,18.0,0.5192919165039063,1.0,REGULAR,USD,ARE,1,2025-05-16,2025-04-23 13:00:10.154385,77.18000030517578
ARE250516C00072500,2025-04-22 13:34:45+00:00,72.5,6.8,6.0,7.0,0.0,0.0,2.0,2.0,0.5566450585937501,1.0,REGULAR,USD,ARE,1,2025-05-16,2025-04-23 13:00:10.154385,77.18000030517578
ARE250516C00075000,2025-04-21 19:13:53+00:00,75.0,3.9,4.3,4.9,0.0,0.0,90.0,117.0,0.47681187255859375,1.0,REGULAR,USD,ARE,1,2025-05-16,2025-04-23 13:00:10.154385,77.18000030517578
ARE250516C00077500,2025-04-23 13:50:33+00:00,77.5,4.2,2.85,3.3,1.5499997,58.49055,7.0,115.0,0.43726148681640625,0.0,REGULAR,USD,ARE,1,2025-05-16,2025-04-23 13:00:10.154385,77.18000030517578
ARE250516C00080000,2025-04-21 19:13:53+00:00,80.0,2.05,1.75,2.1,0.25,13.888889,15.0,107.0,0.4133359448242187,0.0,REGULAR,USD,ARE,1,2025-05-16,2025-04-23 13:00:10.154385,77.18000030517578
ARE250516C00082500,2025-04-22 19:56:48+00:00,82.5,0.97,0.9,1.4,0.0,0.0,25.0,39.0,0.4194393994140625,0.0,REGULAR,USD,ARE,1,2025-05-16,2025-04-23 13:00:10.154385,77.18000030517578
ARE250516C00085000,2025-04-23 13:54:20+00:00,85.0,0.65,0.4,0.8,0.14999998,29.999996,8.0,834.0,0.4050352465820312,0.0,REGULAR,USD,ARE,1,2025-05-16,2025-04-23 13:00:10.154385,77.18000030517578
ARE250516C00087500,2025-04-22 19:55:13+00:00,87.5,0.25,0.2,0.5,0.0,0.0,12.0,53.0,0.41211525390625,0.0,REGULAR,USD,ARE,1,2025-05-16,2025-04-23 13:00:10.154385,77.18000030517578
ARE250516C00090000,2025-04-23 14:30:02+00:00,90.0,0.25,0.0,0.35,0.049999997,24.999998,2.0,71.0,0.432622861328125,0.0,REGULAR,USD,ARE,1,2025-05-16,2025-04-23 13:00:10.154385,77.18000030517578
ARE250516C00092500,2025-04-16 15:13:37+00:00,92.5,0.2,0.0,0.25,0.0,0.0,1.0,29.0,0.45264219238281256,0.0,REGULAR,USD,ARE,1,2025-05-16,2025-04-23 13:00:10.154385,77.18000030517578
ARE250516C00095000,2025-04-07 19:09:31+00:00,95.0,0.35,0.0,0.3,0.0,0.0,10.0,28.0,0.5229539892578124,0.0,REGULAR,USD,ARE,1,2025-05-16,2025-04-23 13:00:10.154385,77.18000030517578
ARE250516C00097500,2025-04-22 15:54:45+00:00,97.5,0.03,0.0,0.1,0.0,0.0,1.0,40.0,0.46680220703125,0.0,REGULAR,USD,ARE,1,2025-05-16,2025-04-23 13:00:10.154385,77.18000030517578
ARE250516C00100000,2025-04-22 14:47:28+00:00,100.0,0.03,0.0,0.4,0.0,0.0,1.0,71.0,0.5722699023437501,0.0,REGULAR,USD,ARE,1,2025-05-16,2025-04-23 13:00:10.154385,77.18000030517578
ARE250516C00105000,2025-04-23 14:44:46+00:00,105.0,0.04,0.0,0.2,-0.37,-90.243904,3.0,17.0,0.585941640625,0.0,REGULAR,USD,ARE,1,2025-05-16,2025-04-23 13:00:10.154385,77.18000030517578
ARE250516C00110000,2025-04-01 16:29:35+00:00,110.0,0.21,0.0,0.75,0.0,0.0,1.0,27.0,0.8242205078124999,0.0,REGULAR,USD,ARE,1,2025-05-16,2025-04-23 13:00:10.154385,77.18000030517578
ARE250516C00115000,2025-04-01 18:36:09+00:00,115.0,0.7,0.0,0.75,0.0,0.0,,2.0,0.9023447265625,0.0,REGULAR,USD,ARE,1,2025-05-16,2025-04-23 13:00:10.154385,77.18000030517578
ARE250516P00060000,2025-04-15 15:11:28+00:00,60.0,0.15,0.0,0.3,-0.15,-50.0,1.0,21.0,0.5556685058593751,0.0,REGULAR,USD,ARE,0,2025-05-16,2025-04-23 13:00:10.155388,77.18000030517578
ARE250516P00065000,2025-04-22 17:46:02+00:00,65.0,0.4,0.3,0.5,-0.099999994,-19.999998,10.0,45.0,0.506840869140625,0.0,REGULAR,USD,ARE,0,2025-05-16,2025-04-23 13:00:10.155388,77.18000030517578
ARE250516P00067500,2025-04-17 17:42:54+00:00,67.5,0.72,0.55,0.7,0.0,0.0,3.0,12.0,0.4985401708984375,0.0,REGULAR,USD,ARE,0,2025-05-16,2025-04-23 13:00:10.155388,77.18000030517578
ARE250516P00070000,2025-04-22 16:40:24+00:00,70.0,0.7,0.8,1.05,-0.19999999,-22.222221,4.0,146.0,0.47095255615234377,0.0,REGULAR,USD,ARE,0,2025-05-16,2025-04-23 13:00:10.155388,77.18000030517578
ARE250516P00072500,2025-04-22 13:54:15+00:00,72.5,1.55,1.25,1.55,0.0,0.0,1.0,84.0,0.44287666503906253,0.0,REGULAR,USD,ARE,0,2025-05-16,2025-04-23 13:00:10.155388,77.18000030517578
ARE250516P00075000,2025-04-22 16:25:13+00:00,75.0,1.23,1.85,2.45,-1.02,-45.333332,1.0,388.0,0.4409235595703125,0.0,REGULAR,USD,ARE,0,2025-05-16,2025-04-23 13:00:10.155388,77.18000030517578
ARE250516P00077500,2025-04-22 19:59:23+00:00,77.5,3.7,2.95,3.5,0.0,0.0,26.0,58.0,0.42212491943359376,1.0,REGULAR,USD,ARE,0,2025-05-16,2025-04-23 13:00:10.155388,77.18000030517578
ARE250516P00080000,2025-04-23 13:46:35+00:00,80.0,3.03,4.2,4.8,-3.41,-52.95031,1.0,101.0,0.397466962890625,1.0,REGULAR,USD,ARE,0,2025-05-16,2025-04-23 13:00:10.155388,77.18000030517578
ARE250516P00082500,2025-04-10 19:11:38+00:00,82.5,8.8,6.0,6.6,0.0,0.0,,13.0,0.401373173828125,1.0,REGULAR,USD,ARE,0,2025-05-16,2025-04-23 13:00:10.155388,77.18000030517578
ARE250516P00085000,2025-04-17 18:59:47+00:00,85.0,6.1,7.5,8.8,-1.4700003,-19.418762,1.0,79.0,0.437505625,1.0,REGULAR,USD,ARE,0,2025-05-16,2025-04-23 13:00:10.155388,77.18000030517578
ARE250516P00087500,2025-04-10 14:25:25+00:00,87.5,10.6,10.0,11.0,0.0,0.0,1.0,173.0,0.45313046875,1.0,REGULAR,USD,ARE,0,2025-05-16,2025-04-23 13:00:10.155388,77.18000030517578
ARE250516P00090000,2025-04-23 13:49:46+00:00,90.0,11.55,11.1,13.6,0.25,2.2123892,6.0,490.0,0.5410202148437502,1.0,REGULAR,USD,ARE,0,2025-05-16,2025-04-23 13:00:10.155388,77.18000030517578
ARE250516P00092500,2025-04-17 19:17:12+00:00,92.5,14.6,13.6,15.9,0.0,0.0,4.0,37.0,0.5551802294921876,1.0,REGULAR,USD,ARE,0,2025-05-16,2025-04-23 13:00:10.155388,77.18000030517578
ARE250516P00095000,2025-04-22 16:50:53+00:00,95.0,18.3,15.9,18.5,0.0,0.0,2.0,11.0,0.63867548828125,1.0,REGULAR,USD,ARE,0,2025-05-16,2025-04-23 13:00:10.155388,77.18000030517578
ARE250516P00097500,2025-04-16 19:53:19+00:00,97.5,22.3,18.4,21.3,0.0,0.0,20.0,4.0,0.7675804492187501,1.0,REGULAR,USD,ARE,0,2025-05-16,2025-04-23 13:00:10.155388,77.18000030517578
ARE250516P00100000,2025-04-08 13:42:01+00:00,100.0,20.5,21.0,23.6,0.0,0.0,6.0,1.0,0.773439765625,1.0,REGULAR,USD,ARE,0,2025-05-16,2025-04-23 13:00:10.155388,77.18000030517578
ARE250620C00085000,2025-04-23 15:01:37+00:00,85.0,2.15,1.6,1.95,0.25000012,13.157901,2.0,43.0,0.37720349365234374,0.0,REGULAR,USD,ARE,1,2025-06-20,2025-04-23 13:00:10.272696,77.18000030517578
ARE250718C00055000,2025-04-09 13:45:16+00:00,55.0,19.38,22.6,25.0,0.0,0.0,,5.0,0.6665072412109377,1.0,REGULAR,USD,ARE,1,2025-07-18,2025-04-23 13:00:10.380979,77.18000030517578
ARE250718C00060000,2025-04-08 17:13:33+00:00,60.0,20.0,17.7,20.3,0.0,0.0,1.0,5.0,0.5637250659179689,1.0,REGULAR,USD,ARE,1,2025-07-18,2025-04-23 13:00:10.380979,77.18000030517578
ARE250718C00065000,2025-04-10 17:16:13+00:00,65.0,12.7,13.5,15.8,0.0,0.0,,4.0,0.5022022436523439,1.0,REGULAR,USD,ARE,1,2025-07-18,2025-04-23 13:00:10.380979,77.18000030517578
ARE250718C00072500,2025-04-21 15:49:26+00:00,72.5,7.6,8.1,8.6,0.0,0.0,2.0,11.0,0.41040628662109374,1.0,REGULAR,USD,ARE,1,2025-07-18,2025-04-23 13:00:10.380979,77.18000030517578
ARE250718C00075000,2025-04-23 14:28:35+00:00,75.0,8.0,6.6,7.2,1.5999999,24.999998,1.0,944.0,0.40869731933593745,1.0,REGULAR,USD,ARE,1,2025-07-18,2025-04-23 13:00:10.380979,77.18000030517578
ARE250718C00077500,2025-04-22 14:47:28+00:00,77.5,5.25,5.2,5.8,0.0,0.0,1.0,17.0,0.3961242028808594,0.0,REGULAR,USD,ARE,1,2025-07-18,2025-04-23 13:00:10.380979,77.18000030517578
ARE250718C00080000,2025-04-23 15:55:09+00:00,80.0,4.55,4.0,4.4,0.3000002,7.058828,4.0,988.0,0.37280900634765624,0.0,REGULAR,USD,ARE,1,2025-07-18,2025-04-23 13:00:10.380979,77.18000030517578
