contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
ATO250516C00110000,2025-04-04 18:31:24+00:00,110.0,38.7,46.3,50.5,0.0,0.0,1.0,1.0,1.1447796667480468,1.0,REGULAR,USD,ATO,1,2025-05-16,2025-04-23 13:00:44.645475,158.53199768066406
ATO250516C00135000,2025-04-16 14:03:51+00:00,135.0,22.75,22.7,25.7,0.0,0.0,6.0,3.0,0.6496617065429688,1.0,REGULAR,USD,ATO,1,2025-05-16,2025-04-23 13:00:44.645475,158.53199768066406
ATO250516C00140000,2025-04-07 14:26:37+00:00,140.0,10.4,18.1,20.4,0.0,0.0,10.0,10.0,0.5190477783203125,1.0,REGULAR,USD,ATO,1,2025-05-16,2025-04-23 13:00:44.645475,158.53199768066406
ATO250516C00145000,2025-04-07 14:11:21+00:00,145.0,7.0,13.6,16.3,0.0,0.0,1.0,4.0,0.4978077563476563,1.0,REGULAR,USD,ATO,1,2025-05-16,2025-04-23 13:00:44.645475,158.53199768066406
ATO250516C00150000,2025-04-22 19:48:34+00:00,150.0,11.4,8.7,11.2,0.0,0.0,6.0,26.0,0.379889013671875,1.0,REGULAR,USD,ATO,1,2025-05-16,2025-04-23 13:00:44.645475,158.53199768066406
ATO250516C00155000,2025-04-22 14:46:37+00:00,155.0,6.76,4.9,7.8,0.0,0.0,20.0,50.0,0.3658510681152344,1.0,REGULAR,USD,ATO,1,2025-05-16,2025-04-23 13:00:44.645475,158.53199768066406
ATO250516C00160000,2025-04-22 18:35:45+00:00,160.0,4.51,2.65,3.6,0.7100003,18.68422,9.0,774.0,0.26355716918945316,0.0,REGULAR,USD,ATO,1,2025-05-16,2025-04-23 13:00:44.645475,158.53199768066406
ATO250516C00165000,2025-04-23 16:22:49+00:00,165.0,1.15,0.95,1.9,0.34999996,43.749996,53.0,17.0,0.26587648193359376,0.0,REGULAR,USD,ATO,1,2025-05-16,2025-04-23 13:00:44.645475,158.53199768066406
ATO250516C00170000,2025-04-23 14:43:27+00:00,170.0,1.0,0.25,1.0,0.19999999,24.999998,3.0,13.0,0.27674063110351554,0.0,REGULAR,USD,ATO,1,2025-05-16,2025-04-23 13:00:44.645475,158.53199768066406
ATO250516P00130000,2025-03-27 14:36:47+00:00,130.0,0.37,0.0,1.35,0.0,0.0,,10.0,0.5395553857421876,0.0,REGULAR,USD,ATO,0,2025-05-16,2025-04-23 13:00:44.646478,158.53199768066406
ATO250516P00135000,2025-04-09 15:40:00+00:00,135.0,3.69,0.0,1.6,0.0,0.0,,1.0,0.5861857788085938,0.0,REGULAR,USD,ATO,0,2025-05-16,2025-04-23 13:00:44.646478,158.53199768066406
ATO250516P00140000,2025-04-09 17:19:40+00:00,140.0,4.1,0.0,1.35,0.0,0.0,1.0,12.0,0.46362841064453125,0.0,REGULAR,USD,ATO,0,2025-05-16,2025-04-23 13:00:44.646478,158.53199768066406
ATO250516P00145000,2025-04-22 19:23:07+00:00,145.0,0.55,0.0,1.7,0.0,0.0,6.0,95.0,0.40479110839843746,0.0,REGULAR,USD,ATO,0,2025-05-16,2025-04-23 13:00:44.646478,158.53199768066406
ATO250516P00150000,2025-04-23 13:30:22+00:00,150.0,1.01,0.25,2.1,-0.09000003,-8.181822,2.0,102.0,0.3367986242675781,0.0,REGULAR,USD,ATO,0,2025-05-16,2025-04-23 13:00:44.646478,158.53199768066406
ATO250516P00155000,2025-04-23 15:50:30+00:00,155.0,1.95,2.0,2.9,0.110000014,5.978262,236.0,299.0,0.27722890747070306,0.0,REGULAR,USD,ATO,0,2025-05-16,2025-04-23 13:00:44.646478,158.53199768066406
