contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AVB250516C00195000,2025-04-14 13:40:16+00:00,195.0,9.0,12.6,15.4,0.0,0.0,,1,0.40381455566406255,True,REGULAR,USD,AVB,1,2025-05-16,2025-04-23 13:00:48.415616,206.6699981689453
AVB250516C00200000,2025-04-15 16:53:25+00:00,200.0,7.7,8.9,12.0,0.0,0.0,3.0,2,0.39624627197265627,True,REGULAR,USD,AVB,1,2025-05-16,2025-04-23 13:00:48.415616,206.6699981689453
AVB250516C00210000,2025-04-22 15:20:53+00:00,210.0,2.6,2.9,5.8,0.0,0.0,2.0,29,0.344733115234375,False,REGULAR,USD,AVB,1,2025-05-16,2025-04-23 13:00:48.415616,206.6699981689453
AVB250516C00220000,2025-04-23 15:36:36+00:00,220.0,1.33,0.4,2.05,0.21000004,18.750004,25.0,67,0.30774618041992186,False,REGULAR,USD,AVB,1,2025-05-16,2025-04-23 13:00:48.415616,206.6699981689453
AVB250516C00230000,2025-04-04 18:04:00+00:00,230.0,0.4,0.05,0.5,0.0,0.0,1.0,4,0.2841868457031249,False,REGULAR,USD,AVB,1,2025-05-16,2025-04-23 13:00:48.415616,206.6699981689453
AVB250516C00240000,2025-04-16 14:05:08+00:00,240.0,0.11,0.0,1.45,0.0,0.0,1.0,2,0.47632359619140624,False,REGULAR,USD,AVB,1,2025-05-16,2025-04-23 13:00:48.415616,206.6699981689453
AVB250516P00135000,2025-04-09 15:32:19+00:00,135.0,0.4,0.0,0.5,0.0,0.0,9.0,0,0.80664255859375,False,REGULAR,USD,AVB,0,2025-05-16,2025-04-23 13:00:48.416637,206.6699981689453
AVB250516P00170000,2025-04-16 16:41:17+00:00,170.0,0.87,0.0,1.6,0.0,0.0,1.0,1,0.5212450219726561,False,REGULAR,USD,AVB,0,2025-05-16,2025-04-23 13:00:48.416637,206.6699981689453
AVB250516P00175000,2025-04-14 14:34:40+00:00,175.0,1.5,0.0,1.75,0.0,0.0,1.0,14,0.5686078295898438,False,REGULAR,USD,AVB,0,2025-05-16,2025-04-23 13:00:48.416637,206.6699981689453
AVB250516P00180000,2025-04-16 16:41:17+00:00,180.0,1.46,0.4,1.35,0.0,0.0,1.0,2,0.4598442687988281,False,REGULAR,USD,AVB,0,2025-05-16,2025-04-23 13:00:48.416637,206.6699981689453
AVB250516P00185000,2025-04-17 17:27:36+00:00,185.0,1.56,0.55,1.6,0.0,0.0,5.0,13,0.4149228430175781,False,REGULAR,USD,AVB,0,2025-05-16,2025-04-23 13:00:48.416637,206.6699981689453
AVB250516P00190000,2025-04-15 19:48:27+00:00,190.0,2.8,0.25,1.95,0.0,0.0,2.0,17,0.3711000390625,False,REGULAR,USD,AVB,0,2025-05-16,2025-04-23 13:00:48.416637,206.6699981689453
AVB250516P00195000,2025-04-07 14:21:13+00:00,195.0,8.7,1.15,2.55,0.0,0.0,4.0,8,0.3343572424316406,False,REGULAR,USD,AVB,0,2025-05-16,2025-04-23 13:00:48.416637,206.6699981689453
AVB250516P00200000,2025-04-21 14:34:46+00:00,200.0,4.8,2.2,4.3,0.0,0.0,1.0,6,0.34363449340820307,False,REGULAR,USD,AVB,0,2025-05-16,2025-04-23 13:00:48.416637,206.6699981689453
