contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AVGO250425C00075000,2025-04-07 16:09:49+00:00,75.0,74.0,101.65,102.95,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,AVGO,1,2025-04-25,2025-04-23 13:01:10.251723,179.10000610351562
AVGO250425C00080000,2025-04-07 15:10:03+00:00,80.0,71.5,97.4,98.65,0.0,0.0,,3.0,1.0000000000000003e-05,True,REGULAR,USD,AVGO,1,2025-04-25,2025-04-23 13:01:10.251723,179.10000610351562
AVGO250425C00095000,2025-04-07 19:10:09+00:00,95.0,57.85,82.3,83.55,0.0,0.0,,2.0,1.0000000000000003e-05,True,REGULAR,USD,AVGO,1,2025-04-25,2025-04-23 13:01:10.251723,179.10000610351562
AVGO250425C00100000,2025-04-22 16:16:19+00:00,100.0,69.87,76.75,78.05,0.0,0.0,4.0,5.0,1.0000000000000003e-05,True,REGULAR,USD,AVGO,1,2025-04-25,2025-04-23 13:01:10.251723,179.10000610351562
AVGO250425C00105000,2025-04-11 17:41:16+00:00,105.0,74.6,71.85,73.15,0.0,0.0,10.0,13.0,1.0000000000000003e-05,True,REGULAR,USD,AVGO,1,2025-04-25,2025-04-23 13:01:10.251723,179.10000610351562
AVGO250425C00110000,2025-04-07 16:29:37+00:00,110.0,43.03,66.85,68.55,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,AVGO,1,2025-04-25,2025-04-23 13:01:10.251723,179.10000610351562
AVGO250425C00115000,2025-04-14 19:42:39+00:00,115.0,64.65,62.4,63.6,0.0,0.0,1.0,2.0,1.0000000000000003e-05,True,REGULAR,USD,AVGO,1,2025-04-25,2025-04-23 13:01:10.251723,179.10000610351562
AVGO250425C00120000,2025-04-09 14:58:46+00:00,120.0,40.5,56.8,58.15,0.0,0.0,2.0,19.0,1.0000000000000003e-05,True,REGULAR,USD,AVGO,1,2025-04-25,2025-04-23 13:01:10.251723,179.10000610351562
AVGO250425C00122000,2025-04-10 17:30:20+00:00,122.0,50.9,55.4,56.55,0.0,0.0,,2.0,1.0000000000000003e-05,True,REGULAR,USD,AVGO,1,2025-04-25,2025-04-23 13:01:10.251723,179.10000610351562
AVGO250425C00123000,2025-04-10 17:30:20+00:00,123.0,49.95,54.1,55.55,0.0,0.0,,1.0,1.0000000000000003e-05,True,REGULAR,USD,AVGO,1,2025-04-25,2025-04-23 13:01:10.251723,179.10000610351562
AVGO250425C00124000,2025-04-11 17:03:42+00:00,124.0,55.0,53.45,54.7,0.0,0.0,,4.0,1.0000000000000003e-05,True,REGULAR,USD,AVGO,1,2025-04-25,2025-04-23 13:01:10.251723,179.10000610351562
AVGO250425C00125000,2025-04-22 19:39:27+00:00,125.0,42.27,52.45,53.75,0.0,0.0,6.0,11.0,1.0000000000000003e-05,True,REGULAR,USD,AVGO,1,2025-04-25,2025-04-23 13:01:10.251723,179.10000610351562
AVGO250425C00129000,2025-04-10 19:32:17+00:00,129.0,44.75,48.05,49.4,0.0,0.0,,2.0,1.0000000000000003e-05,True,REGULAR,USD,AVGO,1,2025-04-25,2025-04-23 13:01:10.251723,179.10000610351562
