contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AVY250516C00170000,2025-04-23 14:41:57+00:00,170.0,6.5,4.7,6.3,-1.6000004,-19.75309,49.0,330,0.3188544677734374,True,REGULAR,USD,AVY,1,2025-05-16,2025-04-23 13:00:48.889258,171.41000366210938
AVY250516C00175000,2025-04-22 19:50:10+00:00,175.0,5.0,2.55,3.6,-1.5,-23.076923,8.0,1025,0.2934640966796874,False,REGULAR,USD,AVY,1,2025-05-16,2025-04-23 13:00:48.889258,171.41000366210938
AVY250516C00180000,2025-04-23 14:41:57+00:00,180.0,1.9,1.0,1.85,-1.59,-45.55874,34.0,401,0.27930408203124996,False,REGULAR,USD,AVY,1,2025-05-16,2025-04-23 13:00:48.889258,171.41000366210938
AVY250516C00185000,2025-04-22 19:48:34+00:00,185.0,2.5,0.35,1.1,0.0,0.0,104.0,111,0.2946847875976562,False,REGULAR,USD,AVY,1,2025-05-16,2025-04-23 13:00:48.889258,171.41000366210938
AVY250516C00190000,2025-04-22 19:59:30+00:00,190.0,0.3,0.1,0.7,-1.4000001,-82.35295,1.0,7,0.3149482568359374,False,REGULAR,USD,AVY,1,2025-05-16,2025-04-23 13:00:48.889258,171.41000366210938
AVY250516C00195000,2025-04-04 19:11:47+00:00,195.0,1.27,0.0,0.95,0.0,0.0,2.0,2,0.4018614501953125,False,REGULAR,USD,AVY,1,2025-05-16,2025-04-23 13:00:48.889258,171.41000366210938
AVY250516C00200000,2025-03-24 14:31:31+00:00,200.0,0.45,0.0,1.35,0.0,0.0,,1,0.5031787963867188,False,REGULAR,USD,AVY,1,2025-05-16,2025-04-23 13:00:48.889258,171.41000366210938
AVY250516P00140000,2025-04-22 15:44:53+00:00,140.0,0.5,0.0,1.5,0.0,0.0,2.0,3,0.551762294921875,False,REGULAR,USD,AVY,0,2025-05-16,2025-04-23 13:00:48.890260,171.41000366210938
AVY250516P00145000,2025-03-31 16:34:54+00:00,145.0,0.63,0.0,1.6,0.0,0.0,,1,0.5883830224609375,False,REGULAR,USD,AVY,0,2025-05-16,2025-04-23 13:00:48.890260,171.41000366210938
AVY250516P00165000,2025-04-22 19:24:11+00:00,165.0,2.61,0.75,3.5,0.0,0.0,1.0,2,0.35950347534179683,False,REGULAR,USD,AVY,0,2025-05-16,2025-04-23 13:00:48.890260,171.41000366210938
AVY250516P00170000,2025-04-23 13:33:33+00:00,170.0,3.8,3.7,5.0,-0.21000028,-5.236914,10.0,4,0.32520206054687495,False,REGULAR,USD,AVY,0,2025-05-16,2025-04-23 13:00:48.890260,171.41000366210938
AVY250516P00175000,2025-04-23 15:42:02+00:00,175.0,6.4,5.6,8.1,-3.65,-36.31841,2.0,1,0.34656415161132803,True,REGULAR,USD,AVY,0,2025-05-16,2025-04-23 13:00:48.890260,171.41000366210938
AVY250516P00185000,2025-04-17 13:30:12+00:00,185.0,16.65,13.7,16.4,0.0,0.0,1.0,1,0.4278621667480469,True,REGULAR,USD,AVY,0,2025-05-16,2025-04-23 13:00:48.890260,171.41000366210938
AVY250718C00140000,2025-02-26 16:35:28+00:00,140.0,47.5,36.0,39.9,0.0,0.0,1.0,1,0.599735447998047,True,REGULAR,USD,AVY,1,2025-07-18,2025-04-23 13:00:48.943399,171.41000366210938
AVY250718C00160000,2025-02-18 20:17:45+00:00,160.0,27.3,18.0,22.0,0.0,0.0,,1,0.48578395080566406,True,REGULAR,USD,AVY,1,2025-07-18,2025-04-23 13:00:48.943399,171.41000366210938
