contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AWK250516C00125000,2025-04-14 13:30:12+00:00,125.0,21.38,19.8,22.5,0.0,0.0,1.0,3,0.5524947094726562,True,REGULAR,USD,AWK,1,2025-05-16,2025-04-23 13:00:25.400595,144.65499877929688
AWK250516C00130000,2025-04-07 14:10:34+00:00,130.0,15.9,14.8,17.6,0.0,0.0,1.0,2,0.5913126806640626,True,REGULAR,USD,AWK,1,2025-05-16,2025-04-23 13:00:25.400595,144.65499877929688
AWK250516C00135000,2025-04-15 14:38:47+00:00,135.0,14.7,10.2,11.9,0.0,0.0,5.0,5,0.40918559570312496,True,REGULAR,USD,AWK,1,2025-05-16,2025-04-23 13:00:25.400595,144.65499877929688
AWK250516C00140000,2025-04-23 15:57:35+00:00,140.0,7.32,6.1,7.7,-2.5099998,-25.534077,2.0,36,0.3458317370605468,True,REGULAR,USD,AWK,1,2025-05-16,2025-04-23 13:00:25.400595,144.65499877929688
AWK250516C00145000,2025-04-23 14:16:10+00:00,145.0,5.0,3.3,3.9,-0.3000002,-5.660381,1.0,109,0.2747875256347656,False,REGULAR,USD,AWK,1,2025-05-16,2025-04-23 13:00:25.400595,144.65499877929688
AWK250516C00150000,2025-04-23 14:53:28+00:00,150.0,1.85,0.7,2.15,-1.4499999,-43.939396,2.0,133,0.28565167480468745,False,REGULAR,USD,AWK,1,2025-05-16,2025-04-23 13:00:25.400595,144.65499877929688
AWK250516C00155000,2025-04-22 19:21:43+00:00,155.0,0.8,0.2,1.0,-0.34999996,-30.43478,2.0,143,0.28394270751953116,False,REGULAR,USD,AWK,1,2025-05-16,2025-04-23 13:00:25.400595,144.65499877929688
AWK250516C00160000,2025-04-23 13:47:55+00:00,160.0,0.8,0.0,0.7,0.46,135.29411,2.0,311,0.3254461987304687,False,REGULAR,USD,AWK,1,2025-05-16,2025-04-23 13:00:25.400595,144.65499877929688
AWK250516C00165000,2025-04-22 14:22:44+00:00,165.0,0.06,0.0,0.95,0.0,0.0,1.0,16,0.42774009765625004,False,REGULAR,USD,AWK,1,2025-05-16,2025-04-23 13:00:25.400595,144.65499877929688
AWK250516C00170000,2025-04-11 19:27:50+00:00,170.0,1.5,0.0,1.5,0.0,0.0,,1,0.5634809277343751,False,REGULAR,USD,AWK,1,2025-05-16,2025-04-23 13:00:25.400595,144.65499877929688
AWK250516P00115000,2025-03-25 14:08:10+00:00,115.0,0.4,0.0,1.5,0.0,0.0,,2,0.6342810009765626,False,REGULAR,USD,AWK,0,2025-05-16,2025-04-23 13:00:25.402575,144.65499877929688
AWK250516P00120000,2025-04-22 17:04:37+00:00,120.0,0.28,0.05,1.4,0.0,0.0,2.0,5,0.5361374511718751,False,REGULAR,USD,AWK,0,2025-05-16,2025-04-23 13:00:25.402575,144.65499877929688
AWK250516P00125000,2025-04-16 14:52:36+00:00,125.0,0.5,0.2,1.15,0.0,0.0,1.0,317,0.507817421875,False,REGULAR,USD,AWK,0,2025-05-16,2025-04-23 13:00:25.402575,144.65499877929688
AWK250516P00130000,2025-04-17 14:37:27+00:00,130.0,0.69,0.25,0.7,0.0,0.0,1.0,49,0.3493717407226562,False,REGULAR,USD,AWK,0,2025-05-16,2025-04-23 13:00:25.402575,144.65499877929688
AWK250516P00135000,2025-04-23 14:39:06+00:00,135.0,0.69,0.5,1.2,0.04000002,6.153849,20.0,74,0.31201859863281245,False,REGULAR,USD,AWK,0,2025-05-16,2025-04-23 13:00:25.402575,144.65499877929688
AWK250516P00140000,2025-04-22 13:54:02+00:00,140.0,1.5,1.45,2.1,0.0,0.0,1.0,150,0.2751537329101562,False,REGULAR,USD,AWK,0,2025-05-16,2025-04-23 13:00:25.402575,144.65499877929688
AWK250516P00145000,2025-04-23 15:46:24+00:00,145.0,3.1,3.2,3.8,0.5,19.23077,12.0,197,0.2447585290527344,True,REGULAR,USD,AWK,0,2025-05-16,2025-04-23 13:00:25.402575,144.65499877929688
AWK250516P00150000,2025-04-23 13:31:20+00:00,150.0,6.0,6.3,7.5,1.5,33.333332,1.0,39,0.28613995117187496,True,REGULAR,USD,AWK,0,2025-05-16,2025-04-23 13:00:25.402575,144.65499877929688
AWK250516P00155000,2025-04-15 15:24:42+00:00,155.0,7.7,9.4,11.2,0.0,0.0,1.0,19,0.2688061401367187,True,REGULAR,USD,AWK,0,2025-05-16,2025-04-23 13:00:25.402575,144.65499877929688
AWK250516P00160000,2025-04-04 15:50:16+00:00,160.0,11.0,13.6,16.1,0.0,0.0,1.0,1,0.3327703442382813,True,REGULAR,USD,AWK,0,2025-05-16,2025-04-23 13:00:25.402575,144.65499877929688
AWK250516P00165000,2025-04-03 15:30:37+00:00,165.0,12.9,18.8,21.0,0.0,0.0,1.0,0,0.3864807446289062,True,REGULAR,USD,AWK,0,2025-05-16,2025-04-23 13:00:25.402575,144.65499877929688
AWK250620C00075000,2025-04-04 14:19:59+00:00,75.0,78.43,68.5,72.2,0.0,0.0,1.0,0,0.9526371923828124,True,REGULAR,USD,AWK,1,2025-06-20,2025-04-23 13:00:25.467787,144.65499877929688
AWK250620C00080000,2025-03-20 18:10:51+00:00,80.0,61.85,67.0,70.7,0.0,0.0,1.0,1,1.3732941491699218,True,REGULAR,USD,AWK,1,2025-06-20,2025-04-23 13:00:25.467787,144.65499877929688
AWK250620C00095000,2025-01-27 18:05:38+00:00,95.0,33.0,40.0,44.5,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD,AWK,1,2025-06-20,2025-04-23 13:00:25.467787,144.65499877929688
