contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AXON250516C00350000,2025-04-17 18:32:01+00:00,350.0,215.7,228.1,236.0,0.0,0.0,1.0,2.0,1.137211345214844,1.0,REGULAR,USD,AXON,1,2025-05-16,2025-04-23 13:00:49.239066,583.9099731445312
AXON250516C00370000,2025-03-26 14:22:33+00:00,370.0,201.0,208.0,217.0,0.0,0.0,,3.0,1.1142622412109375,1.0,REGULAR,USD,AXON,1,2025-05-16,2025-04-23 13:00:49.239066,583.9099731445312
AXON250516C00380000,2025-03-26 14:22:57+00:00,380.0,190.7,199.2,207.9,0.0,0.0,,1.0,1.120854005126953,1.0,REGULAR,USD,AXON,1,2025-05-16,2025-04-23 13:00:49.239066,583.9099731445312
AXON250516C00400000,2025-04-23 16:24:09+00:00,400.0,180.0,180.0,188.6,32.0,21.621622,20.0,14.0,0.6665072412109377,1.0,REGULAR,USD,AXON,1,2025-05-16,2025-04-23 13:00:49.239066,583.9099731445312
AXON250516C00410000,2025-03-20 13:30:02+00:00,410.0,159.6,151.4,158.5,0.0,0.0,,1.0,1.0000000000000003e-05,1.0,REGULAR,USD,AXON,1,2025-05-16,2025-04-23 13:00:49.239066,583.9099731445312
AXON250516C00440000,2025-04-16 18:08:01+00:00,440.0,138.65,142.1,147.2,0.0,0.0,1.0,20.0,0.5690961059570312,1.0,REGULAR,USD,AXON,1,2025-05-16,2025-04-23 13:00:49.239066,583.9099731445312
AXON250516C00450000,2025-04-10 13:58:10+00:00,450.0,115.03,132.0,139.5,0.0,0.0,2.0,24.0,0.6281775463867189,1.0,REGULAR,USD,AXON,1,2025-05-16,2025-04-23 13:00:49.239066,583.9099731445312
AXON250516C00460000,2025-04-10 13:58:10+00:00,460.0,107.03,124.0,130.7,0.0,0.0,2.0,2.0,0.6747469049072268,1.0,REGULAR,USD,AXON,1,2025-05-16,2025-04-23 13:00:49.239066,583.9099731445312
AXON250516C00470000,2025-04-17 18:07:24+00:00,470.0,105.71,115.1,122.9,0.0,0.0,9.0,11.0,0.6969634796142579,1.0,REGULAR,USD,AXON,1,2025-05-16,2025-04-23 13:00:49.239066,583.9099731445312
AXON250516C00480000,2025-04-09 18:22:29+00:00,480.0,96.7,107.0,113.4,0.0,0.0,1.0,2.0,0.689028988647461,1.0,REGULAR,USD,AXON,1,2025-05-16,2025-04-23 13:00:49.239066,583.9099731445312
