contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
AXP250425C00150000,2025-04-14 17:00:07+00:00,150.0,105.7,109.6,111.75,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00160000,2025-04-07 17:00:11+00:00,160.0,74.25,99.75,102.55,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00195000,2025-04-04 13:33:42+00:00,195.0,44.3,64.85,67.55,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00200000,2025-04-03 18:01:24+00:00,200.0,50.7,59.55,62.55,0.0,0.0,2.0,25,1.0000000000000003e-05,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00205000,2025-04-17 19:29:51+00:00,205.0,46.5,54.7,57.65,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00207500,2025-04-10 19:50:03+00:00,207.5,41.7,52.3,54.5,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00210000,2025-04-10 19:50:03+00:00,210.0,39.55,49.65,52.65,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00215000,2025-04-10 18:13:58+00:00,215.0,35.8,44.6,47.65,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00220000,2025-04-09 17:37:17+00:00,220.0,40.05,39.6,41.85,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00225000,2025-04-23 13:42:14+00:00,225.0,43.05,35.2,37.5,14.799999,52.389378,1.0,14,1.0000000000000003e-05,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00227500,2025-04-14 14:17:24+00:00,227.5,30.46,32.8,35.65,0.0,0.0,10.0,11,0.92187578125,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00230000,2025-04-21 19:39:33+00:00,230.0,13.72,29.75,32.1,0.0,0.0,18.0,23,1.0000000000000003e-05,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00232500,2025-04-21 19:56:42+00:00,232.5,12.1,27.75,29.45,0.0,0.0,22.0,22,1.0000000000000003e-05,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00235000,2025-04-22 19:59:01+00:00,235.0,31.2,25.3,27.4,12.300001,65.07938,2.0,30,1.0000000000000003e-05,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00237500,2025-04-22 19:44:45+00:00,237.5,15.94,23.05,25.2,0.0,0.0,61.0,63,1.0000000000000003e-05,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00240000,2025-04-22 18:21:43+00:00,240.0,30.0,20.3,21.75,16.75,126.41509,2.0,250,1.0000000000000003e-05,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00242500,2025-04-22 19:57:34+00:00,242.5,26.7,18.3,19.75,15.150001,131.16882,2.0,293,1.0000000000000003e-05,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00245000,2025-04-23 14:14:14+00:00,245.0,18.68,16.3,17.85,9.2300005,97.67197,118.0,295,0.3632876171875,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00247500,2025-04-23 13:52:51+00:00,247.5,17.4,14.3,15.7,9.9,131.99998,19.0,176,0.4721732470703125,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00250000,2025-04-23 15:48:04+00:00,250.0,13.6,11.9,13.8,7.7500005,132.47864,107.0,321,0.5388229711914063,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00252500,2025-04-23 15:29:05+00:00,252.5,10.92,9.55,10.95,6.52,148.18181,199.0,417,0.4023497265625,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00255000,2025-04-23 15:23:04+00:00,255.0,8.3,7.5,8.2,5.1000004,159.37502,124.0,294,0.2846751220703124,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00257500,2025-04-23 15:38:04+00:00,257.5,7.59,6.1,6.8,5.69,299.47366,60.0,305,0.37573866455078125,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00260000,2025-04-23 15:00:34+00:00,260.0,4.81,4.6,5.35,3.71,337.27277,278.0,639,0.40051869018554687,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
AXP250425C00262500,2025-04-23 16:10:13+00:00,262.5,3.4,2.78,3.5,2.73,407.46265,203.0,263,0.35242346801757807,True,REGULAR,USD,AXP,1,2025-04-25,2025-04-23 13:00:21.801292,262.79998779296875
