contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
A250516C00080000,2025-04-03 17:29:28+00:00,80.0,32.0,24.7,27.4,0.0,0.0,5.0,5,0.6289099609375001,True,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00095000,2025-04-21 14:36:32+00:00,95.0,8.2,10.9,12.1,0.0,0.0,1.0,3,0.4804739453125,True,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00100000,2025-04-22 19:12:32+00:00,100.0,10.0,6.9,7.6,4.3,75.43861,2.0,395,0.3857483300781249,True,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00105000,2025-04-23 15:52:16+00:00,105.0,4.5,4.1,4.9,1.8,66.666664,13.0,1321,0.4165097412109374,True,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00110000,2025-04-23 15:59:34+00:00,110.0,2.24,1.95,2.1,0.89,65.92593,62.0,128,0.34802898071289057,False,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00115000,2025-04-23 15:53:49+00:00,115.0,0.8,0.7,0.8,0.35000002,77.77779,19.0,372,0.33008482421874996,False,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00120000,2025-04-23 13:46:45+00:00,120.0,0.47,0.2,0.35,0.32,213.33333,2.0,90,0.34570966796874997,False,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00125000,2025-04-15 16:05:15+00:00,125.0,0.35,0.0,0.75,0.0,0.0,2.0,323,0.51562984375,False,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00130000,2025-04-15 13:52:09+00:00,130.0,0.38,0.0,0.75,0.0,0.0,1.0,363,0.5092822509765625,False,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00135000,2025-04-15 18:49:22+00:00,135.0,0.11,0.0,0.75,0.0,0.0,2.0,310,0.5795940478515625,False,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00140000,2025-04-16 13:47:49+00:00,140.0,0.38,0.0,0.05,0.0,0.0,7.0,223,0.47070841796875,False,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00145000,2025-04-04 13:45:18+00:00,145.0,0.06,0.0,0.75,0.0,0.0,2.0,414,0.708010732421875,False,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00150000,2025-03-07 15:23:17+00:00,150.0,0.48,0.0,0.0,0.0,0.0,30.0,176,0.2500075,False,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00155000,2025-04-10 19:33:42+00:00,155.0,0.04,0.0,0.15,0.0,0.0,4.0,238,0.6445348046875,False,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00160000,2025-03-28 18:29:27+00:00,160.0,0.1,0.0,0.75,0.0,0.0,3.0,361,0.8764660791015625,False,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00165000,2025-02-25 15:44:11+00:00,165.0,0.4,0.0,0.9,0.0,0.0,3.0,134,0.9580082324218748,False,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00170000,2024-11-21 16:13:18+00:00,170.0,1.2,2.2,2.95,0.0,0.0,2.0,4,1.4848658569335935,False,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00175000,2025-02-27 20:28:09+00:00,175.0,0.1,0.0,1.0,0.0,0.0,1.0,120,1.0756882153320313,False,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00180000,2024-12-24 17:17:37+00:00,180.0,0.54,0.65,2.75,0.0,0.0,1.0,3,1.44140904296875,False,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00185000,2024-12-16 05:09:49+00:00,185.0,0.7,0.45,0.95,0.0,0.0,1.0,710,1.2402381738281247,False,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00190000,2024-12-16 05:09:49+00:00,190.0,1.4,0.0,0.0,0.0,0.0,,3,0.500005,False,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516C00200000,2025-04-14 15:17:55+00:00,200.0,0.05,0.0,0.05,0.0,0.0,3.0,29,0.8867198828124999,False,REGULAR,USD,A,1,2025-05-16,2025-04-23 13:00:03.901108,105.80000305175781
A250516P00075000,2025-04-21 18:20:09+00:00,75.0,0.3,0.0,0.75,0.0,0.0,1.0,6,0.8105487695312499,False,REGULAR,USD,A,0,2025-05-16,2025-04-23 13:00:03.902116,105.80000305175781
A250516P00080000,2025-04-21 15:48:13+00:00,80.0,0.4,0.0,0.75,0.0,0.0,16.0,17,0.6826203613281252,False,REGULAR,USD,A,0,2025-05-16,2025-04-23 13:00:03.902116,105.80000305175781
A250516P00085000,2025-04-22 13:39:34+00:00,85.0,0.25,0.1,0.25,0.0,0.0,1.0,625,0.5136767382812499,False,REGULAR,USD,A,0,2025-05-16,2025-04-23 13:00:03.902116,105.80000305175781
A250516P00090000,2025-04-22 18:12:36+00:00,90.0,0.37,0.3,0.5,-0.35000002,-48.611115,1.0,83,0.4726615234375,False,REGULAR,USD,A,0,2025-05-16,2025-04-23 13:00:03.902116,105.80000305175781
A250516P00095000,2025-04-23 14:29:53+00:00,95.0,0.61,0.85,1.1,-1.09,-64.117645,17.0,348,0.45117736328125,False,REGULAR,USD,A,0,2025-05-16,2025-04-23 13:00:03.902116,105.80000305175781
A250516P00100000,2025-04-23 16:10:58+00:00,100.0,1.92,2.1,2.25,-0.48000014,-20.000006,305.0,97,0.4351863122558594,False,REGULAR,USD,A,0,2025-05-16,2025-04-23 13:00:03.902116,105.80000305175781
A250516P00105000,2025-04-23 14:29:53+00:00,105.0,2.6,3.9,4.2,-2.4,-48.000004,8.0,576,0.42578699218750005,False,REGULAR,USD,A,0,2025-05-16,2025-04-23 13:00:03.902116,105.80000305175781
A250516P00110000,2025-04-22 17:26:10+00:00,110.0,5.32,6.2,6.8,-2.98,-35.903614,2.0,682,0.397466962890625,True,REGULAR,USD,A,0,2025-05-16,2025-04-23 13:00:03.902116,105.80000305175781
A250516P00115000,2025-04-17 19:05:28+00:00,115.0,12.68,10.4,10.8,0.0,0.0,1.0,557,0.43286699951171875,True,REGULAR,USD,A,0,2025-05-16,2025-04-23 13:00:03.902116,105.80000305175781
A250516P00120000,2025-04-16 16:05:57+00:00,120.0,12.1,13.7,15.5,-4.8500004,-28.61357,2.0,1156,0.5080615600585938,True,REGULAR,USD,A,0,2025-05-16,2025-04-23 13:00:03.902116,105.80000305175781
A250516P00125000,2025-04-22 19:24:07+00:00,125.0,23.2,19.5,20.7,0.0,0.0,15.0,16,0.5429733203125001,True,REGULAR,USD,A,0,2025-05-16,2025-04-23 13:00:03.902116,105.80000305175781
A250516P00130000,2025-04-21 19:28:39+00:00,130.0,31.2,22.8,25.8,0.0,0.0,3.0,4,0.745119736328125,True,REGULAR,USD,A,0,2025-05-16,2025-04-23 13:00:03.902116,105.80000305175781
