contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
BAC250425C00022500,2025-04-16 17:39:46+00:00,22.5,15.2,16.35,16.5,0.0,0.0,5.0,17,1.0000000000000003e-05,True,REGULAR,USD,BAC,1,2025-04-25,2025-04-23 13:00:52.169054,39.08000183105469
BAC250425C00023500,2025-04-14 19:59:54+00:00,23.5,13.2,15.2,15.4,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,BAC,1,2025-04-25,2025-04-23 13:00:52.169054,39.08000183105469
BAC250425C00024500,2025-04-16 17:51:14+00:00,24.5,13.0,14.4,14.55,0.0,0.0,,4,1.0000000000000003e-05,True,REGULAR,USD,BAC,1,2025-04-25,2025-04-23 13:00:52.169054,39.08000183105469
BAC250425C00025000,2025-04-17 16:43:21+00:00,25.0,12.65,13.7,13.9,0.0,0.0,2.0,4,1.0000000000000003e-05,True,REGULAR,USD,BAC,1,2025-04-25,2025-04-23 13:00:52.169054,39.08000183105469
BAC250425C00026000,2025-04-16 17:54:16+00:00,26.0,11.47,12.8,13.05,0.0,0.0,1.0,24,1.0000000000000003e-05,True,REGULAR,USD,BAC,1,2025-04-25,2025-04-23 13:00:52.169054,39.08000183105469
BAC250425C00027000,2025-04-14 14:39:28+00:00,27.0,10.03,11.8,11.9,0.0,0.0,2.0,45,1.0000000000000003e-05,True,REGULAR,USD,BAC,1,2025-04-25,2025-04-23 13:00:52.169054,39.08000183105469
BAC250425C00028000,2025-04-23 16:22:49+00:00,28.0,10.85,10.9,11.0,1.1300001,11.625516,14.0,35,1.0000000000000003e-05,True,REGULAR,USD,BAC,1,2025-04-25,2025-04-23 13:00:52.169054,39.08000183105469
BAC250425C00028500,2025-04-15 14:41:23+00:00,28.5,11.1,10.4,10.5,1.5500002,16.230368,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,BAC,1,2025-04-25,2025-04-23 13:00:52.169054,39.08000183105469
BAC250425C00029000,2025-04-22 14:18:28+00:00,29.0,8.78,9.8,10.05,0.0,0.0,2.0,62,1.0000000000000003e-05,True,REGULAR,USD,BAC,1,2025-04-25,2025-04-23 13:00:52.169054,39.08000183105469
BAC250425C00030000,2025-04-23 15:46:20+00:00,30.0,9.05,8.9,9.0,0.75,9.036144,34.0,84,1.0000000000000003e-05,True,REGULAR,USD,BAC,1,2025-04-25,2025-04-23 13:00:52.169054,39.08000183105469
BAC250425C00031000,2025-04-22 13:35:19+00:00,31.0,6.75,7.9,8.0,0.0,0.0,1.0,66,1.0000000000000003e-05,True,REGULAR,USD,BAC,1,2025-04-25,2025-04-23 13:00:52.169054,39.08000183105469
BAC250425C00031500,2025-04-23 15:23:03+00:00,31.5,7.85,7.25,7.35,1.1500001,17.16418,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,BAC,1,2025-04-25,2025-04-23 13:00:52.169054,39.08000183105469
BAC250425C00032000,2025-04-23 15:01:44+00:00,32.0,7.5,6.9,7.1,1.5799999,26.689188,34.0,200,1.0312548437500002,True,REGULAR,USD,BAC,1,2025-04-25,2025-04-23 13:00:52.169054,39.08000183105469
BAC250425C00032500,2025-04-14 17:01:32+00:00,32.5,7.4,6.3,6.5,2.85,62.63736,4.0,7,1.0000000000000003e-05,True,REGULAR,USD,BAC,1,2025-04-25,2025-04-23 13:00:52.169054,39.08000183105469
BAC250425C00033000,2025-04-23 15:19:17+00:00,33.0,6.5,5.8,6.0,1.1999998,22.641506,25.0,106,1.0000000000000003e-05,True,REGULAR,USD,BAC,1,2025-04-25,2025-04-23 13:00:52.169054,39.08000183105469
BAC250425C00033500,2025-04-17 13:59:31+00:00,33.5,4.14,5.3,5.5,0.0,0.0,3.0,3,1.0000000000000003e-05,True,REGULAR,USD,BAC,1,2025-04-25,2025-04-23 13:00:52.169054,39.08000183105469
BAC250425C00034000,2025-04-23 15:31:24+00:00,34.0,5.15,4.85,5.1,0.8000002,18.390808,8.0,269,0.7578149218750001,True,REGULAR,USD,BAC,1,2025-04-25,2025-04-23 13:00:52.169054,39.08000183105469
BAC250425C00034500,2025-04-22 19:42:17+00:00,34.5,3.85,4.25,4.45,0.0,0.0,6.0,164,1.0000000000000003e-05,True,REGULAR,USD,BAC,1,2025-04-25,2025-04-23 13:00:52.169054,39.08000183105469
