contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
BALL250516C00045000,2025-04-23 15:01:54+00:00,45.0,4.9,4.1,5.0,0.3699999,8.167768,144.0,286,0.5268602001953125,True,REGULAR,USD,BALL,1,2025-05-16,2025-04-23 13:00:51.299041,48.369998931884766
BALL250516C00047500,2025-04-23 16:02:25+00:00,47.5,2.6,2.5,2.9,-0.10000014,-3.703709,5.0,59,0.49805189453125004,True,REGULAR,USD,BALL,1,2025-05-16,2025-04-23 13:00:51.299041,48.369998931884766
BALL250516C00050000,2025-04-22 19:38:06+00:00,50.0,1.42,1.25,1.45,0.0,0.0,32.0,1620,0.43115803222656257,False,REGULAR,USD,BALL,1,2025-05-16,2025-04-23 13:00:51.299041,48.369998931884766
BALL250516C00052500,2025-04-22 18:07:48+00:00,52.5,0.64,0.35,0.55,0.089999974,16.36363,19.0,578,0.3803772900390625,False,REGULAR,USD,BALL,1,2025-05-16,2025-04-23 13:00:51.299041,48.369998931884766
BALL250516C00055000,2025-04-23 16:22:00+00:00,55.0,0.25,0.15,0.3,0.09,47.368423,6.0,669,0.414068359375,False,REGULAR,USD,BALL,1,2025-05-16,2025-04-23 13:00:51.299041,48.369998931884766
BALL250516C00057500,2025-04-23 15:47:07+00:00,57.5,0.1,0.1,0.3,0.05,100.0,18.0,267,0.5107470800781251,False,REGULAR,USD,BALL,1,2025-05-16,2025-04-23 13:00:51.299041,48.369998931884766
BALL250516C00060000,2025-04-22 19:00:35+00:00,60.0,0.05,0.0,0.2,0.0,0.0,4.0,318,0.5449264257812501,False,REGULAR,USD,BALL,1,2025-05-16,2025-04-23 13:00:51.299041,48.369998931884766
BALL250516C00062500,2025-04-10 18:20:12+00:00,62.5,0.18,0.0,0.3,0.0,0.0,1.0,60,0.586918193359375,False,REGULAR,USD,BALL,1,2025-05-16,2025-04-23 13:00:51.299041,48.369998931884766
BALL250516C00065000,2025-04-14 16:14:59+00:00,65.0,0.1,0.0,0.4,0.0,0.0,150.0,180,0.69336244140625,False,REGULAR,USD,BALL,1,2025-05-16,2025-04-23 13:00:51.299041,48.369998931884766
BALL250516C00067500,2025-02-13 16:58:41+00:00,67.5,0.15,0.0,0.5,0.0,0.0,2.0,65,0.795900478515625,False,REGULAR,USD,BALL,1,2025-05-16,2025-04-23 13:00:51.299041,48.369998931884766
BALL250516C00070000,2025-04-07 14:28:30+00:00,70.0,0.11,0.0,0.4,0.0,0.0,1.0,8,0.8251970605468748,False,REGULAR,USD,BALL,1,2025-05-16,2025-04-23 13:00:51.299041,48.369998931884766
BALL250516C00072500,2024-12-16 05:07:36+00:00,72.5,1.3,0.05,1.4,0.0,0.0,22.0,24,1.1709025830078126,False,REGULAR,USD,BALL,1,2025-05-16,2025-04-23 13:00:51.299041,48.369998931884766
BALL250516C00075000,2025-01-30 15:38:26+00:00,75.0,0.17,0.0,0.45,0.0,0.0,4.0,94,0.963867548828125,False,REGULAR,USD,BALL,1,2025-05-16,2025-04-23 13:00:51.299041,48.369998931884766
BALL250516C00080000,2024-11-21 14:30:01+00:00,80.0,0.35,0.0,0.85,0.0,0.0,,2,1.2109414453124998,False,REGULAR,USD,BALL,1,2025-05-16,2025-04-23 13:00:51.299041,48.369998931884766
BALL250516C00085000,2024-11-20 14:41:55+00:00,85.0,0.1,0.0,0.8,0.0,0.0,,10,1.3027378613281246,False,REGULAR,USD,BALL,1,2025-05-16,2025-04-23 13:00:51.299041,48.369998931884766
BALL250516C00095000,2024-12-16 05:07:37+00:00,95.0,0.25,0.0,1.05,0.0,0.0,,1,1.572267763671875,False,REGULAR,USD,BALL,1,2025-05-16,2025-04-23 13:00:51.299041,48.369998931884766
BALL250516P00030000,2025-04-09 14:44:55+00:00,30.0,0.59,0.0,0.45,0.0,0.0,,33,1.12891060546875,False,REGULAR,USD,BALL,0,2025-05-16,2025-04-23 13:00:51.300044,48.369998931884766
BALL250516P00032500,2025-04-09 14:44:55+00:00,32.5,0.7,0.0,0.15,0.0,0.0,,31,0.789064609375,False,REGULAR,USD,BALL,0,2025-05-16,2025-04-23 13:00:51.300044,48.369998931884766
BALL250516P00035000,2025-04-15 16:54:51+00:00,35.0,0.15,0.0,0.5,0.0,0.0,,1,0.8339860351562498,False,REGULAR,USD,BALL,0,2025-05-16,2025-04-23 13:00:51.300044,48.369998931884766
BALL250516P00037500,2025-04-17 15:25:40+00:00,37.5,0.25,0.05,0.55,0.0,0.0,5.0,7,0.7187528125,False,REGULAR,USD,BALL,0,2025-05-16,2025-04-23 13:00:51.300044,48.369998931884766
BALL250516P00040000,2025-04-21 14:25:37+00:00,40.0,0.35,0.15,0.55,0.0,0.0,11.0,325,0.5986368261718751,False,REGULAR,USD,BALL,0,2025-05-16,2025-04-23 13:00:51.300044,48.369998931884766
BALL250516P00042500,2025-04-22 18:58:57+00:00,42.5,0.45,0.35,0.75,0.0,0.0,7.0,3352,0.526371923828125,False,REGULAR,USD,BALL,0,2025-05-16,2025-04-23 13:00:51.300044,48.369998931884766
BALL250516P00045000,2025-04-22 18:48:47+00:00,45.0,0.94,0.75,1.15,0.0,0.0,3.0,10826,0.5195360546875,False,REGULAR,USD,BALL,0,2025-05-16,2025-04-23 13:00:51.300044,48.369998931884766
BALL250516P00047500,2025-04-23 14:36:38+00:00,47.5,1.37,1.3,2.2,-0.35000002,-20.348839,1.0,1093,0.53320779296875,False,REGULAR,USD,BALL,0,2025-05-16,2025-04-23 13:00:51.300044,48.369998931884766
BALL250516P00050000,2025-04-21 15:50:17+00:00,50.0,3.84,2.9,3.2,0.0,0.0,1.0,1350,0.45606012695312503,True,REGULAR,USD,BALL,0,2025-05-16,2025-04-23 13:00:51.300044,48.369998931884766
BALL250516P00052500,2025-04-09 15:47:22+00:00,52.5,4.5,4.4,5.4,-4.0,-47.058823,13.0,84,0.5581098876953126,True,REGULAR,USD,BALL,0,2025-05-16,2025-04-23 13:00:51.300044,48.369998931884766
BALL250516P00055000,2025-04-23 15:01:51+00:00,55.0,6.2,5.6,7.3,-0.4000001,-6.0606074,116.0,82,0.5371140039062501,True,REGULAR,USD,BALL,0,2025-05-16,2025-04-23 13:00:51.300044,48.369998931884766
BALL250516P00057500,2025-04-08 18:24:20+00:00,57.5,11.2,7.3,9.9,0.0,0.0,3.0,0,0.6782258740234376,True,REGULAR,USD,BALL,0,2025-05-16,2025-04-23 13:00:51.300044,48.369998931884766
BALL250516P00060000,2025-01-23 15:05:13+00:00,60.0,6.5,8.8,9.4,0.0,0.0,4.0,11,1.0000000000000003e-05,True,REGULAR,USD,BALL,0,2025-05-16,2025-04-23 13:00:51.300044,48.369998931884766
BALL250516P00062500,2025-03-07 18:22:54+00:00,62.5,8.93,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,BALL,0,2025-05-16,2025-04-23 13:00:51.300044,48.369998931884766
BALL250516P00065000,2025-01-17 20:58:53+00:00,65.0,10.81,13.5,14.6,0.0,0.0,1.0,16,1.0000000000000003e-05,True,REGULAR,USD,BALL,0,2025-05-16,2025-04-23 13:00:51.300044,48.369998931884766
BALL250516P00067500,2024-12-23 20:09:54+00:00,67.5,12.0,10.9,12.5,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD,BALL,0,2025-05-16,2025-04-23 13:00:51.300044,48.369998931884766
BALL250516P00075000,2025-02-03 15:31:50+00:00,75.0,19.4,21.5,25.2,0.0,0.0,5.0,0,1.0000000000000003e-05,True,REGULAR,USD,BALL,0,2025-05-16,2025-04-23 13:00:51.300044,48.369998931884766
BALL250516P00080000,2024-12-16 05:07:38+00:00,80.0,15.53,21.0,23.3,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,BALL,0,2025-05-16,2025-04-23 13:00:51.300044,48.369998931884766
BALL250620C00040000,2025-03-28 15:30:54+00:00,40.0,12.05,7.8,9.9,0.0,0.0,1.0,5,0.6440465283203125,True,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00042500,2024-12-16 05:07:37+00:00,42.5,22.6,21.8,25.4,0.0,0.0,3.0,5,2.99219001953125,True,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00045000,2025-04-16 18:00:06+00:00,45.0,4.3,4.7,5.2,0.0,0.0,3.0,8,0.43335527587890627,True,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00047500,2025-04-23 15:01:51+00:00,47.5,3.6,3.1,3.5,0.89999986,33.33333,168.0,434,0.39649041015625003,True,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00050000,2025-04-23 14:30:51+00:00,50.0,2.2,1.8,2.2,0.3900001,21.546968,7.0,354,0.37354142089843745,False,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00052500,2025-04-23 14:57:54+00:00,52.5,1.2,0.95,1.45,0.100000024,9.090911,2.0,232,0.38184211914062494,False,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00055000,2025-04-22 15:59:26+00:00,55.0,0.5,0.3,0.75,0.0,0.0,16.0,534,0.3569400244140625,False,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00057500,2025-04-21 18:57:26+00:00,57.5,0.17,0.15,0.35,0.0,0.0,1.0,863,0.3393620751953125,False,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00060000,2025-04-22 16:04:24+00:00,60.0,0.28,0.05,0.5,0.0,0.0,3.0,355,0.436529072265625,False,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00062500,2025-04-22 19:04:44+00:00,62.5,0.07,0.0,0.5,0.0,0.0,6.0,218,0.49268085449218757,False,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00065000,2025-04-07 16:54:32+00:00,65.0,0.1,0.0,0.45,0.0,0.0,1.0,82,0.5302781347656251,False,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00067500,2025-01-22 17:48:23+00:00,67.5,0.39,0.05,0.55,0.0,0.0,13.0,231,0.5273484765625001,False,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00070000,2025-01-15 17:03:24+00:00,70.0,0.29,0.0,0.9,0.0,0.0,1.0,29,0.62305064453125,False,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00072500,2024-12-31 14:32:46+00:00,72.5,0.35,0.1,1.0,0.0,0.0,2.0,94,0.6977569287109376,False,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00075000,2025-03-04 14:32:40+00:00,75.0,0.05,0.0,0.0,0.0,0.0,1.0,148,0.2500075,False,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00077500,2024-12-16 05:07:37+00:00,77.5,1.25,0.05,0.55,0.0,0.0,10.0,10,0.6860382958984376,False,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00080000,2025-03-26 13:30:01+00:00,80.0,0.05,0.0,0.4,0.0,0.0,1.0,133,0.6699251757812501,False,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00085000,2024-12-16 05:07:37+00:00,85.0,2.93,0.9,2.1,0.0,0.0,341.0,229,1.1352582299804688,False,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00090000,2024-12-16 05:07:37+00:00,90.0,0.75,0.1,1.8,0.0,0.0,4.0,21,1.0756882153320313,False,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00095000,2024-12-16 05:07:38+00:00,95.0,0.4,0.1,1.55,0.0,0.0,31.0,21,1.1035201074218752,False,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620C00100000,2024-12-16 05:07:37+00:00,100.0,0.9,0.0,2.4,0.0,0.0,4.0,4,1.267093508300781,False,REGULAR,USD,BALL,1,2025-06-20,2025-04-23 13:00:51.372338,48.369998931884766
BALL250620P00030000,2025-04-09 18:46:16+00:00,30.0,0.3,0.0,0.5,0.0,0.0,,4,0.735354208984375,False,REGULAR,USD,BALL,0,2025-06-20,2025-04-23 13:00:51.373341,48.369998931884766
BALL250620P00032500,2025-04-04 14:15:03+00:00,32.5,0.1,0.05,0.55,0.0,0.0,30.0,35,0.6562534375000001,False,REGULAR,USD,BALL,0,2025-06-20,2025-04-23 13:00:51.373341,48.369998931884766
BALL250620P00035000,2025-04-04 14:11:03+00:00,35.0,0.2,0.05,0.6,0.0,0.0,10.0,10,0.5654340332031251,False,REGULAR,USD,BALL,0,2025-06-20,2025-04-23 13:00:51.373341,48.369998931884766
BALL250620P00037500,2025-04-21 18:57:26+00:00,37.5,0.44,0.2,0.7,0.0,0.0,1.0,5,0.5107470800781251,False,REGULAR,USD,BALL,0,2025-06-20,2025-04-23 13:00:51.373341,48.369998931884766
