contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
BAX250425C00020000,2025-04-22 14:43:55+00:00,20.0,9.33,8.6,11.3,0.0,0.0,2.0,7,3.410157724609375,True,REGULAR,USD,BAX,1,2025-04-25,2025-04-23 13:00:53.780484,29.584999084472656
BAX250425C00025000,2025-04-22 19:51:52+00:00,25.0,3.62,3.7,5.4,0.0,0.0,3.0,2,2.50000375,True,REGULAR,USD,BAX,1,2025-04-25,2025-04-23 13:00:53.780484,29.584999084472656
BAX250425C00026000,2025-04-22 19:53:22+00:00,26.0,2.69,3.4,3.9,0.0,0.0,3.0,95,0.9335944140625,True,REGULAR,USD,BAX,1,2025-04-25,2025-04-23 13:00:53.780484,29.584999084472656
BAX250425C00027000,2025-04-09 14:50:37+00:00,27.0,1.49,2.0,3.9,0.0,0.0,,1,1.23047259765625,True,REGULAR,USD,BAX,1,2025-04-25,2025-04-23 13:00:53.780484,29.584999084472656
BAX250425C00027500,2025-04-17 16:24:09+00:00,27.5,1.62,1.9,3.3,0.0,0.0,10.0,25,1.26172244140625,True,REGULAR,USD,BAX,1,2025-04-25,2025-04-23 13:00:53.780484,29.584999084472656
BAX250425C00028000,2025-04-17 16:36:14+00:00,28.0,1.3,1.45,1.75,0.0,0.0,10.0,9,0.6562534375000001,True,REGULAR,USD,BAX,1,2025-04-25,2025-04-23 13:00:53.780484,29.584999084472656
BAX250425C00028500,2025-04-23 15:00:34+00:00,28.5,1.65,1.0,1.15,1.0699999,184.48273,12.0,95,0.3711000390625,True,REGULAR,USD,BAX,1,2025-04-25,2025-04-23 13:00:53.780484,29.584999084472656
BAX250425C00029000,2025-04-22 19:40:13+00:00,29.0,0.35,0.65,0.8,0.0,0.0,131.0,125,0.42188078125,True,REGULAR,USD,BAX,1,2025-04-25,2025-04-23 13:00:53.780484,29.584999084472656
BAX250425C00029500,2025-04-22 18:00:05+00:00,29.5,0.16,0.35,0.55,0.0,0.0,53.0,62,0.47461462890625,True,REGULAR,USD,BAX,1,2025-04-25,2025-04-23 13:00:53.780484,29.584999084472656
BAX250425C00030000,2025-04-23 15:32:35+00:00,30.0,0.28,0.15,0.25,0.18,180.00002,49.0,182,0.39453730468750003,False,REGULAR,USD,BAX,1,2025-04-25,2025-04-23 13:00:53.780484,29.584999084472656
BAX250425C00030500,2025-04-14 13:52:17+00:00,30.5,0.18,0.05,0.15,0.0,0.0,30.0,32,0.43555251953125,False,REGULAR,USD,BAX,1,2025-04-25,2025-04-23 13:00:53.780484,29.584999084472656
BAX250425C00031000,2025-04-22 13:33:25+00:00,31.0,0.05,0.0,0.1,0.0,0.0,6.0,58,0.48828636718750007,False,REGULAR,USD,BAX,1,2025-04-25,2025-04-23 13:00:53.780484,29.584999084472656
BAX250425C00031500,2025-04-21 19:34:29+00:00,31.5,0.01,0.0,0.1,0.0,0.0,1.0,72,0.59570716796875,False,REGULAR,USD,BAX,1,2025-04-25,2025-04-23 13:00:53.780484,29.584999084472656
BAX250425C00033000,2025-03-07 17:13:06+00:00,33.0,3.75,0.0,0.0,0.0,0.0,1.0,1,0.2500075,False,REGULAR,USD,BAX,1,2025-04-25,2025-04-23 13:00:53.780484,29.584999084472656
BAX250425C00034000,2025-04-04 14:22:44+00:00,34.0,0.15,0.0,0.5,0.0,0.0,2.0,2076,1.3554719726562499,False,REGULAR,USD,BAX,1,2025-04-25,2025-04-23 13:00:53.780484,29.584999084472656
BAX250425C00035000,2025-04-07 19:34:55+00:00,35.0,0.08,0.0,0.5,0.0,0.0,1.0,77,1.5390648046875,False,REGULAR,USD,BAX,1,2025-04-25,2025-04-23 13:00:53.780484,29.584999084472656
