contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
BBY250425C00038500,2025-04-17 16:43:21+00:00,38.5,22.95,24.95,27.5,0.0,0.0,1.0,11.0,3.7929692675781252,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00039000,2025-04-15 17:06:18+00:00,39.0,22.34,24.5,26.95,0.0,0.0,,10.0,3.7148444628906248,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00039500,2025-04-15 17:07:08+00:00,39.5,22.03,24.3,24.75,0.0,0.0,,13.0,2.2968792578125,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00040000,2025-04-15 17:07:08+00:00,40.0,21.55,23.8,24.75,0.0,0.0,10.0,13.0,2.4140664648437498,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00040500,2025-04-15 17:07:56+00:00,40.5,20.98,23.25,23.65,0.0,0.0,,10.0,1.0000000000000003e-05,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00041000,2025-04-15 17:07:56+00:00,41.0,20.51,22.75,23.2,0.0,0.0,,7.0,1.0000000000000003e-05,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00041500,2025-04-14 16:37:00+00:00,41.5,20.49,22.0,23.1,0.0,0.0,,8.0,3.1210959472656246,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00042500,2025-04-15 17:09:06+00:00,42.5,18.83,21.1,22.0,0.0,0.0,,10.0,2.792971767578125,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00043000,2025-04-15 17:09:06+00:00,43.0,18.36,20.45,21.75,0.0,0.0,,10.0,3.1406271484375,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00045000,2025-04-08 15:24:43+00:00,45.0,16.16,18.45,19.3,0.0,0.0,,15.0,1.9765626171875001,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00045500,2025-04-22 17:26:06+00:00,45.5,18.15,18.2,18.95,0.0,0.0,1.0,6.0,2.3085979785156248,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00046000,2025-04-15 17:10:19+00:00,46.0,15.95,17.55,18.6,0.0,0.0,,5.0,2.5039099902343747,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00047000,2025-04-11 15:00:05+00:00,47.0,12.0,15.5,17.65,0.0,0.0,,16.0,2.441410146484375,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00048000,2025-04-15 17:11:35+00:00,48.0,13.4,15.25,17.75,0.0,0.0,,5.0,2.0937547656249995,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00048500,2025-04-15 17:11:35+00:00,48.5,12.93,15.15,16.1,0.0,0.0,,5.0,2.1796920507812496,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00049000,2025-04-08 17:35:17+00:00,49.0,10.75,14.3,15.2,0.0,0.0,,10.0,1.0000000000000003e-05,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00050000,2025-04-04 19:39:24+00:00,50.0,12.24,13.9,14.5,0.0,0.0,2.0,1.0,1.8515632421875,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00052000,2025-04-07 18:16:01+00:00,52.0,10.65,11.85,12.5,0.0,0.0,1.0,2.0,1.6171894140625,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00054000,2025-04-14 18:03:25+00:00,54.0,9.0,9.8,10.5,0.0,0.0,2.0,1.0,1.3867218164062498,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00055000,2025-04-17 15:26:37+00:00,55.0,6.48,8.95,9.75,0.0,0.0,1.0,87.0,1.0703171484375003,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00056000,2025-04-17 13:44:10+00:00,56.0,5.3,7.7,8.35,0.0,0.0,2.0,7.0,0.9687503125,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00057000,2025-04-11 19:20:21+00:00,57.0,5.11,6.0,8.25,0.0,0.0,,11.0,1.61328318359375,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00058000,2025-04-16 19:10:01+00:00,58.0,2.82,5.2,7.25,0.0,0.0,9.0,31.0,1.466799541015625,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00058500,2025-04-21 13:56:19+00:00,58.5,3.47,4.55,7.6,0.0,0.0,11.0,86.0,0.937500625,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00059000,2025-04-22 16:35:42+00:00,59.0,5.2,4.65,6.45,0.0,0.0,2.0,317.0,0.85742330078125,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00060000,2025-04-22 19:25:29+00:00,60.0,6.6,3.7,4.6,2.8,73.68421,2.0,66.0,0.773439765625,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00061000,2025-04-23 14:28:00+00:00,61.0,5.58,2.88,3.45,2.03,57.183098,5.0,79.0,0.5419967675781252,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00062000,2025-04-23 15:28:13+00:00,62.0,2.6,2.19,2.64,0.29999995,13.043477,652.0,283.0,0.5380905566406251,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00063000,2025-04-23 13:39:59+00:00,63.0,4.15,1.53,1.77,2.66,178.52348,38.0,286.0,0.4580132324218751,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00064000,2025-04-23 15:51:14+00:00,64.0,0.85,0.76,1.02,-0.32999992,-27.966097,724.0,756.0,0.39160764648437496,1.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00065000,2025-04-23 14:22:19+00:00,65.0,1.04,0.36,0.61,0.33999997,48.571423,77.0,1073.0,0.407232490234375,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00066000,2025-04-23 14:53:41+00:00,66.0,0.67,0.19,0.32,0.26000002,63.41464,27.0,204.0,0.407232490234375,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00067000,2025-04-23 15:50:08+00:00,67.0,0.14,0.0,0.15,-0.11,-44.0,28.0,87.0,0.4062559375,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00068000,2025-04-23 16:12:37+00:00,68.0,0.08,0.02,0.14,-0.17,-68.0,29.0,184.0,0.49219257812500006,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00069000,2025-04-23 15:17:59+00:00,69.0,0.04,0.0,0.08,-0.16,-80.00001,4.0,343.0,0.5117236328125,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00070000,2025-04-23 13:50:01+00:00,70.0,0.1,0.01,0.14,0.060000002,150.0,220.0,344.0,0.5820354296875,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00071000,2025-04-14 14:55:45+00:00,71.0,0.28,0.0,0.6,0.0,0.0,5.0,15.0,0.9082040429687499,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00072000,2025-04-22 14:10:33+00:00,72.0,0.05,0.0,0.66,0.0,0.0,4.0,28.0,1.0234423828125,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00073000,2025-04-09 13:45:13+00:00,73.0,0.05,0.0,0.64,0.0,0.0,1.0,18.0,1.0996138769531252,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00074000,2025-04-15 15:40:20+00:00,74.0,0.03,0.0,1.26,0.0,0.0,14.0,58.0,1.4375028125,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00075000,2025-04-23 13:41:58+00:00,75.0,0.01,0.0,0.3,0.0,0.0,10.0,151.0,1.0605515722656251,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00076000,2025-04-11 15:57:49+00:00,76.0,0.13,0.0,1.26,0.0,0.0,6.0,47.0,1.61328318359375,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00077000,2025-04-16 14:37:09+00:00,77.0,0.01,0.0,1.26,0.0,0.0,3.0,42.0,1.6962905810546878,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00078000,2025-04-17 18:19:26+00:00,78.0,0.38,0.0,0.55,0.0,0.0,10.0,37.0,1.4375028125,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00079000,2025-04-11 14:40:01+00:00,79.0,0.05,0.0,0.48,0.0,0.0,10.0,17.0,1.46484642578125,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00080000,2025-04-23 13:30:09+00:00,80.0,0.04,0.0,0.22,-0.7,-94.5946,7.0,47.0,1.3164096679687498,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00081000,2025-04-17 13:30:05+00:00,81.0,0.02,0.0,1.26,0.0,0.0,1.0,15.0,2.009770600585937,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00082000,2025-04-07 14:00:11+00:00,82.0,0.68,0.0,0.36,0.0,0.0,25.0,36.0,1.5703146484375,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00083000,2025-03-26 14:54:12+00:00,83.0,0.4,0.0,1.26,0.0,0.0,5.0,5.0,2.156254609375,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00084000,2025-03-31 19:32:28+00:00,84.0,0.2,0.0,1.26,0.0,0.0,3.0,15.0,2.2265669335937495,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00085000,2025-04-03 18:37:48+00:00,85.0,0.1,0.0,0.63,0.0,0.0,1.0,7.0,1.953125234375,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00086000,2025-04-09 19:32:01+00:00,86.0,0.05,0.0,1.26,0.0,0.0,10.0,11.0,2.3632853417968747,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00087000,2025-04-02 19:46:56+00:00,87.0,0.21,0.0,1.46,0.0,0.0,2.0,4.0,2.5234411914062496,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00088000,2025-03-24 17:13:19+00:00,88.0,0.14,0.0,1.26,0.0,0.0,,3.0,2.4941443896484374,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00089000,2025-03-20 13:37:17+00:00,89.0,0.2,0.0,0.75,0.0,0.0,,2.0,2.2734418164062498,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00090000,2025-04-10 19:49:44+00:00,90.0,0.11,0.0,0.11,0.0,0.0,1.0,2.0,1.6875015625,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425C00095000,2025-03-10 17:42:36+00:00,95.0,0.26,0.0,2.14,0.0,0.0,,1.0,3.3281266796874993,0.0,REGULAR,USD,BBY,1,2025-04-25,2025-04-23 13:00:57.368156,64.21499633789062
BBY250425P00040000,2025-04-11 17:19:11+00:00,40.0,0.23,0.0,0.8,0.0,0.0,,4.0,3.3671890820312496,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00045000,2025-04-21 14:29:26+00:00,45.0,0.01,0.0,1.27,0.0,0.0,1.0,19.0,2.9804712988281246,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00047000,2025-04-11 19:57:47+00:00,47.0,0.47,0.0,1.27,0.0,0.0,,20.0,2.691409521484375,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00048000,2025-04-10 16:35:38+00:00,48.0,1.05,0.0,0.57,0.0,0.0,,2.0,2.0937547656249995,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00049000,2025-04-22 18:09:02+00:00,49.0,0.03,0.0,1.27,0.0,0.0,2.0,4.0,2.4121133447265626,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00049500,2025-04-14 16:33:35+00:00,49.5,0.4,0.0,0.03,0.0,0.0,,2.0,1.1875040625,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00050000,2025-04-16 18:17:07+00:00,50.0,0.2,0.0,0.44,0.0,0.0,50.0,60.0,1.75000125,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00052000,2025-04-17 18:55:37+00:00,52.0,0.08,0.0,1.28,0.0,0.0,1.0,9.0,2.00781748046875,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00053000,2025-04-21 19:53:30+00:00,53.0,0.04,0.01,0.83,0.0,0.0,4.0,12.0,1.6601579492187502,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00054000,2025-04-23 14:02:59+00:00,54.0,0.01,0.0,0.75,-0.14,-93.33333,2.0,13.0,1.4902369238281248,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00055000,2025-04-23 13:43:02+00:00,55.0,0.03,0.03,0.27,-0.03,-50.0,2.0,228.0,1.09375453125,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00056000,2025-04-22 14:20:30+00:00,56.0,0.04,0.0,0.38,0.0,0.0,1.0,133.0,1.0468797656250002,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00057000,2025-04-22 13:49:35+00:00,57.0,0.02,0.0,0.54,-0.08,-80.00001,1.0,427.0,1.0293017285156252,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00058000,2025-04-22 15:08:23+00:00,58.0,0.03,0.0,0.22,-0.060000002,-66.666664,4.0,286.0,0.7324245507812499,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00058500,2025-04-22 19:19:27+00:00,58.5,0.16,0.02,1.36,0.0,0.0,1.0,92.0,1.1777384863281248,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00059000,2025-04-23 14:10:19+00:00,59.0,0.04,0.0,0.31,-0.16,-80.00001,8.0,401.0,0.6894562304687502,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00060000,2025-04-22 19:52:40+00:00,60.0,0.05,0.0,1.22,-0.29999998,-85.71428,2.0,219.0,0.92187578125,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00061000,2025-04-23 13:39:41+00:00,61.0,0.12,0.0,0.34,-0.45,-78.94737,16.0,133.0,0.6171913281250001,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00062000,2025-04-23 14:10:18+00:00,62.0,0.11,0.1,0.48,-0.71999997,-86.74699,54.0,151.0,0.56836369140625,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00063000,2025-04-23 14:45:31+00:00,63.0,0.36,0.38,0.71,-0.63,-63.636364,23.0,160.0,0.5312546875,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
BBY250425P00064000,2025-04-23 16:22:22+00:00,64.0,0.94,0.56,1.0,-0.77000004,-45.029243,1.0,60.0,0.476567734375,0.0,REGULAR,USD,BBY,0,2025-04-25,2025-04-23 13:00:57.369175,64.21499633789062
