contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
BDX250516C00130000,2025-04-04 15:25:54+00:00,130.0,82.0,72.5,75.7,0.0,0.0,4.0,2,1.0639695239257816,True,REGULAR,USD,BDX,1,2025-05-16,2025-04-23 13:00:55.302979,203.16000366210938
BDX250516C00160000,2025-04-09 15:49:29+00:00,160.0,36.7,42.5,46.0,0.0,0.0,,0,0.6601596484375001,True,REGULAR,USD,BDX,1,2025-05-16,2025-04-23 13:00:55.302979,203.16000366210938
BDX250516C00195000,2025-04-21 17:18:41+00:00,195.0,7.83,12.5,13.6,0.0,0.0,3.0,18,0.43884838500976564,True,REGULAR,USD,BDX,1,2025-05-16,2025-04-23 13:00:55.302979,203.16000366210938
BDX250516C00200000,2025-04-21 18:41:05+00:00,200.0,5.2,8.9,10.3,0.0,0.0,5.0,387,0.4185849157714844,True,REGULAR,USD,BDX,1,2025-05-16,2025-04-23 13:00:55.302979,203.16000366210938
BDX250516C00205000,2025-04-22 15:14:56+00:00,205.0,4.71,6.2,6.7,0.0,0.0,1.0,42,0.36340968627929693,False,REGULAR,USD,BDX,1,2025-05-16,2025-04-23 13:00:55.302979,203.16000366210938
BDX250516C00210000,2025-04-23 15:22:46+00:00,210.0,5.0,4.1,4.6,2.5,100.0,3.0,233,0.35645174804687496,False,REGULAR,USD,BDX,1,2025-05-16,2025-04-23 13:00:55.302979,203.16000366210938
BDX250516C00215000,2025-04-23 15:46:41+00:00,215.0,2.5,2.25,2.85,0.94000006,60.256416,106.0,76,0.34107104248046877,False,REGULAR,USD,BDX,1,2025-05-16,2025-04-23 13:00:55.302979,203.16000366210938
BDX250516C00220000,2025-04-23 15:41:38+00:00,220.0,1.6,1.15,1.75,0.75,88.23529,125.0,105,0.3360662097167969,False,REGULAR,USD,BDX,1,2025-05-16,2025-04-23 13:00:55.302979,203.16000366210938
BDX250516C00225000,2025-04-23 13:46:09+00:00,225.0,0.95,0.6,1.2,0.6,171.4286,6.0,133,0.3481510498046875,False,REGULAR,USD,BDX,1,2025-05-16,2025-04-23 13:00:55.302979,203.16000366210938
BDX250516C00230000,2025-04-23 13:30:02+00:00,230.0,0.45,0.25,0.6,0.099999994,28.571426,2.0,12,0.3327703442382813,False,REGULAR,USD,BDX,1,2025-05-16,2025-04-23 13:00:55.302979,203.16000366210938
BDX250516C00235000,2025-04-17 13:56:19+00:00,235.0,0.42,0.0,0.65,0.0,0.0,1.0,24,0.38233039550781245,False,REGULAR,USD,BDX,1,2025-05-16,2025-04-23 13:00:55.302979,203.16000366210938
BDX250516C00240000,2025-04-10 15:12:26+00:00,240.0,0.35,0.0,0.55,0.0,0.0,2.0,220,0.40869731933593745,False,REGULAR,USD,BDX,1,2025-05-16,2025-04-23 13:00:55.302979,203.16000366210938
BDX250516C00245000,2025-04-17 13:39:37+00:00,245.0,0.27,0.0,1.25,0.0,0.0,1.0,260,0.5395553857421876,False,REGULAR,USD,BDX,1,2025-05-16,2025-04-23 13:00:55.302979,203.16000366210938
BDX250516C00250000,2025-03-31 18:11:02+00:00,250.0,1.3,0.0,1.15,0.0,0.0,4.0,30,0.569340244140625,False,REGULAR,USD,BDX,1,2025-05-16,2025-04-23 13:00:55.302979,203.16000366210938
BDX250516C00255000,2025-04-22 14:14:17+00:00,255.0,0.75,0.0,1.0,0.0,0.0,1.0,18,0.5107470800781251,False,REGULAR,USD,BDX,1,2025-05-16,2025-04-23 13:00:55.302979,203.16000366210938
BDX250516C00260000,2025-03-31 19:35:08+00:00,260.0,0.47,0.0,0.5,0.0,0.0,,1,0.5449264257812501,False,REGULAR,USD,BDX,1,2025-05-16,2025-04-23 13:00:55.302979,203.16000366210938
BDX250516P00155000,2025-04-09 15:37:17+00:00,155.0,2.0,0.0,2.3,0.0,0.0,,1,0.7382838671874999,False,REGULAR,USD,BDX,0,2025-05-16,2025-04-23 13:00:55.304984,203.16000366210938
BDX250516P00160000,2025-04-10 18:14:18+00:00,160.0,1.65,0.0,1.15,0.0,0.0,,4,0.5722699023437501,False,REGULAR,USD,BDX,0,2025-05-16,2025-04-23 13:00:55.304984,203.16000366210938
BDX250516P00165000,2025-04-14 15:10:40+00:00,165.0,0.99,0.0,1.6,0.0,0.0,1.0,4,0.5502974658203126,False,REGULAR,USD,BDX,0,2025-05-16,2025-04-23 13:00:55.304984,203.16000366210938
BDX250516P00170000,2025-04-21 18:54:24+00:00,170.0,1.25,0.0,1.4,0.0,0.0,4.0,11,0.5629926513671876,False,REGULAR,USD,BDX,0,2025-05-16,2025-04-23 13:00:55.304984,203.16000366210938
