contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
BG250516C00070000,2025-04-21 16:03:04+00:00,70.0,9.41,9.5,10.3,0.0,0.0,1.0,21,0.5376022802734376,True,REGULAR,USD,BG,1,2025-05-16,2025-04-23 13:01:14.630499,79.2750015258789
BG250516C00072500,2025-04-17 16:02:29+00:00,72.5,7.2,7.7,8.0,0.0,0.0,4.0,31,0.471684970703125,True,REGULAR,USD,BG,1,2025-05-16,2025-04-23 13:01:14.630499,79.2750015258789
BG250516C00075000,2025-04-21 16:03:04+00:00,75.0,5.41,5.6,5.9,0.0,0.0,3.0,174,0.422857333984375,True,REGULAR,USD,BG,1,2025-05-16,2025-04-23 13:01:14.630499,79.2750015258789
BG250516C00077500,2025-04-23 15:37:30+00:00,77.5,4.0,3.9,4.2,-0.5100002,-11.308208,2.0,152,0.4035704174804688,True,REGULAR,USD,BG,1,2025-05-16,2025-04-23 13:01:14.630499,79.2750015258789
BG250516C00080000,2025-04-22 19:10:37+00:00,80.0,3.1,2.5,2.95,0.0,0.0,55.0,188,0.405279384765625,False,REGULAR,USD,BG,1,2025-05-16,2025-04-23 13:01:14.630499,79.2750015258789
BG250516C00082500,2025-04-22 16:42:55+00:00,82.5,1.47,1.45,1.7,-0.5799999,-28.29268,3.0,333,0.36817038085937503,False,REGULAR,USD,BG,1,2025-05-16,2025-04-23 13:01:14.630499,79.2750015258789
BG250516C00085000,2025-04-23 13:30:01+00:00,85.0,1.0,0.65,0.95,-0.100000024,-9.090911,3.0,387,0.3544986425781249,False,REGULAR,USD,BG,1,2025-05-16,2025-04-23 13:01:14.630499,79.2750015258789
BG250516C00090000,2025-04-22 19:50:02+00:00,90.0,0.35,0.0,0.3,0.099999994,39.999996,3.0,16,0.35938140625,False,REGULAR,USD,BG,1,2025-05-16,2025-04-23 13:01:14.630499,79.2750015258789
BG250516P00055000,2025-04-23 14:15:34+00:00,55.0,0.15,0.0,0.35,0.0,0.0,2.0,8,0.77929908203125,False,REGULAR,USD,BG,0,2025-05-16,2025-04-23 13:01:14.632482,79.2750015258789
BG250516P00060000,2025-04-16 14:09:48+00:00,60.0,0.12,0.1,0.45,-0.06000001,-33.333336,10.0,12,0.6777375976562501,False,REGULAR,USD,BG,0,2025-05-16,2025-04-23 13:01:14.632482,79.2750015258789
BG250516P00065000,2025-04-21 18:22:04+00:00,65.0,0.32,0.0,0.3,0.0,0.0,20.0,282,0.52539537109375,False,REGULAR,USD,BG,0,2025-05-16,2025-04-23 13:01:14.632482,79.2750015258789
BG250516P00067500,2025-04-22 15:28:33+00:00,67.5,0.27,0.3,0.4,0.0,0.0,1.0,205,0.47852083984375,False,REGULAR,USD,BG,0,2025-05-16,2025-04-23 13:01:14.632482,79.2750015258789
BG250516P00070000,2025-04-22 17:40:21+00:00,70.0,0.38,0.45,0.6,0.0,0.0,2.0,461,0.446294599609375,False,REGULAR,USD,BG,0,2025-05-16,2025-04-23 13:01:14.632482,79.2750015258789
BG250516P00072500,2025-04-22 14:35:11+00:00,72.5,0.8,0.8,0.95,0.0,0.0,1.0,126,0.42358974853515624,False,REGULAR,USD,BG,0,2025-05-16,2025-04-23 13:01:14.632482,79.2750015258789
BG250516P00075000,2025-04-22 15:44:41+00:00,75.0,1.15,1.3,1.5,0.029999971,2.6785688,6.0,186,0.40479110839843746,False,REGULAR,USD,BG,0,2025-05-16,2025-04-23 13:01:14.632482,79.2750015258789
BG250516P00077500,2025-04-22 15:02:39+00:00,77.5,1.54,2.05,2.25,-0.37,-19.371729,1.0,102,0.3813538427734374,False,REGULAR,USD,BG,0,2025-05-16,2025-04-23 13:01:14.632482,79.2750015258789
BG250516P00080000,2025-04-23 15:22:29+00:00,80.0,3.2,3.1,3.4,0.21000004,7.0234127,9.0,20,0.37134417724609375,True,REGULAR,USD,BG,0,2025-05-16,2025-04-23 13:01:14.632482,79.2750015258789
BG250516P00082500,2025-04-22 16:10:16+00:00,82.5,3.73,4.2,4.9,-0.06999993,-1.8421035,1.0,2,0.36475244628906256,True,REGULAR,USD,BG,0,2025-05-16,2025-04-23 13:01:14.632482,79.2750015258789
BG250516P00090000,2025-04-03 14:08:52+00:00,90.0,12.65,9.0,11.6,0.0,0.0,2.0,2,0.49170430175781255,True,REGULAR,USD,BG,0,2025-05-16,2025-04-23 13:01:14.632482,79.2750015258789
BG250620C00045000,2025-01-10 19:36:26+00:00,45.0,36.64,23.5,27.3,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,BG,1,2025-06-20,2025-04-23 13:01:14.695645,79.2750015258789
BG250620C00055000,2025-02-21 18:01:51+00:00,55.0,18.8,0.0,0.0,0.0,0.0,7.0,7,1.0000000000000003e-05,True,REGULAR,USD,BG,1,2025-06-20,2025-04-23 13:01:14.695645,79.2750015258789
BG250620C00060000,2025-04-02 19:55:25+00:00,60.0,18.45,19.3,20.4,0.0,0.0,10.0,17,0.5119677709960937,True,REGULAR,USD,BG,1,2025-06-20,2025-04-23 13:01:14.695645,79.2750015258789
BG250620C00062500,2025-04-14 15:10:05+00:00,62.5,15.3,16.9,17.7,0.0,0.0,1.0,14,0.5183153637695312,True,REGULAR,USD,BG,1,2025-06-20,2025-04-23 13:01:14.695645,79.2750015258789
BG250620C00065000,2025-04-07 15:55:49+00:00,65.0,8.9,14.6,15.3,0.0,0.0,20.0,185,0.47022014160156256,True,REGULAR,USD,BG,1,2025-06-20,2025-04-23 13:01:14.695645,79.2750015258789
BG250620C00067500,2025-03-19 13:48:07+00:00,67.5,8.9,10.7,13.5,0.0,0.0,1.0,87,0.4953663745117188,True,REGULAR,USD,BG,1,2025-06-20,2025-04-23 13:01:14.695645,79.2750015258789
BG250620C00070000,2025-04-09 19:03:13+00:00,70.0,7.0,10.2,10.6,0.0,0.0,1.0,541,0.37915659912109373,True,REGULAR,USD,BG,1,2025-06-20,2025-04-23 13:01:14.695645,79.2750015258789
BG250620C00072500,2025-04-17 18:20:26+00:00,72.5,8.2,7.9,8.9,0.0,0.0,2.0,192,0.3920959228515625,True,REGULAR,USD,BG,1,2025-06-20,2025-04-23 13:01:14.695645,79.2750015258789
BG250620C00075000,2025-04-16 15:22:05+00:00,75.0,5.6,6.4,6.7,0.0,0.0,1.0,896,0.3415593188476562,True,REGULAR,USD,BG,1,2025-06-20,2025-04-23 13:01:14.695645,79.2750015258789
