contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
BKNG250425C02900000,2025-04-08 17:53:08+00:00,2900.0,1387.28,1812.5,1841.4,0.0,0.0,,101,1.0000000000000003e-05,True,REGULAR,USD,BKNG,1,2025-04-25,2025-04-23 13:01:05.622799,4742.509765625
BKNG250425C02920000,2025-04-17 14:31:25+00:00,2920.0,1607.08,1786.0,1815.8,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD,BKNG,1,2025-04-25,2025-04-23 13:01:05.622799,4742.509765625
BKNG250425C02940000,2025-04-17 14:32:56+00:00,2940.0,1593.12,1756.1,1788.0,0.0,0.0,2.0,12,1.0000000000000003e-05,True,REGULAR,USD,BKNG,1,2025-04-25,2025-04-23 13:01:05.622799,4742.509765625
BKNG250425C02960000,2025-04-09 17:42:20+00:00,2960.0,1523.5,1757.5,1770.9,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,BKNG,1,2025-04-25,2025-04-23 13:01:05.622799,4742.509765625
BKNG250425C02980000,2025-04-17 14:33:51+00:00,2980.0,1554.56,1720.0,1748.0,0.0,0.0,2.0,35,1.0000000000000003e-05,True,REGULAR,USD,BKNG,1,2025-04-25,2025-04-23 13:01:05.622799,4742.509765625
BKNG250425C03000000,2025-04-08 17:53:08+00:00,3000.0,1724.2,1696.3,1728.0,436.3899,33.8862,1.0,51,1.0000000000000003e-05,True,REGULAR,USD,BKNG,1,2025-04-25,2025-04-23 13:01:05.622799,4742.509765625
BKNG250425C03010000,2025-04-08 18:41:39+00:00,3010.0,1249.37,1702.5,1731.5,0.0,0.0,,19,1.0000000000000003e-05,True,REGULAR,USD,BKNG,1,2025-04-25,2025-04-23 13:01:05.622799,4742.509765625
BKNG250425C03020000,2025-04-17 14:31:25+00:00,3020.0,1507.2,1693.3,1727.3,0.0,0.0,2.0,2,2.3397258303833,True,REGULAR,USD,BKNG,1,2025-04-25,2025-04-23 13:01:05.622799,4742.509765625
BKNG250425C03040000,2025-04-17 14:36:46+00:00,3040.0,1496.51,1656.0,1687.3,0.0,0.0,4.0,13,1.0000000000000003e-05,True,REGULAR,USD,BKNG,1,2025-04-25,2025-04-23 13:01:05.622799,4742.509765625
BKNG250425C03080000,2025-04-17 14:33:51+00:00,3080.0,1454.69,1637.6,1668.4,0.0,0.0,2.0,35,2.3190959991455076,True,REGULAR,USD,BKNG,1,2025-04-25,2025-04-23 13:01:05.622799,4742.509765625
BKNG250425C03090000,2025-04-09 14:05:42+00:00,3090.0,1107.3,1623.3,1656.0,0.0,0.0,,1,2.1362351281738277,True,REGULAR,USD,BKNG,1,2025-04-25,2025-04-23 13:01:05.622799,4742.509765625
BKNG250425C03100000,2025-04-08 16:24:50+00:00,3100.0,1217.46,1612.6,1640.9,0.0,0.0,,54,1.0000000000000003e-05,True,REGULAR,USD,BKNG,1,2025-04-25,2025-04-23 13:01:05.622799,4742.509765625
BKNG250425C03110000,2025-04-08 18:41:39+00:00,3110.0,1150.92,1603.3,1636.0,0.0,0.0,,21,2.107426606445312,True,REGULAR,USD,BKNG,1,2025-04-25,2025-04-23 13:01:05.622799,4742.509765625
