contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
BKR250516C00028000,2025-04-22 17:01:38+00:00,28.0,10.8,8.2,9.9,0.0,0.0,2.0,3,0.88476677734375,True,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00029000,2025-04-08 17:35:30+00:00,29.0,6.8,7.2,8.0,0.0,0.0,,4,0.7685570019531252,True,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00030000,2025-04-09 17:19:21+00:00,30.0,6.2,6.4,7.0,0.0,0.0,5.0,11,0.684573466796875,True,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00031000,2025-04-11 14:43:11+00:00,31.0,6.3,5.3,5.7,0.0,0.0,,49,0.39453730468750003,True,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00032000,2025-04-11 15:20:39+00:00,32.0,4.8,4.5,4.8,-0.5,-9.433962,1.0,3,0.4101621484375,True,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00033000,2025-04-11 14:53:31+00:00,33.0,4.3,3.8,4.2,-0.2999997,-6.5217333,2.0,48,0.5185595019531251,True,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00034000,2025-04-22 17:26:05+00:00,34.0,3.0,2.95,3.1,-1.9000001,-38.775513,17.0,123,0.39111937011718745,True,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00035000,2025-04-21 19:25:19+00:00,35.0,2.35,2.35,2.6,-1.2,-33.80282,21.0,273,0.45313046875,True,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00036000,2025-04-23 14:29:58+00:00,36.0,1.9,1.6,1.85,-1.0000001,-34.48276,5.0,249,0.40772076660156253,True,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00037000,2025-04-23 16:17:29+00:00,37.0,1.1,1.1,1.25,-1.4799999,-57.364338,29.0,235,0.3789124609375,False,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00038000,2025-04-23 15:18:36+00:00,38.0,0.74,0.65,0.8,-1.24,-62.626263,348.0,595,0.36133451171875,False,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00039000,2025-04-23 15:37:59+00:00,39.0,0.4,0.4,0.5,-1.08,-72.97298,122.0,1164,0.3544986425781249,False,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00040000,2025-04-23 16:17:14+00:00,40.0,0.22,0.2,0.25,-0.88,-80.0,470.0,4465,0.33008482421874996,False,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00041000,2025-04-23 15:04:14+00:00,41.0,0.15,0.1,0.2,-0.54999995,-78.571434,66.0,1274,0.36426416992187505,False,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00042000,2025-04-23 15:06:44+00:00,42.0,0.05,0.05,0.1,-0.38,-88.37209,458.0,1183,0.35156898437499995,False,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00043000,2025-04-23 15:28:14+00:00,43.0,0.05,0.0,0.1,-0.26,-83.870964,20.0,1231,0.397466962890625,False,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00044000,2025-04-23 13:32:27+00:00,44.0,0.2,0.0,0.1,0.010000005,5.2631607,1.0,790,0.4414118359375,False,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00045000,2025-04-23 13:30:01+00:00,45.0,0.4,0.0,0.15,0.28,233.33333,1.0,993,0.52539537109375,False,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00046000,2025-04-22 19:59:57+00:00,46.0,0.07,0.0,0.1,0.0,0.0,25.0,501,0.5214891601562499,False,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00047000,2025-04-23 13:30:01+00:00,47.0,0.02,0.0,0.2,-0.030000001,-60.0,2.0,1399,0.56055126953125,False,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00048000,2025-04-11 19:38:57+00:00,48.0,0.05,0.0,0.1,-0.08,-61.538464,1.0,1357,0.5312546875,False,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00049000,2025-04-09 17:15:47+00:00,49.0,0.05,0.0,0.35,0.0,0.0,3.0,154,0.7070341796875,False,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00050000,2025-04-21 13:31:00+00:00,50.0,0.08,0.0,0.05,0.0,0.0,109.0,587,0.5390671093750001,False,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00055000,2025-04-04 18:19:50+00:00,55.0,0.06,0.0,0.35,0.0,0.0,22.0,531,0.91211025390625,False,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516C00060000,2025-03-18 16:44:28+00:00,60.0,0.15,0.0,0.35,0.0,0.0,4.0,26,1.0605515722656251,False,REGULAR,USD,BKR,1,2025-05-16,2025-04-23 13:00:50.080308,36.630001068115234
BKR250516P00025000,2025-04-15 13:39:30+00:00,25.0,0.08,0.0,0.35,0.0,0.0,2.0,3,0.93945373046875,False,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00026000,2025-04-17 18:48:03+00:00,26.0,0.05,0.0,0.05,0.0,0.0,5.0,10,0.6132851171875001,False,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00027000,2025-04-22 19:49:21+00:00,27.0,0.05,0.0,0.4,-0.029999997,-37.499996,1.0,116,0.804689453125,False,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00028000,2025-04-08 16:54:35+00:00,28.0,0.55,0.0,0.45,0.0,0.0,,13,0.7480493945312501,False,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00029000,2025-04-23 15:42:16+00:00,29.0,0.08,0.05,0.1,-0.020000003,-20.000002,1.0,6,0.5273484765625001,False,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00030000,2025-04-22 19:58:42+00:00,30.0,0.1,0.05,0.15,-0.050000004,-33.333336,4.0,59,0.5371140039062501,False,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00031000,2025-04-23 15:36:49+00:00,31.0,0.15,0.1,0.2,-0.08999999,-37.499996,3.0,388,0.5029346582031251,False,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00032000,2025-04-23 16:24:47+00:00,32.0,0.25,0.2,0.3,-0.099999994,-28.571426,75.0,200,0.485356708984375,False,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00033000,2025-04-23 15:36:35+00:00,33.0,0.36,0.3,0.4,-0.049999982,-12.195117,35.0,345,0.450200810546875,False,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00034000,2025-04-23 15:49:44+00:00,34.0,0.57,0.55,0.65,0.00999999,1.7857126,5.0,45,0.4545952978515625,False,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00035000,2025-04-23 15:18:22+00:00,35.0,0.8,0.85,0.95,0.050000012,6.666668,65.0,495,0.44727115234375,False,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00036000,2025-04-23 16:01:01+00:00,36.0,1.2,1.05,1.25,0.20000005,20.000004,173.0,170,0.41602146484374997,False,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00037000,2025-04-23 15:23:02+00:00,37.0,1.74,1.6,1.7,0.39,28.88889,90.0,1343,0.40039662109375,True,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00038000,2025-04-23 15:50:27+00:00,38.0,2.33,2.05,2.3,0.6099999,35.46511,158.0,1620,0.3979552392578125,True,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00039000,2025-04-23 15:42:59+00:00,39.0,2.88,2.8,2.95,0.58000016,25.217398,36.0,864,0.38086556640624997,True,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00040000,2025-04-23 15:50:27+00:00,40.0,3.83,3.8,3.9,0.9299998,32.06896,93.0,1267,0.437505625,True,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00041000,2025-04-22 16:01:16+00:00,41.0,4.7,4.7,4.9,1.2999997,38.235283,3.0,731,0.5048877636718749,True,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00042000,2025-04-21 13:37:45+00:00,42.0,4.5,5.5,6.0,0.0,0.0,8.0,358,0.50586431640625,True,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00043000,2025-04-22 17:17:08+00:00,43.0,5.07,6.0,6.9,0.0,0.0,3.0,653,0.6259803027343751,True,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00044000,2025-04-22 13:30:15+00:00,44.0,6.33,7.6,7.8,0.0,0.0,5.0,1156,0.5888712988281251,True,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00045000,2025-04-16 19:20:30+00:00,45.0,8.36,8.4,8.9,0.90999985,12.214764,1.0,291,0.6103554589843752,True,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00046000,2025-04-11 16:52:11+00:00,46.0,9.4,9.4,9.9,-0.12000084,-1.260513,6.0,583,0.6562534375000001,True,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00047000,2025-04-02 18:03:16+00:00,47.0,3.3,9.8,11.3,0.0,0.0,2.0,365,0.632816171875,True,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00048000,2025-04-02 15:38:53+00:00,48.0,4.2,10.8,12.3,0.0,0.0,2.0,537,0.6718782812500002,True,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00049000,2025-03-26 18:37:27+00:00,49.0,5.4,11.9,12.9,0.0,0.0,421.0,699,0.523442265625,True,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250516P00050000,2025-03-26 15:56:58+00:00,50.0,6.0,12.8,14.1,0.0,0.0,30.0,69,0.6425816992187501,True,REGULAR,USD,BKR,0,2025-05-16,2025-04-23 13:00:50.081310,36.630001068115234
BKR250620C00018000,2024-12-16 05:12:59+00:00,18.0,18.4,24.3,29.0,0.0,0.0,,1,4.138676701660157,True,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620C00023000,2024-12-16 05:12:59+00:00,23.0,14.06,12.2,13.4,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620C00025000,2025-04-16 13:45:48+00:00,25.0,13.53,11.5,13.4,0.0,0.0,10.0,24,0.903321279296875,True,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620C00027000,2025-03-19 18:58:10+00:00,27.0,18.2,11.9,12.6,0.0,0.0,5.0,245,1.2568396533203123,True,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620C00030000,2025-03-10 18:11:26+00:00,30.0,11.6,8.8,9.1,0.0,0.0,1.0,227,0.9335944140625,True,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620C00032000,2024-12-24 17:40:28+00:00,32.0,9.7,11.8,12.3,0.0,0.0,3.0,582,1.7758800268554684,True,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620C00033000,2025-04-17 18:50:02+00:00,33.0,7.1,4.2,4.6,0.0,0.0,2.0,2,0.42236905761718746,True,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620C00035000,2025-04-23 16:21:29+00:00,35.0,2.9,2.85,3.1,-1.71,-37.093273,34.0,1185,0.3813538427734374,True,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620C00037000,2025-04-23 15:58:42+00:00,37.0,1.8,1.85,1.95,-1.46,-44.785275,15.0,4205,0.36084623535156246,False,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620C00039000,2025-04-23 15:13:54+00:00,39.0,1.05,0.95,1.1,-1.1000001,-51.162796,5.0,20,0.34229173339843744,False,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620C00040000,2025-04-23 16:20:20+00:00,40.0,0.75,0.7,0.85,-1.0,-57.142857,18.0,2604,0.3459538061523437,False,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620C00042000,2025-04-23 14:05:13+00:00,42.0,0.65,0.3,0.45,-0.35000002,-35.000004,4.0,1070,0.3413151806640625,False,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620C00043000,2025-04-22 18:14:22+00:00,43.0,0.75,0.15,0.3,0.0,0.0,3.0,119,0.33301448242187504,False,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620C00044000,2025-04-22 17:35:05+00:00,44.0,0.52,0.1,0.2,0.0,0.0,2.0,9,0.32910827148437494,False,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620C00045000,2025-04-23 15:21:55+00:00,45.0,0.11,0.1,0.15,-0.22000001,-66.66667,4.0,2429,0.334967587890625,False,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620C00046000,2025-04-22 19:47:31+00:00,46.0,0.29,0.0,0.15,0.0,0.0,1.0,4,0.36133451171875,False,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620C00050000,2025-04-23 13:50:07+00:00,50.0,0.15,0.0,0.15,0.0,0.0,4.0,1676,0.459966337890625,False,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620C00055000,2025-04-07 15:51:47+00:00,55.0,0.11,0.0,0.35,0.0,0.0,2.0,819,0.5820354296875,False,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620C00060000,2025-03-18 17:47:59+00:00,60.0,0.07,0.0,0.35,0.0,0.0,1.0,88,0.676761044921875,False,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620C00065000,2025-04-09 19:51:48+00:00,65.0,0.1,0.0,0.3,0.0,0.0,1.0,0,0.7421900781249999,False,REGULAR,USD,BKR,1,2025-06-20,2025-04-23 13:00:50.150492,36.630001068115234
BKR250620P00015000,2024-12-16 05:13:04+00:00,15.0,0.75,0.0,0.5,0.0,0.0,,2,1.3398470507812497,False,REGULAR,USD,BKR,0,2025-06-20,2025-04-23 13:00:50.151494,36.630001068115234
BKR250620P00018000,2025-04-14 16:42:31+00:00,18.0,0.05,0.0,0.4,0.0,0.0,6.0,13,1.0468797656250002,False,REGULAR,USD,BKR,0,2025-06-20,2025-04-23 13:00:50.151494,36.630001068115234
BKR250620P00020000,2024-12-16 05:13:04+00:00,20.0,0.45,0.4,0.55,0.0,0.0,,7,1.107426337890625,False,REGULAR,USD,BKR,0,2025-06-20,2025-04-23 13:00:50.151494,36.630001068115234
BKR250620P00023000,2024-12-16 05:13:04+00:00,23.0,0.23,0.0,0.75,0.0,0.0,10.0,317,0.840821904296875,False,REGULAR,USD,BKR,0,2025-06-20,2025-04-23 13:00:50.151494,36.630001068115234
BKR250620P00025000,2025-01-30 19:29:15+00:00,25.0,0.1,0.0,0.5,0.0,0.0,3.0,2996,0.649417568359375,False,REGULAR,USD,BKR,0,2025-06-20,2025-04-23 13:00:50.151494,36.630001068115234
