contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
BK250425C00068000,2025-04-17 18:28:41+00:00,68.0,9.3,9.3,11.7,0.0,0.0,110.0,0,1.338870493164062,True,REGULAR,USD,BK,1,2025-04-25,2025-04-23 13:01:03.043941,77.91999816894531
BK250425C00069000,2025-04-17 18:28:41+00:00,69.0,8.3,8.4,10.2,0.0,0.0,110.0,0,1.087895185546875,True,REGULAR,USD,BK,1,2025-04-25,2025-04-23 13:01:03.043941,77.91999816894531
BK250425C00071000,2025-04-16 19:55:01+00:00,71.0,4.8,6.2,8.6,0.0,0.0,11.0,0,0.9648441015625,True,REGULAR,USD,BK,1,2025-04-25,2025-04-23 13:01:03.043941,77.91999816894531
BK250425C00073000,2025-04-21 17:24:17+00:00,73.0,2.0,3.9,5.8,0.0,0.0,7.0,32,0.9687503125,True,REGULAR,USD,BK,1,2025-04-25,2025-04-23 13:01:03.043941,77.91999816894531
BK250425C00074000,2025-04-21 17:24:17+00:00,74.0,1.4,3.6,5.4,0.0,0.0,15.0,10,0.7070341796875,True,REGULAR,USD,BK,1,2025-04-25,2025-04-23 13:01:03.043941,77.91999816894531
BK250425C00075000,2025-04-22 19:44:21+00:00,75.0,2.0,2.75,3.1,0.0,0.0,1.0,14,0.38184211914062494,True,REGULAR,USD,BK,1,2025-04-25,2025-04-23 13:01:03.043941,77.91999816894531
BK250425C00076000,2025-04-22 19:40:28+00:00,76.0,1.1,2.1,3.3,0.0,0.0,53.0,73,0.5585981640625001,True,REGULAR,USD,BK,1,2025-04-25,2025-04-23 13:01:03.043941,77.91999816894531
BK250425C00077000,2025-04-22 15:15:28+00:00,77.0,0.51,1.2,1.6,0.0,0.0,30.0,67,0.38477177734374995,True,REGULAR,USD,BK,1,2025-04-25,2025-04-23 13:01:03.043941,77.91999816894531
BK250425C00078000,2025-04-22 18:34:28+00:00,78.0,1.61,0.65,1.3,1.31,436.66656,1.0,21,0.47510290527343746,False,REGULAR,USD,BK,1,2025-04-25,2025-04-23 13:01:03.043941,77.91999816894531
BK250425C00079000,2025-04-21 13:48:59+00:00,79.0,0.13,0.0,0.5,0.0,0.0,1.0,37,0.3320379296875,False,REGULAR,USD,BK,1,2025-04-25,2025-04-23 13:01:03.043941,77.91999816894531
BK250425C00080000,2025-04-22 19:52:38+00:00,80.0,0.08,0.0,0.4,0.0,0.0,1.0,26,0.40430283203125,False,REGULAR,USD,BK,1,2025-04-25,2025-04-23 13:01:03.043941,77.91999816894531
BK250425C00081000,2025-04-16 13:40:12+00:00,81.0,0.46,0.0,0.6,0.0,0.0,5.0,30,0.5981485498046876,False,REGULAR,USD,BK,1,2025-04-25,2025-04-23 13:01:03.043941,77.91999816894531
BK250425C00082000,2025-04-10 16:30:03+00:00,82.0,0.3,0.0,0.25,-0.95,-43.181816,1.0,26,0.508793974609375,False,REGULAR,USD,BK,1,2025-04-25,2025-04-23 13:01:03.043941,77.91999816894531
