contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
BLDR250516C00075000,2025-03-17 14:19:49+00:00,75.0,52.46,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,BLDR,1,2025-05-16,2025-04-23 13:01:13.752760,118.72000122070312
BLDR250516C00090000,2025-04-09 19:37:39+00:00,90.0,33.63,28.7,31.1,0.0,0.0,1.0,2,0.8693860717773438,True,REGULAR,USD,BLDR,1,2025-05-16,2025-04-23 13:01:13.752760,118.72000122070312
BLDR250516C00095000,2025-04-09 19:34:28+00:00,95.0,29.7,23.8,26.3,0.0,0.0,,1,0.7656273437500001,True,REGULAR,USD,BLDR,1,2025-05-16,2025-04-23 13:01:13.752760,118.72000122070312
BLDR250516C00100000,2025-04-17 17:03:02+00:00,100.0,20.2,18.8,21.8,0.0,0.0,15.0,17,0.6728548339843752,True,REGULAR,USD,BLDR,1,2025-05-16,2025-04-23 13:01:13.752760,118.72000122070312
BLDR250516C00110000,2025-04-21 19:57:07+00:00,110.0,9.8,11.6,12.1,0.0,0.0,3.0,20,0.5642133422851563,True,REGULAR,USD,BLDR,1,2025-05-16,2025-04-23 13:01:13.752760,118.72000122070312
BLDR250516C00115000,2025-04-23 13:51:26+00:00,115.0,11.69,8.4,9.0,5.0899997,77.12121,20.0,39,0.5588423022460938,True,REGULAR,USD,BLDR,1,2025-05-16,2025-04-23 13:01:13.752760,118.72000122070312
BLDR250516C00120000,2025-04-23 13:30:04+00:00,120.0,8.2,5.9,6.2,3.1999998,63.999992,20.0,135,0.5467574621582032,False,REGULAR,USD,BLDR,1,2025-05-16,2025-04-23 13:01:13.752760,118.72000122070312
BLDR250516C00125000,2025-04-23 16:04:04+00:00,125.0,3.9,3.8,3.8,1.21,44.98141,184.0,256,0.518681571044922,False,REGULAR,USD,BLDR,1,2025-05-16,2025-04-23 13:01:13.752760,118.72000122070312
BLDR250516C00130000,2025-04-23 14:44:06+00:00,130.0,3.02,1.65,2.35,1.12,58.94737,10.0,268,0.5107470800781251,False,REGULAR,USD,BLDR,1,2025-05-16,2025-04-23 13:01:13.752760,118.72000122070312
BLDR250516C00135000,2025-04-23 14:53:57+00:00,135.0,1.8,1.2,1.4,0.67999995,60.71428,4.0,338,0.5070850073242188,False,REGULAR,USD,BLDR,1,2025-05-16,2025-04-23 13:01:13.752760,118.72000122070312
BLDR250516C00140000,2025-04-23 15:29:24+00:00,140.0,0.81,0.6,0.8,0.110000014,15.714289,5.0,161,0.5043994873046875,False,REGULAR,USD,BLDR,1,2025-05-16,2025-04-23 13:01:13.752760,118.72000122070312
BLDR250516C00145000,2025-04-23 14:16:45+00:00,145.0,0.59,0.3,0.45,0.18999997,47.49999,4.0,137,0.5053760400390624,False,REGULAR,USD,BLDR,1,2025-05-16,2025-04-23 13:01:13.752760,118.72000122070312
BLDR250516C00150000,2025-04-21 16:24:42+00:00,150.0,0.75,0.0,0.75,0.0,0.0,5.0,318,0.5483443603515626,False,REGULAR,USD,BLDR,1,2025-05-16,2025-04-23 13:01:13.752760,118.72000122070312
BLDR250516C00155000,2025-04-22 13:36:46+00:00,155.0,0.14,0.05,0.5,0.0,0.0,1.0,82,0.5732464550781251,False,REGULAR,USD,BLDR,1,2025-05-16,2025-04-23 13:01:13.752760,118.72000122070312
