contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
BMY250425C00034000,2025-04-21 13:55:33+00:00,34.0,14.98,13.8,14.15,0.0,0.0,16.0,16,1.3750031249999999,True,REGULAR,USD,BMY,1,2025-04-25,2025-04-23 13:01:08.703324,47.970001220703125
BMY250425C00034500,2025-04-22 13:37:40+00:00,34.5,14.87,13.25,13.5,0.0,0.0,10.0,16,1.65625171875,True,REGULAR,USD,BMY,1,2025-04-25,2025-04-23 13:01:08.703324,47.970001220703125
BMY250425C00035000,2025-04-22 13:37:40+00:00,35.0,14.39,12.75,13.0,0.0,0.0,10.0,12,1.5937520312499998,True,REGULAR,USD,BMY,1,2025-04-25,2025-04-23 13:01:08.703324,47.970001220703125
BMY250425C00035500,2025-04-21 13:57:01+00:00,35.5,13.57,12.25,12.65,0.0,0.0,16.0,16,2.0742235644531246,True,REGULAR,USD,BMY,1,2025-04-25,2025-04-23 13:01:08.703324,47.970001220703125
BMY250425C00036000,2025-04-21 13:57:55+00:00,36.0,13.14,11.75,12.15,0.0,0.0,16.0,13,1.99609376953125,True,REGULAR,USD,BMY,1,2025-04-25,2025-04-23 13:01:08.703324,47.970001220703125
BMY250425C00036500,2025-04-21 13:57:01+00:00,36.5,12.59,11.25,11.4,0.0,0.0,16.0,17,1.0000000000000003e-05,True,REGULAR,USD,BMY,1,2025-04-25,2025-04-23 13:01:08.703324,47.970001220703125
BMY250425C00037000,2025-04-21 13:57:55+00:00,37.0,12.16,10.65,10.95,0.0,0.0,16.0,8,1.0000000000000003e-05,True,REGULAR,USD,BMY,1,2025-04-25,2025-04-23 13:01:08.703324,47.970001220703125
BMY250425C00037500,2025-04-23 13:50:21+00:00,37.5,10.95,10.3,10.4,-1.04,-8.673895,5.0,11,1.0000000000000003e-05,True,REGULAR,USD,BMY,1,2025-04-25,2025-04-23 13:01:08.703324,47.970001220703125
BMY250425C00038000,2025-04-23 13:50:21+00:00,38.0,10.45,9.75,10.15,-0.96000004,-8.413672,5.0,8,1.68359533203125,True,REGULAR,USD,BMY,1,2025-04-25,2025-04-23 13:01:08.703324,47.970001220703125
BMY250425C00038500,2025-04-22 13:38:44+00:00,38.5,11.01,9.3,9.55,0.0,0.0,10.0,8,1.36328443359375,True,REGULAR,USD,BMY,1,2025-04-25,2025-04-23 13:01:08.703324,47.970001220703125
BMY250425C00039000,2025-04-21 13:54:43+00:00,39.0,10.0,8.4,8.85,0.0,0.0,1.0,13,1.0000000000000003e-05,True,REGULAR,USD,BMY,1,2025-04-25,2025-04-23 13:01:08.703324,47.970001220703125
BMY250425C00039500,2025-04-22 13:42:17+00:00,39.5,9.91,8.0,9.1,0.0,0.0,20.0,5,1.23047259765625,True,REGULAR,USD,BMY,1,2025-04-25,2025-04-23 13:01:08.703324,47.970001220703125
BMY250425C00042000,2025-04-11 15:00:08+00:00,42.0,8.55,5.65,6.25,0.0,0.0,,1,1.22266013671875,True,REGULAR,USD,BMY,1,2025-04-25,2025-04-23 13:01:08.703324,47.970001220703125
BMY250425C00045000,2025-04-23 16:04:20+00:00,45.0,3.25,3.15,3.3,-0.75,-18.75,1.0,4,0.7128934960937501,True,REGULAR,USD,BMY,1,2025-04-25,2025-04-23 13:01:08.703324,47.970001220703125
BMY250425C00045500,2025-04-22 13:49:20+00:00,45.5,4.35,2.59,3.0,0.0,0.0,1.0,204,0.6914093359375001,True,REGULAR,USD,BMY,1,2025-04-25,2025-04-23 13:01:08.703324,47.970001220703125
BMY250425C00046000,2025-04-22 17:26:05+00:00,46.0,3.9,2.29,2.77,0.0,0.0,8.0,47,0.7753928710937501,True,REGULAR,USD,BMY,1,2025-04-25,2025-04-23 13:01:08.703324,47.970001220703125
BMY250425C00046500,2025-04-23 16:19:55+00:00,46.5,2.05,2.13,2.2,-1.25,-37.878788,20.0,4,0.7617211328125001,True,REGULAR,USD,BMY,1,2025-04-25,2025-04-23 13:01:08.703324,47.970001220703125
