contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
BRKB250425C00270000,2025-04-07 15:57:45+00:00,270.0,214.37,252.75,256.25,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00300000,2025-04-21 14:35:43+00:00,300.0,210.51,223.95,227.5,0.0,0.0,10.0,5,2.966799458007812,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00310000,2025-04-22 14:57:33+00:00,310.0,221.0,213.05,216.25,14.5,7.021792,6.0,7,1.0000000000000003e-05,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00330000,2025-04-17 18:46:21+00:00,330.0,193.0,193.0,196.1,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00360000,2025-04-22 19:50:02+00:00,360.0,161.9,162.85,166.25,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00375000,2025-04-23 13:57:03+00:00,375.0,152.45,148.5,151.7,-7.949997,-4.9563575,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00400000,2025-04-10 15:39:01+00:00,400.0,111.34,124.0,127.05,0.0,0.0,,3,1.359378203125,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00410000,2025-04-07 13:36:09+00:00,410.0,63.55,113.7,116.65,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00415000,2025-04-17 18:46:21+00:00,415.0,108.0,108.7,111.75,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00420000,2025-04-21 14:17:08+00:00,420.0,91.5,102.8,106.25,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00430000,2025-04-16 17:24:40+00:00,430.0,91.79,93.5,96.45,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00435000,2025-04-09 15:47:22+00:00,435.0,62.5,88.7,91.65,0.0,0.0,,5,1.0000000000000003e-05,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00440000,2025-04-17 19:35:34+00:00,440.0,81.4,84.15,87.35,0.0,0.0,4.0,6,1.0605515722656251,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00450000,2025-04-22 14:36:05+00:00,450.0,65.3,73.05,76.45,0.0,0.0,20.0,17,1.0000000000000003e-05,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00455000,2025-04-11 14:49:51+00:00,455.0,65.62,67.7,71.3,0.0,0.0,,9,1.0000000000000003e-05,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00460000,2025-04-16 16:52:00+00:00,460.0,66.86,63.35,66.8,4.6000023,7.3883753,1.0,8,0.2500075,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00465000,2025-04-08 13:30:17+00:00,465.0,48.25,58.95,62.4,0.0,0.0,,6,0.7939473730468749,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00470000,2025-04-23 14:22:11+00:00,470.0,59.65,53.15,56.55,11.350002,23.49897,8.0,62,1.0000000000000003e-05,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00475000,2025-04-22 17:15:26+00:00,475.0,42.64,48.0,51.3,0.0,0.0,1.0,8,1.0000000000000003e-05,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00480000,2025-04-22 17:22:24+00:00,480.0,36.5,44.2,47.15,0.0,0.0,1.0,37,0.5639692041015626,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00485000,2025-04-22 13:53:44+00:00,485.0,28.67,38.7,41.6,0.0,0.0,1.0,28,1.0000000000000003e-05,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00490000,2025-04-23 16:23:48+00:00,490.0,34.8,33.85,37.0,6.8199997,24.374554,10.0,39,0.4155331884765625,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00495000,2025-04-23 15:23:02+00:00,495.0,34.32,28.75,31.65,8.82,34.588234,1.0,146,1.0000000000000003e-05,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00497500,2025-04-22 15:43:37+00:00,497.5,20.25,26.7,29.6,0.0,0.0,20.0,54,0.3676821044921875,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00500000,2025-04-23 14:09:35+00:00,500.0,30.25,24.05,27.1,7.7800007,34.623947,5.0,307,0.3413151806640625,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00502500,2025-04-23 14:09:26+00:00,502.5,28.2,21.85,24.8,9.5,50.802135,2.0,177,0.3513248461914062,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00505000,2025-04-23 15:19:18+00:00,505.0,23.05,20.0,22.3,5.8999996,34.40233,15.0,312,0.3225165405273437,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00507500,2025-04-22 18:33:21+00:00,507.5,18.99,17.75,20.2,5.67,42.56757,2.0,99,0.34278000976562495,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00510000,2025-04-23 15:51:34+00:00,510.0,17.5,15.5,17.8,4.8100004,37.903866,10.0,285,0.32031929687499994,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00512500,2025-04-23 15:48:26+00:00,512.5,15.2,12.25,14.45,2.96,24.183006,4.0,84,0.17774259765625,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00515000,2025-04-23 16:08:18+00:00,515.0,12.52,11.6,12.1,2.5100002,25.074928,33.0,346,0.1772543212890625,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00517500,2025-04-23 15:23:04+00:00,517.5,11.17,10.1,10.65,3.4700003,45.06494,34.0,207,0.2420730090332031,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00520000,2025-04-23 16:27:30+00:00,520.0,7.8,8.4,8.85,1.1500001,17.293234,203.0,448,0.2475661181640625,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00522500,2025-04-23 16:21:32+00:00,522.5,6.3,6.7,7.1,1.5,31.249998,124.0,253,0.2442702526855469,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00525000,2025-04-23 16:29:29+00:00,525.0,5.36,5.35,5.7,1.5700002,41.424805,85.0,968,0.24951922363281248,True,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00527500,2025-04-23 16:13:15+00:00,527.5,4.15,3.85,4.2,1.45,53.7037,184.0,294,0.2381667980957031,False,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00530000,2025-04-23 16:27:29+00:00,530.0,2.58,2.49,2.68,0.6299999,32.307686,400.0,1645,0.21363091064453127,False,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00532500,2025-04-23 16:27:42+00:00,532.5,1.82,2.04,2.21,0.33000004,22.147654,1115.0,257,0.23474886352539062,False,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00535000,2025-04-23 16:18:31+00:00,535.0,1.46,1.38,1.54,0.48000002,48.97959,375.0,1572,0.23438265625,False,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00540000,2025-04-23 16:29:38+00:00,540.0,0.65,0.62,0.71,0.22999999,54.7619,660.0,1561,0.23706817626953125,False,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00545000,2025-04-23 16:28:15+00:00,545.0,0.25,0.24,0.29,0.099999994,66.66666,304.0,410,0.2387771435546875,False,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00550000,2025-04-23 15:57:29+00:00,550.0,0.13,0.08,0.12,0.08,160.00002,191.0,576,0.245124736328125,False,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00555000,2025-04-23 16:09:54+00:00,555.0,0.05,0.03,0.06,0.030000001,150.0,26.0,190,0.25977302734375,False,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00560000,2025-04-23 14:30:07+00:00,560.0,0.08,0.01,0.02,0.06,300.0,1.0,198,0.2617261328125,False,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00565000,2025-04-22 13:34:20+00:00,565.0,0.01,0.0,0.03,0.0,0.0,2.0,120,0.3086006640625,False,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00570000,2025-04-22 15:25:24+00:00,570.0,0.02,0.0,0.02,0.0,0.0,2.0,71,0.32813171874999997,False,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00575000,2025-04-22 19:45:32+00:00,575.0,0.01,0.0,0.01,0.0,0.0,1.0,58,0.335944140625,False,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00580000,2025-04-17 15:29:07+00:00,580.0,0.01,0.0,0.01,0.0,0.0,7.0,241,0.367193828125,False,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00585000,2025-04-14 19:13:24+00:00,585.0,0.04,0.0,0.01,0.0,0.0,8.0,557,0.398443515625,False,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00590000,2025-04-11 19:15:48+00:00,590.0,0.08,0.0,0.02,0.0,0.0,,1,0.45313046875,False,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00595000,2025-04-02 13:49:24+00:00,595.0,0.09,0.0,0.02,0.0,0.0,,3,0.48438015625,False,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
BRKB250425C00600000,2025-04-17 15:49:54+00:00,600.0,0.01,0.0,0.02,0.0,0.0,13.0,39,0.5117236328125,False,REGULAR,USD,BRK-B,1,2025-04-25,2025-04-23 13:00:56.110788,526.7999877929688
