contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
BRO250516C00080000,2025-04-10 16:21:18+00:00,80.0,34.5,36.8,39.8,0.0,0.0,2.0,1,0.8164080859374999,True,REGULAR,USD,BRO,1,2025-05-16,2025-04-23 13:01:12.802257,118.05000305175781
BRO250516C00090000,2025-03-21 18:13:31+00:00,90.0,29.4,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,BRO,1,2025-05-16,2025-04-23 13:01:12.802257,118.05000305175781
BRO250516C00105000,2025-03-21 18:46:42+00:00,105.0,15.6,0.0,0.0,0.0,0.0,20.0,0,1.0000000000000003e-05,True,REGULAR,USD,BRO,1,2025-05-16,2025-04-23 13:01:12.802257,118.05000305175781
BRO250516C00110000,2025-04-14 14:50:47+00:00,110.0,12.9,8.5,10.6,0.0,0.0,2.0,2,0.4885305053710938,True,REGULAR,USD,BRO,1,2025-05-16,2025-04-23 13:01:12.802257,118.05000305175781
BRO250516C00115000,2025-04-22 14:09:02+00:00,115.0,4.5,4.9,6.1,0.0,0.0,1.0,50,0.3698793481445312,True,REGULAR,USD,BRO,1,2025-05-16,2025-04-23 13:01:12.802257,118.05000305175781
BRO250516C00120000,2025-04-22 18:08:18+00:00,120.0,2.15,2.05,2.95,0.0,0.0,6.0,901,0.31592480957031244,False,REGULAR,USD,BRO,1,2025-05-16,2025-04-23 13:01:12.802257,118.05000305175781
BRO250516C00125000,2025-04-23 13:30:02+00:00,125.0,0.9,0.0,1.15,0.120000005,15.384616,1.0,125,0.29053443847656246,False,REGULAR,USD,BRO,1,2025-05-16,2025-04-23 13:01:12.802257,118.05000305175781
BRO250516C00130000,2025-04-17 15:08:51+00:00,130.0,0.9,0.0,1.2,0.0,0.0,1.0,71,0.4018614501953125,False,REGULAR,USD,BRO,1,2025-05-16,2025-04-23 13:01:12.802257,118.05000305175781
BRO250516C00135000,2025-04-17 15:08:51+00:00,135.0,0.2,0.0,0.75,0.0,0.0,3.0,10,0.4294490649414063,False,REGULAR,USD,BRO,1,2025-05-16,2025-04-23 13:01:12.802257,118.05000305175781
BRO250516C00140000,2025-04-03 16:00:55+00:00,140.0,0.35,0.0,0.5,0.0,0.0,2.0,2,0.4594780615234375,False,REGULAR,USD,BRO,1,2025-05-16,2025-04-23 13:01:12.802257,118.05000305175781
