contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
BSX250425C00082000,2025-04-23 15:45:11+00:00,82.0,18.0,17.4,17.9,4.6099997,34.428677,1.0,4,0.7812521875,True,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00083000,2025-04-22 16:23:22+00:00,83.0,12.4,16.2,16.8,0.0,0.0,2.0,16,1.0000000000000003e-05,True,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00087000,2025-04-22 18:46:45+00:00,87.0,9.06,12.4,13.0,0.0,0.0,2.0,3,0.851563984375,True,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00090000,2025-04-22 19:26:33+00:00,90.0,11.4,9.3,9.8,5.2099996,84.168,2.0,3,1.0000000000000003e-05,True,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00091000,2025-04-16 19:50:01+00:00,91.0,11.0,8.1,9.8,5.7,107.547165,3.0,9,0.5468795312500001,True,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00092000,2025-04-23 15:48:46+00:00,92.0,8.2,7.2,9.1,5.0499997,160.31744,2.0,5,0.6835969140625001,True,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00093000,2025-04-21 14:42:06+00:00,93.0,3.56,6.1,8.6,0.0,0.0,3.0,5,0.7304714453125,True,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00094000,2025-04-22 19:59:46+00:00,94.0,8.0,5.6,6.3,4.49,127.92021,4.0,510,0.6289099609375001,True,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00095000,2025-04-23 16:14:58+00:00,95.0,4.81,4.7,5.1,1.9099998,65.86206,194.0,2853,0.44727115234375,True,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00096000,2025-04-23 16:24:10+00:00,96.0,3.73,3.6,3.9,1.1800001,46.274513,16.0,581,0.187508125,True,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00097000,2025-04-23 16:13:03+00:00,97.0,3.02,2.95,3.2,0.95000005,45.893726,14.0,2562,0.352545537109375,True,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00098000,2025-04-23 16:27:21+00:00,98.0,2.05,2.0,2.6,0.39999998,24.242422,15.0,119,0.40820904296875,True,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00099000,2025-04-23 16:17:32+00:00,99.0,1.35,1.45,1.65,0.05000007,3.8461595,68.0,578,0.3188544677734374,True,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00100000,2025-04-23 16:21:54+00:00,100.0,0.9,0.85,1.05,-0.25,-21.73913,140.0,6463,0.304694453125,False,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00101000,2025-04-23 16:05:27+00:00,101.0,0.66,0.5,0.7,-0.84,-56.0,107.0,684,0.32227240234374993,False,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00102000,2025-04-23 15:36:56+00:00,102.0,0.44,0.2,0.35,-0.28000003,-38.888893,14.0,82,0.299811689453125,False,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00103000,2025-04-23 16:24:10+00:00,103.0,0.18,0.1,0.2,-0.13999999,-58.333332,68.0,5057,0.31055376953124997,False,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00104000,2025-04-23 16:28:03+00:00,104.0,0.08,0.05,0.55,-0.22000001,-81.48148,18.0,853,0.5302781347656251,False,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00105000,2025-04-23 15:10:10+00:00,105.0,0.09,0.0,0.1,-0.09,-49.999996,129.0,373,0.367193828125,False,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00106000,2025-04-23 14:56:51+00:00,106.0,0.04,0.0,0.15,-0.060000002,-60.0,3.0,36,0.459966337890625,False,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00107000,2025-03-26 16:47:59+00:00,107.0,1.21,0.0,0.3,0.0,0.0,3.0,7,0.5136767382812499,False,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00108000,2025-04-22 19:50:02+00:00,108.0,0.16,0.0,0.05,0.0,0.0,6.0,12,0.45703667968750006,False,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00109000,2025-03-25 16:59:28+00:00,109.0,1.0,0.0,1.25,0.0,0.0,,4,0.9023447265625,False,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00110000,2025-04-22 19:51:14+00:00,110.0,0.03,0.0,0.05,-0.020000001,-40.000004,1.0,99,0.5429733203125001,False,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00111000,2025-04-04 17:25:36+00:00,111.0,0.65,0.0,1.3,0.0,0.0,10.0,3,1.0361376318359379,False,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00112000,2025-03-25 14:04:28+00:00,112.0,0.75,0.0,1.3,0.0,0.0,,2,1.0957076464843751,False,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425C00130000,2025-04-16 16:30:29+00:00,130.0,0.1,0.0,0.05,0.0,0.0,1.0,1,1.171879140625,False,REGULAR,USD,BSX,1,2025-04-25,2025-04-23 13:01:07.275242,99.8949966430664
BSX250425P00055000,2025-04-16 16:29:54+00:00,55.0,0.1,0.0,0.55,0.0,0.0,2.0,2,3.50781373046875,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00060000,2025-04-16 16:30:14+00:00,60.0,0.1,0.0,0.65,0.0,0.0,1.0,1,3.14843962890625,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00065000,2025-04-16 16:28:33+00:00,65.0,0.05,0.0,0.05,0.0,0.0,10.0,10,1.875000625,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00070000,2025-04-10 17:25:55+00:00,70.0,0.5,0.0,0.05,0.0,0.0,,1,1.5781271093749998,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00074000,2025-04-16 16:27:47+00:00,74.0,0.13,0.0,0.7,0.0,0.0,4.0,4,2.0410205224609372,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00075000,2025-04-22 19:45:50+00:00,75.0,0.03,0.0,0.05,-0.020000001,-40.000004,1.0,22,1.2968785156249998,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00080000,2025-04-22 19:55:41+00:00,80.0,0.23,0.0,0.05,0.0,0.0,55.0,60,1.0312548437500002,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00081000,2025-04-23 14:57:12+00:00,81.0,0.04,0.0,0.05,-0.21000001,-84.0,11.0,14,0.98437515625,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00082000,2025-04-23 13:31:21+00:00,82.0,0.02,0.0,0.05,-0.28,-93.33333,2.0,526,0.929688203125,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00083000,2025-04-22 19:49:54+00:00,83.0,0.35,0.0,0.05,0.0,0.0,2038.0,2036,0.8828136718749999,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00085000,2025-04-23 15:28:15+00:00,85.0,0.03,0.0,0.05,-0.47,-94.0,131.0,1203,0.7812521875,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00086000,2025-04-23 15:06:53+00:00,86.0,0.06,0.0,0.15,-0.59,-90.769226,21.0,64,0.85937640625,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00087000,2025-04-23 15:30:59+00:00,87.0,0.03,0.0,0.05,-0.77000004,-96.25001,20.0,2405,0.6796907031250001,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00088000,2025-04-23 14:45:21+00:00,88.0,0.05,0.0,0.1,-0.83,-95.4023,75.0,230,0.6992217578125001,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00089000,2025-04-23 14:23:41+00:00,89.0,0.1,0.0,0.15,-0.9,-90.0,31.0,732,0.6914093359375001,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00090000,2025-04-23 16:11:20+00:00,90.0,0.1,0.05,0.1,-1.12,-91.803276,205.0,3186,0.632816171875,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00091000,2025-04-23 16:19:11+00:00,91.0,0.05,0.0,0.1,-1.5300001,-96.83545,33.0,1823,0.5390671093750001,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00092000,2025-04-23 16:24:22+00:00,92.0,0.1,0.05,0.1,-1.75,-94.5946,5.0,766,0.5214891601562499,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00093000,2025-04-23 14:56:30+00:00,93.0,0.09,0.05,0.2,-2.0400002,-95.77465,12.0,2499,0.51758294921875,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00094000,2025-04-23 15:22:41+00:00,94.0,0.1,0.05,0.2,-2.39,-95.98394,11.0,1719,0.5117236328125,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00095000,2025-04-23 16:18:26+00:00,95.0,0.2,0.15,0.2,-2.72,-93.15068,120.0,458,0.44434149414062496,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00096000,2025-04-22 19:42:41+00:00,96.0,0.16,0.2,0.3,-3.24,-95.29411,9.0,19,0.42676354492187507,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00098000,2025-04-23 16:20:07+00:00,98.0,0.64,0.45,0.6,-3.98,-86.14719,35.0,11,0.3745179736328125,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00099000,2025-04-23 15:45:11+00:00,99.0,0.75,0.75,1.3,-4.4,-85.43689,3.0,2,0.47559118164062497,False,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00100000,2025-04-23 15:44:28+00:00,100.0,1.2,1.2,1.4,-3.6000001,-75.0,6.0,55,0.37256486816406253,True,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00101000,2025-04-23 15:20:07+00:00,101.0,1.54,1.45,2.6,-5.09,-76.77225,18.0,2,0.5502974658203126,True,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00102000,2025-04-23 13:54:49+00:00,102.0,2.15,2.05,2.75,-1.6499999,-43.42105,4.0,2,0.4008848974609375,True,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00103000,2025-04-23 14:32:29+00:00,103.0,2.3,3.3,3.8,-6.17,-72.84534,1.0,11,0.5034229345703125,True,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00105000,2025-03-20 15:58:57+00:00,105.0,5.0,9.4,10.2,0.0,0.0,,1,1.8789068554687498,True,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00106000,2025-04-04 13:47:10+00:00,106.0,11.51,6.1,6.6,0.0,0.0,1.0,0,0.5224657128906249,True,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00108000,2025-04-17 16:43:21+00:00,108.0,12.4,8.4,8.9,0.0,0.0,1.0,0,0.8017597949218749,True,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00109000,2025-04-02 13:34:14+00:00,109.0,10.1,9.4,10.0,0.0,0.0,,0,0.8876964355468748,True,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00110000,2025-04-02 13:34:14+00:00,110.0,11.0,9.3,11.2,0.0,0.0,1.0,0,0.6621127539062501,True,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250425P00125000,2025-04-02 15:15:23+00:00,125.0,24.89,23.5,26.5,0.0,0.0,,0,2.172856130371094,True,REGULAR,USD,BSX,0,2025-04-25,2025-04-23 13:01:07.277248,99.8949966430664
BSX250502C00083000,2025-04-07 14:10:28+00:00,83.0,9.6,16.3,16.8,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,BSX,1,2025-05-02,2025-04-23 13:01:07.334989,99.8949966430664
BSX250502C00088000,2025-04-09 17:25:14+00:00,88.0,8.0,11.4,12.4,0.0,0.0,2.0,5,0.6210975390625001,True,REGULAR,USD,BSX,1,2025-05-02,2025-04-23 13:01:07.334989,99.8949966430664
BSX250502C00089000,2025-04-07 14:45:50+00:00,89.0,6.5,10.4,11.2,0.0,0.0,,5,0.506840869140625,True,REGULAR,USD,BSX,1,2025-05-02,2025-04-23 13:01:07.334989,99.8949966430664
BSX250502C00090000,2025-04-15 14:46:19+00:00,90.0,6.2,9.4,9.9,0.0,0.0,3.0,35,0.23438265625,True,REGULAR,USD,BSX,1,2025-05-02,2025-04-23 13:01:07.334989,99.8949966430664
BSX250502C00092000,2025-04-14 18:51:39+00:00,92.0,5.01,7.6,8.5,0.0,0.0,1.0,3,0.48340360351562506,True,REGULAR,USD,BSX,1,2025-05-02,2025-04-23 13:01:07.334989,99.8949966430664
BSX250502C00093000,2025-04-07 13:46:55+00:00,93.0,2.92,6.9,7.2,0.0,0.0,1.0,1,0.3544986425781249,True,REGULAR,USD,BSX,1,2025-05-02,2025-04-23 13:01:07.334989,99.8949966430664
BSX250502C00095000,2025-04-23 15:52:36+00:00,95.0,5.24,5.2,5.7,1.7399998,49.714275,34.0,633,0.3940490283203125,True,REGULAR,USD,BSX,1,2025-05-02,2025-04-23 13:01:07.334989,99.8949966430664
BSX250502C00096000,2025-04-23 15:45:11+00:00,96.0,4.7,4.3,4.7,1.9999998,74.07406,5.0,99,0.3452213916015625,True,REGULAR,USD,BSX,1,2025-05-02,2025-04-23 13:01:07.334989,99.8949966430664
BSX250502C00097000,2025-04-22 19:14:11+00:00,97.0,5.5,3.6,3.9,3.13,132.06752,1.0,73,0.3305731005859375,True,REGULAR,USD,BSX,1,2025-05-02,2025-04-23 13:01:07.334989,99.8949966430664
BSX250502C00098000,2025-04-23 15:17:55+00:00,98.0,3.3,2.8,3.4,1.43,76.47059,10.0,33,0.3569400244140625,True,REGULAR,USD,BSX,1,2025-05-02,2025-04-23 13:01:07.334989,99.8949966430664
BSX250502C00099000,2025-04-23 15:06:50+00:00,99.0,2.78,2.1,2.65,1.17,72.6708,4.0,57,0.331061376953125,True,REGULAR,USD,BSX,1,2025-05-02,2025-04-23 13:01:07.334989,99.8949966430664
BSX250502C00100000,2025-04-23 15:06:07+00:00,100.0,1.81,1.7,1.95,0.55999994,44.799995,47.0,333,0.30322962402343745,False,REGULAR,USD,BSX,1,2025-05-02,2025-04-23 13:01:07.334989,99.8949966430664
BSX250502C00101000,2025-04-23 14:08:42+00:00,101.0,1.82,1.15,1.35,0.87000006,91.57896,5.0,412,0.2788158056640625,False,REGULAR,USD,BSX,1,2025-05-02,2025-04-23 13:01:07.334989,99.8949966430664
BSX250502C00102000,2025-04-23 14:50:14+00:00,102.0,1.1,0.85,1.05,0.35000002,46.66667,11.0,2296,0.28833719482421866,False,REGULAR,USD,BSX,1,2025-05-02,2025-04-23 13:01:07.334989,99.8949966430664
BSX250502C00103000,2025-04-23 15:38:44+00:00,103.0,0.65,0.5,0.9,-0.050000012,-7.1428585,26.0,16,0.3129951513671875,False,REGULAR,USD,BSX,1,2025-05-02,2025-04-23 13:01:07.334989,99.8949966430664
