contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
BXP250516C00040000,2025-03-28 14:33:08+00:00,40.0,27.7,24.6,27.6,0.0,0.0,1.0,0,1.1923868505859376,True,REGULAR,USD,BXP,1,2025-05-16,2025-04-23 13:01:15.220080,65.76000213623047
BXP250516C00045000,2025-04-11 18:27:09+00:00,45.0,15.46,20.2,22.3,0.0,0.0,,1,1.0332079589843752,True,REGULAR,USD,BXP,1,2025-05-16,2025-04-23 13:01:15.220080,65.76000213623047
BXP250516C00047500,2025-04-11 19:44:09+00:00,47.5,14.0,17.7,20.1,0.0,0.0,,1,0.9785158398437501,True,REGULAR,USD,BXP,1,2025-05-16,2025-04-23 13:01:15.220080,65.76000213623047
BXP250516C00050000,2025-04-11 19:23:52+00:00,50.0,11.8,15.3,17.6,0.0,0.0,,2,0.8754895263671875,True,REGULAR,USD,BXP,1,2025-05-16,2025-04-23 13:01:15.220080,65.76000213623047
BXP250516C00052500,2025-04-14 14:26:52+00:00,52.5,11.1,13.1,14.4,0.0,0.0,,1,0.6860382958984376,True,REGULAR,USD,BXP,1,2025-05-16,2025-04-23 13:01:15.220080,65.76000213623047
BXP250516C00055000,2025-04-17 15:18:35+00:00,55.0,10.0,10.5,11.4,0.0,0.0,1.0,3,0.6245154736328126,True,REGULAR,USD,BXP,1,2025-05-16,2025-04-23 13:01:15.220080,65.76000213623047
BXP250516C00057500,2025-04-16 19:10:56+00:00,57.5,6.75,8.7,9.1,0.0,0.0,1.0,4,0.5107470800781251,True,REGULAR,USD,BXP,1,2025-05-16,2025-04-23 13:01:15.220080,65.76000213623047
BXP250516C00060000,2025-04-21 15:51:01+00:00,60.0,4.2,6.4,6.7,0.0,0.0,4.0,15,0.46289599609375004,True,REGULAR,USD,BXP,1,2025-05-16,2025-04-23 13:01:15.220080,65.76000213623047
BXP250516C00062500,2025-04-22 18:08:41+00:00,62.5,3.2,4.7,5.0,0.0,0.0,1.0,198,0.4731497998046875,True,REGULAR,USD,BXP,1,2025-05-16,2025-04-23 13:01:15.220080,65.76000213623047
BXP250516C00065000,2025-04-22 17:27:33+00:00,65.0,1.85,3.0,3.3,0.0,0.0,22.0,205,0.4343318286132813,True,REGULAR,USD,BXP,1,2025-05-16,2025-04-23 13:01:15.220080,65.76000213623047
