contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
BX250425C00070000,2025-04-07 14:25:31+00:00,70.0,53.05,56.2,58.55,0.0,0.0,,0,3.0859397851562496,True,REGULAR,USD,BX,1,2025-04-25,2025-04-23 13:01:01.614771,128.41000366210938
BX250425C00075000,2025-04-07 14:25:31+00:00,75.0,48.15,51.2,54.1,0.0,0.0,,0,3.6347665380859375,True,REGULAR,USD,BX,1,2025-04-25,2025-04-23 13:01:01.614771,128.41000366210938
BX250425C00080000,2025-04-07 14:31:57+00:00,80.0,44.05,46.45,48.8,0.0,0.0,,8,2.9160183349609374,True,REGULAR,USD,BX,1,2025-04-25,2025-04-23 13:01:01.614771,128.41000366210938
BX250425C00090000,2025-04-07 14:40:13+00:00,90.0,33.95,36.0,38.55,0.0,0.0,,8,1.9179691601562503,True,REGULAR,USD,BX,1,2025-04-25,2025-04-23 13:01:01.614771,128.41000366210938
BX250425C00100000,2025-04-21 18:59:51+00:00,100.0,19.55,26.05,28.55,0.0,0.0,1.0,1,1.4140654296875002,True,REGULAR,USD,BX,1,2025-04-25,2025-04-23 13:01:01.614771,128.41000366210938
BX250425C00114000,2025-04-16 19:44:26+00:00,114.0,15.25,12.65,15.1,0.0,0.0,1.0,0,1.1025435498046878,True,REGULAR,USD,BX,1,2025-04-25,2025-04-23 13:01:01.614771,128.41000366210938
BX250425C00115000,2025-04-22 16:02:54+00:00,115.0,10.01,11.35,12.9,0.0,0.0,10.0,12,1.0000000000000003e-05,True,REGULAR,USD,BX,1,2025-04-25,2025-04-23 13:01:01.614771,128.41000366210938
BX250425C00118000,2025-04-16 19:50:00+00:00,118.0,12.15,8.7,11.35,0.0,0.0,2.0,6,0.9594730615234374,True,REGULAR,USD,BX,1,2025-04-25,2025-04-23 13:01:01.614771,128.41000366210938
BX250425C00119000,2025-04-23 14:50:07+00:00,119.0,12.0,7.95,9.1,5.61,87.79343,2.0,4,1.0000000000000003e-05,True,REGULAR,USD,BX,1,2025-04-25,2025-04-23 13:01:01.614771,128.41000366210938
BX250425C00120000,2025-04-23 16:09:27+00:00,120.0,7.77,7.65,8.7,1.8699999,31.694912,7.0,71,0.5722699023437501,True,REGULAR,USD,BX,1,2025-04-25,2025-04-23 13:01:01.614771,128.41000366210938
BX250425C00122000,2025-04-22 16:33:36+00:00,122.0,4.75,6.05,6.6,0.0,0.0,50.0,58,0.41602146484374997,True,REGULAR,USD,BX,1,2025-04-25,2025-04-23 13:01:01.614771,128.41000366210938
BX250425C00123000,2025-04-23 14:10:03+00:00,123.0,6.0,5.15,5.8,2.95,96.72131,5.0,37,0.45215391601562505,True,REGULAR,USD,BX,1,2025-04-25,2025-04-23 13:01:01.614771,128.41000366210938
BX250425C00124000,2025-04-23 14:01:44+00:00,124.0,8.0,4.7,5.15,5.3,196.29631,2.0,61,0.5048877636718749,True,REGULAR,USD,BX,1,2025-04-25,2025-04-23 13:01:01.614771,128.41000366210938
BX250425C00125000,2025-04-23 15:06:53+00:00,125.0,6.04,3.8,4.55,3.48,135.9375,235.0,249,0.5415084912109377,True,REGULAR,USD,BX,1,2025-04-25,2025-04-23 13:01:01.614771,128.41000366210938
BX250425C00126000,2025-04-23 15:16:55+00:00,126.0,3.1,3.3,3.75,1.2299999,65.7754,261.0,319,0.5112353564453125,True,REGULAR,USD,BX,1,2025-04-25,2025-04-23 13:01:01.614771,128.41000366210938
BX250425C00127000,2025-04-22 19:11:07+00:00,127.0,6.5,2.49,3.1,5.14,377.94113,1.0,245,0.5039112109375,True,REGULAR,USD,BX,1,2025-04-25,2025-04-23 13:01:01.614771,128.41000366210938
BX250425C00128000,2025-04-23 16:30:04+00:00,128.0,2.39,2.18,2.55,1.2100002,102.54239,1312.0,830,0.5043994873046875,True,REGULAR,USD,BX,1,2025-04-25,2025-04-23 13:01:01.614771,128.41000366210938
BX250425C00129000,2025-04-23 16:10:43+00:00,129.0,1.75,1.64,2.24,1.05,149.99998,36.0,63,0.5422409057617189,False,REGULAR,USD,BX,1,2025-04-25,2025-04-23 13:01:01.614771,128.41000366210938
BX250425C00130000,2025-04-23 16:04:35+00:00,130.0,1.4,1.05,1.76,0.84,150.0,34.0,542,0.5293015820312501,False,REGULAR,USD,BX,1,2025-04-25,2025-04-23 13:01:01.614771,128.41000366210938
