contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CAH250425C00117000,2025-04-04 14:54:11+00:00,117.0,18.4,16.4,19.1,0.0,0.0,1.0,1,0.9335944140625,True,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00121000,2025-04-01 13:42:59+00:00,121.0,16.21,12.4,14.9,0.0,0.0,,1,0.6621127539062501,True,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00122000,2025-04-23 13:38:16+00:00,122.0,13.5,11.1,14.0,5.9,77.63158,1.0,2,1.2216835791015623,True,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00123000,2025-04-10 16:28:35+00:00,123.0,5.8,10.3,12.9,0.0,0.0,,1,0.523442265625,True,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00125000,2025-04-10 16:22:07+00:00,125.0,4.4,8.5,10.8,0.0,0.0,40.0,37,0.9648441015625,True,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00126000,2025-04-10 16:01:30+00:00,126.0,4.3,7.0,9.8,0.0,0.0,,59,0.8999033447265624,True,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00127000,2025-04-10 15:55:49+00:00,127.0,3.8,6.1,8.9,0.0,0.0,11.0,15,0.8623060644531251,True,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00128000,2025-04-10 16:50:28+00:00,128.0,3.8,5.6,7.7,0.0,0.0,,63,0.7397486962890624,True,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00129000,2025-04-22 15:59:01+00:00,129.0,5.0,4.2,6.5,0.0,0.0,28.0,210,0.6181678808593751,True,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00130000,2025-04-21 14:16:58+00:00,130.0,5.3,3.8,4.7,0.0,0.0,1.0,66,0.295905478515625,True,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00131000,2025-04-22 15:04:25+00:00,131.0,3.3,2.8,4.0,0.0,0.0,1.0,5,0.3491276025390625,True,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00132000,2025-04-22 18:27:32+00:00,132.0,3.6,1.85,2.9,1.55,75.60976,66.0,540,0.25879647460937505,True,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00133000,2025-04-22 19:39:53+00:00,133.0,2.6,1.35,2.6,0.8499999,48.571423,28.0,210,0.35742830078125,True,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00134000,2025-04-22 19:32:57+00:00,134.0,1.3,0.6,1.1,0.099999905,8.333325,2.0,97,0.1662681030273438,True,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00135000,2025-04-23 15:43:56+00:00,135.0,0.75,0.5,0.7,-0.100000024,-11.764708,20.0,96,0.18799640136718748,False,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00136000,2025-04-22 19:44:10+00:00,136.0,0.5,0.0,0.7,-0.06999999,-12.280701,2.0,50,0.2668530346679688,False,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00137000,2025-04-22 19:44:25+00:00,137.0,0.3,0.0,0.35,0.0,0.0,1.0,38,0.245124736328125,False,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00138000,2025-04-22 19:24:39+00:00,138.0,0.15,0.0,0.75,0.0,0.0,70.0,106,0.41211525390625,False,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00139000,2025-04-22 19:54:10+00:00,139.0,0.1,0.0,0.65,0.0,0.0,4.0,33,0.44482977050781247,False,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00140000,2025-04-21 15:41:16+00:00,140.0,0.13,0.0,0.2,-0.08,-38.095238,8.0,57,0.34180345703125,False,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00141000,2025-04-16 15:51:23+00:00,141.0,0.33,0.0,0.75,0.0,0.0,1.0,1,0.5839885351562499,False,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00142000,2025-04-09 14:54:14+00:00,142.0,0.27,0.0,1.5,0.0,0.0,2.0,0,0.6367223828125,False,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00143000,2025-03-28 19:36:44+00:00,143.0,1.0,0.0,0.5,0.0,0.0,14.0,14,0.6015664843750002,False,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00144000,2025-04-01 15:35:04+00:00,144.0,1.0,0.0,0.5,0.0,0.0,97.0,85,0.5371140039062501,False,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425C00145000,2025-03-31 13:46:02+00:00,145.0,0.96,0.0,0.5,0.0,0.0,,3,0.577152666015625,False,REGULAR,USD,CAH,1,2025-04-25,2025-04-23 13:01:21.232517,134.52999877929688
CAH250425P00105000,2025-04-11 16:12:25+00:00,105.0,0.25,0.0,0.75,0.0,0.0,,21,1.6640641796875002,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00114000,2025-04-22 19:54:50+00:00,114.0,0.1,0.0,0.05,0.0,0.0,699.0,666,0.7656273437500001,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00115000,2025-04-09 19:12:02+00:00,115.0,0.93,0.0,0.05,0.0,0.0,,57,0.73437765625,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00116000,2025-04-10 14:00:04+00:00,116.0,0.45,0.0,0.1,0.0,0.0,3.0,59,0.7656273437500001,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00117000,2025-04-22 19:54:50+00:00,117.0,0.2,0.0,0.75,0.0,0.0,911.0,3236,1.0488328808593752,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00119000,2025-04-10 16:22:31+00:00,119.0,2.35,0.0,1.1,0.0,0.0,,5,1.0439500927734378,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00120000,2025-04-17 18:13:10+00:00,120.0,0.05,0.0,1.45,0.0,0.0,5.0,14,1.0712937060546879,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00121000,2025-04-15 15:34:29+00:00,121.0,0.1,0.0,1.45,0.0,0.0,3.0,6,1.0146533642578124,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00122000,2025-04-10 16:21:55+00:00,122.0,3.0,0.0,1.45,0.0,0.0,2.0,38,0.9580082324218748,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00123000,2025-04-14 16:54:25+00:00,123.0,0.75,0.0,1.5,0.0,0.0,1.0,48,0.911133701171875,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00124000,2025-04-10 16:21:41+00:00,124.0,3.6,0.0,0.5,0.0,0.0,88.0,86,0.6269568554687501,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00125000,2025-04-23 16:13:17+00:00,125.0,0.05,0.0,0.5,-0.05,-50.0,5.0,30,0.579105771484375,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00126000,2025-04-22 14:11:51+00:00,126.0,0.15,0.0,0.5,0.0,0.0,3.0,80,0.5312546875,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00127000,2025-04-22 14:11:51+00:00,127.0,0.2,0.0,0.5,0.0,0.0,3.0,35,0.5888712988281251,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00128000,2025-04-22 14:11:51+00:00,128.0,0.3,0.0,0.5,0.0,0.0,8.0,13,0.53320779296875,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00129000,2025-04-21 19:35:55+00:00,129.0,0.09,0.0,0.25,-1.28,-93.43066,1.0,112,0.38184211914062494,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00130000,2025-04-22 18:06:19+00:00,130.0,0.7,0.0,0.3,0.0,0.0,105.0,108,0.3501041552734374,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00131000,2025-04-22 15:04:30+00:00,131.0,0.75,0.0,0.6,0.0,0.0,7.0,36,0.38623660644531244,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00132000,2025-04-22 18:50:34+00:00,132.0,0.22,0.1,0.6,-0.67999995,-75.55555,1.0,134,0.32080757324218745,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00133000,2025-04-22 19:43:39+00:00,133.0,1.25,0.3,0.75,0.0,0.0,41.0,144,0.28565167480468745,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00134000,2025-04-22 17:04:29+00:00,134.0,1.15,0.6,0.9,-0.6,-34.285717,3.0,211,0.23584748535156247,False,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00135000,2025-04-23 15:23:05+00:00,135.0,1.05,0.9,1.8,-1.25,-54.347828,2.0,16,0.3188544677734374,True,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00136000,2025-04-23 15:01:14+00:00,136.0,1.85,1.8,4.2,-1.0600001,-36.426117,1.0,23,0.6982452050781252,True,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00137000,2025-04-04 18:01:34+00:00,137.0,7.7,2.1,3.6,0.0,0.0,26.0,26,0.436529072265625,True,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00138000,2025-04-23 15:00:54+00:00,138.0,3.5,3.5,5.4,-4.8500004,-58.08383,154.0,37,0.6870148486328126,True,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00139000,2025-04-23 15:01:52+00:00,139.0,4.6,3.6,6.0,0.52999973,13.022106,362.0,15,0.6660189648437502,True,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00140000,2025-04-04 19:24:10+00:00,140.0,11.09,4.4,6.7,0.0,0.0,2.0,0,0.657229990234375,True,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250425P00150000,2025-04-04 19:24:10+00:00,150.0,20.2,14.4,17.0,0.0,0.0,2.0,0,0.7539087109375,True,REGULAR,USD,CAH,0,2025-04-25,2025-04-23 13:01:21.233519,134.52999877929688
CAH250502C00119000,2025-04-04 14:54:11+00:00,119.0,17.3,14.6,17.6,0.0,0.0,1.0,1,0.577152666015625,True,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00120000,2025-04-07 16:10:44+00:00,120.0,9.5,13.8,16.4,0.0,0.0,,3,0.5478560839843751,True,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00121000,2025-04-08 19:41:24+00:00,121.0,9.2,12.5,15.7,0.0,0.0,,1,0.5180712255859375,True,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00122000,2025-04-15 15:21:18+00:00,122.0,14.2,12.1,13.5,0.4499998,3.2727258,4.0,6,0.57617611328125,True,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00123000,2025-04-15 15:21:18+00:00,123.0,13.0,11.6,13.3,0.19999981,1.5624985,19.0,7,0.5336960693359375,True,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00124000,2025-04-09 17:55:39+00:00,124.0,8.6,10.0,12.2,0.0,0.0,,6,0.629886513671875,True,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00125000,2025-04-23 15:01:51+00:00,125.0,10.5,9.9,11.0,2.1999998,26.506021,3.0,2,0.5610395458984375,True,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00126000,2025-04-22 15:59:01+00:00,126.0,10.4,9.2,10.9,1.1999998,13.043477,1.0,47,0.532231240234375,True,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00127000,2025-04-09 18:53:09+00:00,127.0,7.01,8.0,9.6,0.0,0.0,,21,0.5737347314453125,True,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00128000,2025-04-16 18:55:03+00:00,128.0,8.95,6.4,8.5,0.0,0.0,2.0,2,0.5195360546875,True,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00129000,2025-04-23 15:01:54+00:00,129.0,7.9,6.5,7.8,1.9000001,31.66667,1.0,31,0.5180712255859375,True,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00130000,2025-04-23 15:01:54+00:00,130.0,7.2,6.2,7.3,1.6999998,30.909088,1.0,59,0.5373581420898439,True,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00131000,2025-04-22 17:10:22+00:00,131.0,5.5,5.7,6.7,0.0,0.0,11.0,65,0.5393112475585939,True,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00132000,2025-04-21 17:27:59+00:00,132.0,3.5,5.0,6.0,0.0,0.0,1.0,32,0.5257615783691407,True,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00133000,2025-04-22 16:28:59+00:00,133.0,4.4,4.0,5.5,0.0,0.0,18.0,181,0.5317429638671876,True,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00134000,2025-04-22 17:01:11+00:00,134.0,3.9,3.8,4.6,0.0,0.0,8.0,35,0.4885305053710938,True,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00135000,2025-04-22 17:28:20+00:00,135.0,3.42,3.2,5.6,0.42000008,14.000003,1.0,40,0.5205126074218749,False,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00136000,2025-04-23 15:01:19+00:00,136.0,3.3,2.85,3.7,0.89999986,37.499992,5.0,19,0.49219257812500006,False,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00137000,2025-04-22 16:37:38+00:00,137.0,2.45,2.45,3.7,0.0,0.0,10.0,11,0.5395553857421876,False,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00138000,2025-04-23 15:04:00+00:00,138.0,2.6,2.05,2.8,1.1499999,79.31033,1.0,33,0.4797415307617187,False,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00139000,2025-04-22 19:45:05+00:00,139.0,1.8,1.65,2.25,0.0,0.0,7.0,17,0.4545952978515625,False,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00140000,2025-04-23 15:04:00+00:00,140.0,1.8,1.0,1.95,0.39999998,28.571426,1.0,30,0.45483943603515625,False,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00141000,2025-04-22 19:57:58+00:00,141.0,1.2,1.2,1.8,0.0,0.0,13.0,14,0.47070841796875,False,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00142000,2025-04-23 14:41:47+00:00,142.0,1.1,1.0,1.4,0.25,29.411764,1.0,13,0.44873598144531246,False,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00143000,2025-04-23 16:31:01+00:00,143.0,0.99,0.8,1.1,-0.15999997,-14.035085,418.0,2202,0.43457596679687505,False,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00144000,2025-04-23 16:20:59+00:00,144.0,0.83,0.6,0.95,0.63,315.00003,375.0,16,0.43897045410156255,False,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502C00145000,2025-04-22 18:46:56+00:00,145.0,0.35,0.45,1.3,0.0,0.0,17.0,1042,0.524418818359375,False,REGULAR,USD,CAH,1,2025-05-02,2025-04-23 13:01:21.313755,134.52999877929688
CAH250502P00090000,2025-04-16 14:07:43+00:00,90.0,0.55,0.0,1.75,0.0,0.0,5.0,5,1.6259784326171873,False,REGULAR,USD,CAH,0,2025-05-02,2025-04-23 13:01:21.315761,134.52999877929688
CAH250502P00110000,2025-04-17 18:09:45+00:00,110.0,0.2,0.0,1.75,0.0,0.0,5.0,8,0.9409185595703125,False,REGULAR,USD,CAH,0,2025-05-02,2025-04-23 13:01:21.315761,134.52999877929688
CAH250502P00113000,2025-04-08 18:29:28+00:00,113.0,2.3,0.0,1.8,0.0,0.0,6.0,7,0.8510757080078125,False,REGULAR,USD,CAH,0,2025-05-02,2025-04-23 13:01:21.315761,134.52999877929688
CAH250502P00114000,2025-04-08 16:06:45+00:00,114.0,1.8,0.0,1.8,0.0,0.0,2.0,6,0.8193377441406249,False,REGULAR,USD,CAH,0,2025-05-02,2025-04-23 13:01:21.315761,134.52999877929688
CAH250502P00115000,2025-04-16 14:05:30+00:00,115.0,0.3,0.0,0.35,0.0,0.0,1.0,5,0.5390671093750001,False,REGULAR,USD,CAH,0,2025-05-02,2025-04-23 13:01:21.315761,134.52999877929688
CAH250502P00116000,2025-04-16 14:05:30+00:00,116.0,0.45,0.0,1.4,0.0,0.0,277.0,266,0.70312796875,False,REGULAR,USD,CAH,0,2025-05-02,2025-04-23 13:01:21.315761,134.52999877929688
CAH250502P00117000,2025-04-01 19:17:27+00:00,117.0,0.48,0.0,0.75,0.0,0.0,2.0,3,0.5742230078125,False,REGULAR,USD,CAH,0,2025-05-02,2025-04-23 13:01:21.315761,134.52999877929688
CAH250502P00118000,2025-04-23 13:30:02+00:00,118.0,0.36,0.2,1.2,-0.109999985,-23.404251,6.0,3999,0.6420934228515626,False,REGULAR,USD,CAH,0,2025-05-02,2025-04-23 13:01:21.315761,134.52999877929688
CAH250502P00119000,2025-04-16 14:06:00+00:00,119.0,0.5,0.2,0.55,0.0,0.0,39.0,35,0.5190477783203125,False,REGULAR,USD,CAH,0,2025-05-02,2025-04-23 13:01:21.315761,134.52999877929688
CAH250502P00120000,2025-04-16 15:23:40+00:00,120.0,0.66,0.3,0.85,0.0,0.0,1.0,7,0.5493209130859377,False,REGULAR,USD,CAH,0,2025-05-02,2025-04-23 13:01:21.315761,134.52999877929688
CAH250502P00121000,2025-04-10 16:22:34+00:00,121.0,4.5,0.4,1.0,0.0,0.0,1.0,5,0.5498091894531252,False,REGULAR,USD,CAH,0,2025-05-02,2025-04-23 13:01:21.315761,134.52999877929688
CAH250502P00122000,2025-04-22 19:54:50+00:00,122.0,0.6,0.3,0.9,-0.00999999,-1.6393427,2.0,717,0.5620160986328125,False,REGULAR,USD,CAH,0,2025-05-02,2025-04-23 13:01:21.315761,134.52999877929688
CAH250502P00123000,2025-04-10 16:01:37+00:00,123.0,4.3,0.55,1.35,0.0,0.0,8.0,38,0.5395553857421876,False,REGULAR,USD,CAH,0,2025-05-02,2025-04-23 13:01:21.315761,134.52999877929688
