contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CARR250516C00047500,2025-04-07 17:00:09+00:00,47.5,9.8,11.9,13.3,0.0,0.0,,2,0.73437765625,True,REGULAR,USD,CARR,1,2025-05-16,2025-04-23 13:01:24.333787,59.540000915527344
CARR250516C00050000,2025-04-03 19:55:10+00:00,50.0,11.38,9.8,10.1,0.0,0.0,1.0,1,0.5546919531250001,True,REGULAR,USD,CARR,1,2025-05-16,2025-04-23 13:01:24.333787,59.540000915527344
CARR250516C00055000,2025-04-16 19:15:40+00:00,55.0,5.5,5.3,5.7,0.0,0.0,20.0,24,0.49170430175781255,True,REGULAR,USD,CARR,1,2025-05-16,2025-04-23 13:01:24.333787,59.540000915527344
CARR250516C00057500,2025-04-17 17:42:06+00:00,57.5,4.4,3.7,4.0,0.0,0.0,1.0,28,0.47900911621093745,True,REGULAR,USD,CARR,1,2025-05-16,2025-04-23 13:01:24.333787,59.540000915527344
CARR250516C00060000,2025-04-23 14:03:01+00:00,60.0,2.6,2.3,2.5,0.2099998,8.786603,24.0,146,0.4458063232421875,False,REGULAR,USD,CARR,1,2025-05-16,2025-04-23 13:01:24.333787,59.540000915527344
CARR250516C00062500,2025-04-23 15:43:03+00:00,62.5,1.53,1.25,1.35,0.22000003,16.793898,24.0,811,0.4106504248046875,False,REGULAR,USD,CARR,1,2025-05-16,2025-04-23 13:01:24.333787,59.540000915527344
CARR250516C00065000,2025-04-23 15:45:05+00:00,65.0,0.75,0.6,0.7,0.050000012,7.1428585,26.0,431,0.401373173828125,False,REGULAR,USD,CARR,1,2025-05-16,2025-04-23 13:01:24.333787,59.540000915527344
CARR250516C00067500,2025-04-23 15:45:07+00:00,67.5,0.35,0.25,0.35,0.049999982,16.66666,38.0,182,0.4008848974609375,False,REGULAR,USD,CARR,1,2025-05-16,2025-04-23 13:01:24.333787,59.540000915527344
CARR250516C00070000,2025-04-22 13:52:44+00:00,70.0,0.2,0.0,0.2,0.0,0.0,2.0,518,0.418951123046875,False,REGULAR,USD,CARR,1,2025-05-16,2025-04-23 13:01:24.333787,59.540000915527344
CARR250516C00072500,2025-04-22 13:59:57+00:00,72.5,0.05,0.0,0.15,0.0,0.0,1.0,206,0.45898978515625005,False,REGULAR,USD,CARR,1,2025-05-16,2025-04-23 13:01:24.333787,59.540000915527344
CARR250516C00075000,2025-04-07 14:53:53+00:00,75.0,0.12,0.0,0.75,0.0,0.0,1.0,428,0.631839619140625,False,REGULAR,USD,CARR,1,2025-05-16,2025-04-23 13:01:24.333787,59.540000915527344
CARR250516C00077500,2025-04-17 15:53:37+00:00,77.5,0.06,0.0,0.75,0.0,0.0,1.0,21,0.6967803759765626,False,REGULAR,USD,CARR,1,2025-05-16,2025-04-23 13:01:24.333787,59.540000915527344
CARR250516C00080000,2025-03-25 14:06:07+00:00,80.0,0.22,0.0,0.1,0.0,0.0,3.0,5,0.5312546875,False,REGULAR,USD,CARR,1,2025-05-16,2025-04-23 13:01:24.333787,59.540000915527344
CARR250516P00037500,2025-04-21 18:20:42+00:00,37.5,0.12,0.0,1.35,0.0,0.0,2.0,14,1.3457063964843747,False,REGULAR,USD,CARR,0,2025-05-16,2025-04-23 13:01:24.335786,59.540000915527344
CARR250516P00042500,2025-04-16 16:22:10+00:00,42.5,0.2,0.0,1.35,0.0,0.0,8.0,9,1.0488328808593752,False,REGULAR,USD,CARR,0,2025-05-16,2025-04-23 13:01:24.335786,59.540000915527344
CARR250516P00045000,2025-04-08 13:46:12+00:00,45.0,0.5,0.05,1.35,0.0,0.0,,3,0.91992267578125,False,REGULAR,USD,CARR,0,2025-05-16,2025-04-23 13:01:24.335786,59.540000915527344
CARR250516P00047500,2025-04-21 19:27:42+00:00,47.5,0.5,0.2,0.4,0.0,0.0,9.0,19,0.622074091796875,False,REGULAR,USD,CARR,0,2025-05-16,2025-04-23 13:01:24.335786,59.540000915527344
CARR250516P00050000,2025-04-22 17:16:03+00:00,50.0,0.47,0.4,0.5,0.0,0.0,10.0,346,0.569340244140625,False,REGULAR,USD,CARR,0,2025-05-16,2025-04-23 13:01:24.335786,59.540000915527344
CARR250516P00052500,2025-04-23 14:44:15+00:00,52.5,0.53,0.65,0.9,-0.27000004,-33.750004,1.0,120,0.5429733203125001,False,REGULAR,USD,CARR,0,2025-05-16,2025-04-23 13:01:24.335786,59.540000915527344
CARR250516P00055000,2025-04-23 16:30:49+00:00,55.0,1.11,1.1,1.2,-0.13999999,-10.526314,37.0,503,0.500005,False,REGULAR,USD,CARR,0,2025-05-16,2025-04-23 13:01:24.335786,59.540000915527344
CARR250516P00057500,2025-04-22 18:30:57+00:00,57.5,1.4,1.85,2.0,-0.65,-31.707317,1.0,183,0.4858449853515625,False,REGULAR,USD,CARR,0,2025-05-16,2025-04-23 13:01:24.335786,59.540000915527344
CARR250516P00060000,2025-04-23 15:36:16+00:00,60.0,2.57,2.85,3.0,-0.3800001,-12.88136,107.0,135,0.4523980541992188,True,REGULAR,USD,CARR,0,2025-05-16,2025-04-23 13:01:24.335786,59.540000915527344
CARR250516P00062500,2025-04-17 16:00:03+00:00,62.5,3.9,4.2,4.5,-0.52999973,-11.963877,1.0,175,0.44434149414062496,True,REGULAR,USD,CARR,0,2025-05-16,2025-04-23 13:01:24.335786,59.540000915527344
CARR250516P00065000,2025-04-22 17:26:05+00:00,65.0,5.3,6.0,6.3,-1.2999997,-19.696966,1.0,233,0.4321345849609375,True,REGULAR,USD,CARR,0,2025-05-16,2025-04-23 13:01:24.335786,59.540000915527344
CARR250516P00067500,2025-04-22 17:08:02+00:00,67.5,8.4,8.3,8.5,0.0,0.0,2.0,53,0.45703667968750006,True,REGULAR,USD,CARR,0,2025-05-16,2025-04-23 13:01:24.335786,59.540000915527344
CARR250516P00070000,2025-04-09 17:25:26+00:00,70.0,11.6,9.6,11.3,0.0,0.0,2.0,10,0.624027197265625,True,REGULAR,USD,CARR,0,2025-05-16,2025-04-23 13:01:24.335786,59.540000915527344
CARR250620C00030000,2024-12-16 05:05:24+00:00,30.0,45.0,49.9,54.1,0.0,0.0,1.0,0,6.63769701538086,True,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00035000,2025-04-04 13:31:08+00:00,35.0,24.3,23.3,26.5,0.0,0.0,2.0,2,0.831056376953125,True,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00040000,2025-04-03 18:20:56+00:00,40.0,21.5,19.3,21.8,0.0,0.0,2.0,2,0.8530288134765626,True,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00042500,2025-04-09 16:45:46+00:00,42.5,14.4,16.9,19.3,0.0,0.0,,2,0.764650791015625,True,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00045000,2025-04-01 18:09:58+00:00,45.0,18.3,14.6,16.3,0.0,0.0,1.0,1,0.6352575537109376,True,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00047500,2025-04-22 16:20:07+00:00,47.5,12.9,12.1,12.7,0.0,0.0,7.0,10,0.49170430175781255,True,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00050000,2025-04-23 15:23:04+00:00,50.0,11.0,10.4,10.8,0.6000004,5.7692347,11.0,17,0.5161181201171875,True,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00052500,2025-04-16 18:00:06+00:00,52.5,8.5,8.3,8.6,0.0,0.0,1.0,16,0.4650932397460938,True,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00055000,2025-04-22 19:53:44+00:00,55.0,7.1,6.4,6.8,0.5499997,8.396941,20.0,45,0.4514215014648438,True,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00057500,2025-04-23 15:23:03+00:00,57.5,5.2,4.7,5.0,0.19999981,3.9999962,1.0,52,0.4155331884765625,True,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00060000,2025-04-22 18:23:59+00:00,60.0,3.5,3.3,3.7,0.0,0.0,3.0,300,0.40991801025390623,False,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00062500,2025-04-23 13:56:49+00:00,62.5,2.65,2.2,2.4,0.10000014,3.9215744,8.0,487,0.3776917700195312,False,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00065000,2025-04-23 15:29:08+00:00,65.0,1.6,1.35,1.55,0.07000005,4.5751667,1007.0,637,0.3657289990234375,False,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00067500,2025-04-23 15:06:38+00:00,67.5,0.97,0.8,0.95,0.07000005,7.777784,10.0,552,0.35596347167968745,False,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00070000,2025-04-23 16:10:34+00:00,70.0,0.53,0.45,0.55,-0.02000004,-3.636371,6.0,3316,0.34766277343749996,False,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00072500,2025-04-23 14:51:54+00:00,72.5,0.32,0.25,0.35,0.01999998,6.66666,8.0,9310,0.3530338134765625,False,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00075000,2025-04-23 15:44:16+00:00,75.0,0.2,0.15,0.25,-0.030000001,-13.043478,3.0,1539,0.367193828125,False,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00077500,2025-04-15 19:35:58+00:00,77.5,0.2,0.0,0.7,0.0,0.0,255.0,4760,0.5200243310546875,False,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00080000,2025-04-21 15:30:13+00:00,80.0,0.25,0.0,1.25,0.0,0.0,1.0,1824,0.5463912548828126,False,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00082500,2025-04-04 13:30:02+00:00,82.5,0.2,0.0,1.25,0.0,0.0,2.0,157,0.5864299169921875,False,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00085000,2025-04-17 15:53:05+00:00,85.0,0.1,0.05,0.3,0.0,0.0,2.0,3653,0.5312546875,False,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00087500,2025-03-07 16:10:51+00:00,87.5,0.3,0.0,0.0,0.0,0.0,1.0,278,0.2500075,False,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00090000,2025-04-04 16:58:47+00:00,90.0,0.05,0.0,1.35,0.0,0.0,2.0,967,0.7075224560546876,False,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00095000,2025-02-10 20:52:51+00:00,95.0,1.04,0.05,1.0,0.0,0.0,3.0,997,0.7319362744140624,False,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00100000,2025-03-19 19:18:19+00:00,100.0,0.35,0.0,0.35,0.0,0.0,1.0,4357,0.648441015625,False,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620C00105000,2024-11-27 15:03:24+00:00,105.0,0.7,0.0,1.35,0.0,0.0,,50,0.8906260937499999,False,REGULAR,USD,CARR,1,2025-06-20,2025-04-23 13:01:24.390012,59.540000915527344
CARR250620P00030000,2025-04-04 19:13:50+00:00,30.0,0.15,0.0,1.35,0.0,0.0,37.0,28,1.189457177734375,False,REGULAR,USD,CARR,0,2025-06-20,2025-04-23 13:01:24.392017,59.540000915527344
CARR250620P00037500,2024-12-16 05:05:25+00:00,37.5,0.6,0.0,5.0,0.0,0.0,52.0,14,1.3002964672851558,False,REGULAR,USD,CARR,0,2025-06-20,2025-04-23 13:01:24.392017,59.540000915527344
CARR250620P00040000,2025-04-04 19:13:50+00:00,40.0,0.6,0.0,0.95,0.0,0.0,37.0,56,0.6962920996093751,False,REGULAR,USD,CARR,0,2025-06-20,2025-04-23 13:01:24.392017,59.540000915527344
CARR250620P00042500,2025-04-21 19:08:10+00:00,42.5,0.5,0.3,0.4,0.0,0.0,1.0,13,0.5664105859375,False,REGULAR,USD,CARR,0,2025-06-20,2025-04-23 13:01:24.392017,59.540000915527344
CARR250620P00045000,2025-04-23 14:42:21+00:00,45.0,0.35,0.45,0.55,-0.08000001,-18.604652,15.0,38,0.534184345703125,False,REGULAR,USD,CARR,0,2025-06-20,2025-04-23 13:01:24.392017,59.540000915527344
CARR250620P00047500,2025-04-22 18:24:11+00:00,47.5,0.75,0.6,0.75,0.0,0.0,5.0,36,0.5117236328125,False,REGULAR,USD,CARR,0,2025-06-20,2025-04-23 13:01:24.392017,59.540000915527344
