contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CBRE250516C00110000,2025-04-23 15:01:50+00:00,110.0,16.1,13.8,15.7,5.9000006,57.843143,177.0,2.0,0.5100146655273439,1.0,REGULAR,USD,CBRE,1,2025-05-16,2025-04-23 13:01:27.414223,123.11000061035156
CBRE250516C00115000,2025-04-23 15:02:33+00:00,115.0,11.68,10.3,11.5,4.3700004,59.781128,1787.0,1824.0,0.5488326367187502,1.0,REGULAR,USD,CBRE,1,2025-05-16,2025-04-23 13:01:27.414223,123.11000061035156
CBRE250516C00120000,2025-04-23 15:23:11+00:00,120.0,7.1,6.6,7.8,2.1999998,44.897957,85.0,101.0,0.4924367163085938,1.0,REGULAR,USD,CBRE,1,2025-05-16,2025-04-23 13:01:27.414223,123.11000061035156
CBRE250516C00125000,2025-04-23 15:02:33+00:00,125.0,4.51,4.3,4.8,2.2400002,98.67843,1779.0,1904.0,0.4489801196289062,0.0,REGULAR,USD,CBRE,1,2025-05-16,2025-04-23 13:01:27.414223,123.11000061035156
CBRE250516C00130000,2025-04-23 15:02:33+00:00,130.0,3.09,2.05,2.8,2.3999999,347.82605,1777.0,38.0,0.43140217041015627,0.0,REGULAR,USD,CBRE,1,2025-05-16,2025-04-23 13:01:27.414223,123.11000061035156
CBRE250516C00135000,2025-04-21 17:03:34+00:00,135.0,0.3,0.95,1.25,0.0,0.0,3.0,156.0,0.39087523193359375,0.0,REGULAR,USD,CBRE,1,2025-05-16,2025-04-23 13:01:27.414223,123.11000061035156
CBRE250516C00140000,2025-04-23 15:58:38+00:00,140.0,0.48,0.4,0.65,-0.03999999,-7.692306,1776.0,7.0,0.3957579956054688,0.0,REGULAR,USD,CBRE,1,2025-05-16,2025-04-23 13:01:27.414223,123.11000061035156
CBRE250516C00145000,2025-04-17 17:32:53+00:00,145.0,0.2,0.0,2.3,0.0,0.0,1.0,499.0,0.5507857421875001,0.0,REGULAR,USD,CBRE,1,2025-05-16,2025-04-23 13:01:27.414223,123.11000061035156
CBRE250516C00150000,2025-03-26 17:18:38+00:00,150.0,1.47,0.0,1.4,0.0,0.0,,4.0,0.5498091894531252,0.0,REGULAR,USD,CBRE,1,2025-05-16,2025-04-23 13:01:27.414223,123.11000061035156
CBRE250516C00155000,2025-03-26 17:18:38+00:00,155.0,0.86,0.0,1.4,0.0,0.0,,4.0,0.6157264990234376,0.0,REGULAR,USD,CBRE,1,2025-05-16,2025-04-23 13:01:27.414223,123.11000061035156
CBRE250516C00160000,2025-03-26 15:05:56+00:00,160.0,0.42,0.0,1.35,0.0,0.0,,1.0,0.6723665576171877,0.0,REGULAR,USD,CBRE,1,2025-05-16,2025-04-23 13:01:27.414223,123.11000061035156
CBRE250516P00080000,2025-04-17 19:22:00+00:00,80.0,0.17,0.0,1.4,0.0,0.0,1.0,1.0,1.0791061669921875,0.0,REGULAR,USD,CBRE,0,2025-05-16,2025-04-23 13:01:27.415225,123.11000061035156
CBRE250516P00095000,2025-04-14 18:25:48+00:00,95.0,1.14,0.0,1.6,0.0,0.0,1.0,31.0,0.7382838671874999,0.0,REGULAR,USD,CBRE,0,2025-05-16,2025-04-23 13:01:27.415225,123.11000061035156
CBRE250516P00100000,2025-04-16 15:22:18+00:00,100.0,1.09,0.35,0.9,0.0,0.0,2.0,1784.0,0.5844768115234374,0.0,REGULAR,USD,CBRE,0,2025-05-16,2025-04-23 13:01:27.415225,123.11000061035156
CBRE250516P00105000,2025-04-22 19:50:54+00:00,105.0,0.9,0.7,2.1,-0.9,-50.0,5.0,311.0,0.6054726953125001,0.0,REGULAR,USD,CBRE,0,2025-05-16,2025-04-23 13:01:27.415225,123.11000061035156
CBRE250516P00110000,2025-04-23 15:58:38+00:00,110.0,1.67,1.1,1.9,-1.5000001,-47.318615,16.0,127.0,0.541264353027344,0.0,REGULAR,USD,CBRE,0,2025-05-16,2025-04-23 13:01:27.415225,123.11000061035156
CBRE250516P00115000,2025-04-22 17:06:13+00:00,115.0,2.0,0.7,2.85,-1.6700001,-45.504086,5.0,98.0,0.4982960327148438,0.0,REGULAR,USD,CBRE,0,2025-05-16,2025-04-23 13:01:27.415225,123.11000061035156
CBRE250516P00120000,2025-04-22 16:17:56+00:00,120.0,5.9,3.7,4.8,0.0,0.0,2.0,137.0,0.5015918981933594,0.0,REGULAR,USD,CBRE,0,2025-05-16,2025-04-23 13:01:27.415225,123.11000061035156
CBRE250516P00125000,2025-04-23 15:26:55+00:00,125.0,6.34,5.9,6.9,-2.3599997,-27.126434,5.0,56.0,0.46582565429687506,1.0,REGULAR,USD,CBRE,0,2025-05-16,2025-04-23 13:01:27.415225,123.11000061035156
CBRE250516P00130000,2025-04-10 14:51:53+00:00,130.0,14.65,9.0,10.0,0.0,0.0,4.0,71.0,0.4583794396972657,1.0,REGULAR,USD,CBRE,0,2025-05-16,2025-04-23 13:01:27.415225,123.11000061035156
CBRE250516P00135000,2025-04-23 15:23:11+00:00,135.0,13.3,13.0,13.9,-11.7,-46.8,2.0,29.0,0.4726615234375,1.0,REGULAR,USD,CBRE,0,2025-05-16,2025-04-23 13:01:27.415225,123.11000061035156
CBRE250620C00080000,2024-12-16 05:06:55+00:00,80.0,55.48,57.4,62.0,0.0,0.0,,3.0,2.178959630737304,1.0,REGULAR,USD,CBRE,1,2025-06-20,2025-04-23 13:01:27.475383,123.11000061035156
CBRE250620C00085000,2025-04-04 14:45:31+00:00,85.0,32.4,36.8,40.7,0.0,0.0,1.0,1.0,0.5952188916015625,1.0,REGULAR,USD,CBRE,1,2025-06-20,2025-04-23 13:01:27.475383,123.11000061035156
