contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CB250516C00200000,2024-12-16 16:29:39+00:00,200.0,79.7,75.8,79.6,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00210000,2025-02-24 20:21:22+00:00,210.0,64.9,86.1,89.3,0.0,0.0,6.0,0,1.6651628070068363,True,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00225000,2024-12-16 05:07:27+00:00,225.0,64.9,55.5,58.2,0.0,0.0,,1,0.43897045410156255,True,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00230000,2025-04-08 19:10:36+00:00,230.0,50.5,52.6,55.0,0.0,0.0,4.0,25,0.5122119091796875,True,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00235000,2024-12-16 05:07:27+00:00,235.0,55.51,46.6,49.9,0.0,0.0,,1,0.5782512878417969,True,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00240000,2025-03-04 17:24:49+00:00,240.0,50.65,0.0,0.0,0.0,0.0,1.0,5,1.0000000000000003e-05,True,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00245000,2025-03-20 16:35:17+00:00,245.0,50.5,41.1,43.9,0.0,0.0,3.0,11,0.64062859375,True,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00250000,2025-04-07 15:15:42+00:00,250.0,32.6,32.8,35.7,0.0,0.0,1.0,207,0.4818167053222656,True,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00255000,2025-04-17 17:20:19+00:00,255.0,33.64,27.9,30.9,0.0,0.0,2.0,65,0.4401911450195312,True,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00260000,2025-04-23 14:23:47+00:00,260.0,27.7,23.9,26.4,-3.3999996,-10.932475,1.0,206,0.41138283935546877,True,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00265000,2025-04-22 15:24:40+00:00,265.0,25.3,20.1,21.4,0.0,0.0,1.0,277,0.35425450439453116,True,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00270000,2025-04-22 19:36:23+00:00,270.0,23.85,16.0,16.9,0.0,0.0,2.0,98,0.3166572241210937,True,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00275000,2025-04-22 19:36:23+00:00,275.0,20.05,12.1,12.9,0.0,0.0,4.0,103,0.29114478393554677,True,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00280000,2025-04-23 15:26:07+00:00,280.0,10.1,9.0,9.8,-6.699999,-39.880947,7.0,186,0.28565167480468745,True,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00285000,2025-04-23 16:20:09+00:00,285.0,6.1,6.2,7.2,-6.9,-53.076923,62.0,471,0.28125718749999995,False,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00290000,2025-04-23 15:19:29+00:00,290.0,4.4,4.0,4.5,-5.6,-56.0,13.0,182,0.2556837127685547,False,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00295000,2025-04-23 15:38:13+00:00,295.0,2.39,2.35,2.8,-5.05,-67.87634,43.0,1087,0.24652853088378907,False,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00300000,2025-04-23 14:26:57+00:00,300.0,1.7,1.2,1.55,-3.0199997,-63.983047,11.0,427,0.23499300170898438,False,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00305000,2025-04-23 14:12:16+00:00,305.0,0.82,0.5,0.85,-2.21,-72.937294,24.0,697,0.23072058349609376,False,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00310000,2025-04-23 14:22:30+00:00,310.0,0.46,0.3,0.45,-1.4,-75.268814,32.0,539,0.22876747802734376,False,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00315000,2025-04-23 16:13:45+00:00,315.0,0.21,0.1,0.25,-0.79,-72.47706,5.0,261,0.231452998046875,False,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00320000,2025-04-23 16:04:00+00:00,320.0,0.25,0.0,0.25,-0.16999999,-40.47619,7.0,516,0.25879647460937505,False,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00325000,2025-04-22 19:40:28+00:00,325.0,0.3,0.05,0.75,0.0,0.0,7.0,194,0.35278967529296873,False,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00330000,2025-04-22 19:50:56+00:00,330.0,0.36,0.0,0.75,0.23000002,176.9231,1.0,73,0.38233039550781245,False,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00335000,2025-04-21 13:30:06+00:00,335.0,0.1,0.0,0.75,0.0,0.0,1.0,32,0.41089456298828125,False,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00340000,2025-04-03 14:54:53+00:00,340.0,2.2,0.0,1.35,0.0,0.0,1.0,15,0.49927258544921876,False,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00345000,2025-04-07 15:18:08+00:00,345.0,0.1,0.0,0.95,0.0,0.0,10.0,20,0.4887746435546876,False,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00350000,2025-03-31 19:58:07+00:00,350.0,0.2,0.0,0.25,0.0,0.0,1.0,15,0.4062559375,False,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00360000,2024-12-16 05:07:28+00:00,360.0,1.8,0.2,1.0,0.0,0.0,,1,0.5202684692382812,False,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00370000,2024-11-25 14:30:06+00:00,370.0,0.7,0.0,1.6,0.0,0.0,3.0,4,0.5974161352539062,False,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516C00375000,2025-04-22 13:32:36+00:00,375.0,0.01,0.0,1.3,0.0,0.0,5.0,8,0.5981485498046876,False,REGULAR,USD,CB,1,2025-05-16,2025-04-23 13:01:38.842712,282.9800109863281
CB250516P00160000,2025-02-26 17:11:57+00:00,160.0,0.13,0.0,0.85,0.0,0.0,,2,1.080571003417969,False,REGULAR,USD,CB,0,2025-05-16,2025-04-23 13:01:38.843714,282.9800109863281
