contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CCL250425C00010000,2025-04-11 18:17:14+00:00,10.0,7.7,8.45,8.6,0.0,0.0,,14,1.0000000000000003e-05,True,REGULAR,USD,CCL,1,2025-04-25,2025-04-23 13:01:23.132310,18.679899215698242
CCL250425C00011000,2025-03-24 13:51:15+00:00,11.0,9.95,7.5,7.6,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,CCL,1,2025-04-25,2025-04-23 13:01:23.132310,18.679899215698242
CCL250425C00012000,2025-04-22 14:08:27+00:00,12.0,5.6,6.55,6.65,0.0,0.0,5.0,49,1.0000000000000003e-05,True,REGULAR,USD,CCL,1,2025-04-25,2025-04-23 13:01:23.132310,18.679899215698242
CCL250425C00013000,2025-04-23 13:30:02+00:00,13.0,5.9,5.5,5.6,0.9500003,19.191927,1.0,22,1.0000000000000003e-05,True,REGULAR,USD,CCL,1,2025-04-25,2025-04-23 13:01:23.132310,18.679899215698242
CCL250425C00014000,2025-04-17 13:48:17+00:00,14.0,4.75,4.5,4.55,0.9000001,23.376625,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,CCL,1,2025-04-25,2025-04-23 13:01:23.132310,18.679899215698242
CCL250425C00014500,2025-04-23 14:17:52+00:00,14.5,4.43,4.05,4.15,1.3799999,45.2459,1.0,6,1.0000000000000003e-05,True,REGULAR,USD,CCL,1,2025-04-25,2025-04-23 13:01:23.132310,18.679899215698242
CCL250425C00015000,2025-04-17 19:10:16+00:00,15.0,3.9,3.5,3.55,0.9000001,30.000002,1.0,19,1.0000000000000003e-05,True,REGULAR,USD,CCL,1,2025-04-25,2025-04-23 13:01:23.132310,18.679899215698242
CCL250425C00015500,2025-04-23 15:16:55+00:00,15.5,3.4,3.0,3.1,0.84000015,32.812508,3.0,75,1.0000000000000003e-05,True,REGULAR,USD,CCL,1,2025-04-25,2025-04-23 13:01:23.132310,18.679899215698242
CCL250425C00016000,2025-04-23 15:32:12+00:00,16.0,2.77,2.61,2.8,0.81999993,42.051277,2.0,516,0.98437515625,True,REGULAR,USD,CCL,1,2025-04-25,2025-04-23 13:01:23.132310,18.679899215698242
CCL250425C00016500,2025-04-22 17:11:16+00:00,16.5,1.38,2.09,2.29,0.0,0.0,226.0,348,0.6875031250000001,True,REGULAR,USD,CCL,1,2025-04-25,2025-04-23 13:01:23.132310,18.679899215698242
CCL250425C00017000,2025-04-23 15:23:02+00:00,17.0,1.95,1.59,1.76,1.0600001,119.101135,51.0,260,0.8710950390625,True,REGULAR,USD,CCL,1,2025-04-25,2025-04-23 13:01:23.132310,18.679899215698242
CCL250425C00017500,2025-04-23 16:04:08+00:00,17.5,1.21,1.17,1.26,0.53000003,77.941185,123.0,663,0.5312546875,True,REGULAR,USD,CCL,1,2025-04-25,2025-04-23 13:01:23.132310,18.679899215698242
CCL250425C00018000,2025-04-23 16:07:53+00:00,18.0,0.75,0.75,0.78,0.36,92.30769,589.0,13702,0.507817421875,True,REGULAR,USD,CCL,1,2025-04-25,2025-04-23 13:01:23.132310,18.679899215698242
CCL250425C00018500,2025-04-23 15:51:01+00:00,18.5,0.44,0.41,0.43,0.26999998,158.8235,1567.0,6418,0.49414568359375005,True,REGULAR,USD,CCL,1,2025-04-25,2025-04-23 13:01:23.132310,18.679899215698242
CCL250425C00019000,2025-04-23 16:25:51+00:00,19.0,0.18,0.17,0.19,0.120000005,199.99998,1039.0,1680,0.476567734375,False,REGULAR,USD,CCL,1,2025-04-25,2025-04-23 13:01:23.132310,18.679899215698242
