contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CDNS250516C00155000,2025-02-19 15:00:01+00:00,155.0,120.0,106.9,110.1,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00175000,2024-12-16 05:08:41+00:00,175.0,85.3,133.5,138.3,0.0,0.0,,1,3.783081596984864,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00180000,2024-12-16 05:08:41+00:00,180.0,116.14,128.5,133.3,0.0,0.0,,0,3.640442793426514,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00185000,2025-04-16 17:20:15+00:00,185.0,78.1,80.6,83.9,0.0,0.0,1.0,1,0.8898936791992187,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00190000,2024-12-10 16:40:56+00:00,190.0,115.8,100.2,104.1,0.0,0.0,2.0,2,2.3953897537231446,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00195000,2025-04-07 14:22:10+00:00,195.0,47.5,71.0,74.0,0.0,0.0,,0,0.7983418603515625,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00200000,2025-04-10 14:24:05+00:00,200.0,58.5,65.9,68.9,0.0,0.0,10.0,12,0.7319362744140624,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00205000,2025-04-07 14:22:10+00:00,205.0,39.3,61.0,64.3,0.0,0.0,,1,0.7309597216796875,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00210000,2025-04-07 18:01:03+00:00,210.0,37.53,56.3,59.5,0.0,0.0,2.0,3,0.6998321032714845,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00215000,2025-04-01 19:36:32+00:00,215.0,46.1,51.4,54.7,0.0,0.0,3.0,5,0.6660189648437502,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00220000,2025-04-09 14:21:28+00:00,220.0,25.6,46.8,50.2,0.0,0.0,1.0,14,0.654544470214844,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00225000,2025-04-09 14:21:28+00:00,225.0,22.5,42.8,45.8,0.0,0.0,1.0,3,0.524418818359375,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00230000,2025-04-21 19:58:12+00:00,230.0,28.2,38.0,41.0,0.0,0.0,2.0,13,0.5982706188964844,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00235000,2025-04-17 18:57:02+00:00,235.0,32.05,34.4,37.0,0.0,0.0,10.0,32,0.5214891601562499,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00240000,2025-04-22 13:49:02+00:00,240.0,22.56,30.2,33.0,0.0,0.0,2.0,33,0.5152026019287108,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00245000,2025-04-22 17:01:58+00:00,245.0,22.8,26.8,28.8,0.0,0.0,1.0,58,0.513554669189453,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00250000,2025-04-23 14:38:42+00:00,250.0,27.22,22.6,25.4,11.119999,69.06831,5.0,220,0.5010425872802735,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00255000,2025-04-23 14:49:39+00:00,255.0,23.65,19.3,21.6,11.5,94.65021,3.0,63,0.5357102093505859,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00260000,2025-04-23 14:47:51+00:00,260.0,20.56,15.4,18.7,8.459999,69.91734,41.0,336,0.5367477966308594,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00265000,2025-04-22 19:33:58+00:00,265.0,17.15,13.5,15.5,7.6799994,81.0982,19.0,147,0.5164843273925781,True,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00270000,2025-04-23 14:47:46+00:00,270.0,14.25,11.2,12.1,6.72,89.24303,5.0,250,0.4794363580322265,False,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00275000,2025-04-23 14:06:26+00:00,275.0,11.4,8.8,9.8,5.7999997,103.571434,8.0,247,0.47192910888671874,False,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00280000,2025-04-22 19:54:41+00:00,280.0,8.8,7.1,7.7,4.3,95.555565,3.0,280,0.4606987524414063,False,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00285000,2025-04-23 15:46:22+00:00,285.0,6.15,5.1,6.1,3.0900002,100.98039,178.0,120,0.45752495605468757,False,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00290000,2025-04-23 15:38:44+00:00,290.0,5.1,4.1,4.5,2.8,121.739136,85.0,213,0.44275459594726563,False,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00295000,2025-04-23 14:41:28+00:00,295.0,3.49,2.65,3.6,1.58,82.72251,18.0,97,0.44824770507812495,False,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
CDNS250516C00300000,2025-04-23 15:47:57+00:00,300.0,2.63,2.35,4.4,1.2300001,87.857155,57.0,221,0.5330246893310546,False,REGULAR,USD,CDNS,1,2025-05-16,2025-04-23 13:01:16.325138,267.7799987792969
