contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CDW250516C00130000,2025-04-03 14:51:01+00:00,130.0,24.2,25.1,28.3,0.0,0.0,1.0,1,0.5854533642578125,True,REGULAR,USD,CDW,1,2025-05-16,2025-04-23 13:01:27.936344,155.48500061035156
CDW250516C00140000,2025-03-27 14:44:53+00:00,140.0,25.3,17.3,19.0,0.0,0.0,,1,0.5419967675781252,True,REGULAR,USD,CDW,1,2025-05-16,2025-04-23 13:01:27.936344,155.48500061035156
CDW250516C00145000,2025-04-03 14:44:46+00:00,145.0,13.4,13.2,16.3,0.0,0.0,1.0,1,0.5535933312988282,True,REGULAR,USD,CDW,1,2025-05-16,2025-04-23 13:01:27.936344,155.48500061035156
CDW250516C00150000,2025-04-22 18:48:12+00:00,150.0,13.0,10.1,12.0,4.7,56.6265,1.0,52,0.5130663928222656,True,REGULAR,USD,CDW,1,2025-05-16,2025-04-23 13:01:27.936344,155.48500061035156
CDW250516C00155000,2025-04-22 14:52:53+00:00,155.0,5.5,7.3,8.2,0.0,0.0,1.0,24,0.5012256909179689,True,REGULAR,USD,CDW,1,2025-05-16,2025-04-23 13:01:27.936344,155.48500061035156
CDW250516C00160000,2025-04-21 19:59:17+00:00,160.0,7.1,5.0,5.7,4.06,133.55263,2.0,12,0.4804739453125,False,REGULAR,USD,CDW,1,2025-05-16,2025-04-23 13:01:27.936344,155.48500061035156
CDW250516C00165000,2025-04-22 16:32:56+00:00,165.0,2.33,3.0,3.7,0.0,0.0,3.0,16,0.4591118542480469,False,REGULAR,USD,CDW,1,2025-05-16,2025-04-23 13:01:27.936344,155.48500061035156
CDW250516C00170000,2025-04-15 19:07:34+00:00,170.0,2.47,1.6,2.15,0.6700001,37.22223,1.0,10,0.432622861328125,False,REGULAR,USD,CDW,1,2025-05-16,2025-04-23 13:01:27.936344,155.48500061035156
CDW250516C00175000,2025-04-21 13:59:31+00:00,175.0,0.65,0.0,1.8,0.0,0.0,12.0,21,0.47803256347656253,False,REGULAR,USD,CDW,1,2025-05-16,2025-04-23 13:01:27.936344,155.48500061035156
CDW250516C00180000,2025-04-17 19:08:18+00:00,180.0,0.4,0.05,0.95,0.0,0.0,2.0,30,0.45166563964843753,False,REGULAR,USD,CDW,1,2025-05-16,2025-04-23 13:01:27.936344,155.48500061035156
CDW250516C00185000,2025-04-09 17:25:25+00:00,185.0,1.0,0.0,0.75,0.0,0.0,3.0,21,0.4809622216796875,False,REGULAR,USD,CDW,1,2025-05-16,2025-04-23 13:01:27.936344,155.48500061035156
CDW250516C00190000,2025-04-02 19:06:17+00:00,190.0,0.69,0.0,0.75,0.0,0.0,2.0,2,0.5344284838867188,False,REGULAR,USD,CDW,1,2025-05-16,2025-04-23 13:01:27.936344,155.48500061035156
CDW250516C00195000,2025-03-25 15:49:18+00:00,195.0,0.7,0.0,0.1,0.0,0.0,34.0,68,0.40918559570312496,False,REGULAR,USD,CDW,1,2025-05-16,2025-04-23 13:01:27.936344,155.48500061035156
CDW250516P00115000,2025-04-04 15:52:07+00:00,115.0,2.0,0.0,0.9,0.0,0.0,13.0,13,0.6972686523437501,False,REGULAR,USD,CDW,0,2025-05-16,2025-04-23 13:01:27.938348,155.48500061035156
CDW250516P00120000,2025-04-21 13:58:00+00:00,120.0,0.7,0.0,1.6,0.0,0.0,3.0,3,0.6970245141601563,False,REGULAR,USD,CDW,0,2025-05-16,2025-04-23 13:01:27.938348,155.48500061035156
CDW250516P00125000,2025-04-09 17:39:56+00:00,125.0,2.12,0.25,1.9,0.0,0.0,9.0,26,0.6567417138671876,False,REGULAR,USD,CDW,0,2025-05-16,2025-04-23 13:01:27.938348,155.48500061035156
CDW250516P00130000,2025-04-15 19:07:34+00:00,130.0,2.0,0.45,2.35,0.0,0.0,2.0,45,0.6108437353515627,False,REGULAR,USD,CDW,0,2025-05-16,2025-04-23 13:01:27.938348,155.48500061035156
CDW250516P00135000,2025-04-16 18:18:04+00:00,135.0,3.6,1.5,2.05,0.0,0.0,3.0,26,0.5589643713378907,False,REGULAR,USD,CDW,0,2025-05-16,2025-04-23 13:01:27.938348,155.48500061035156
CDW250516P00140000,2025-04-23 14:24:03+00:00,140.0,1.8,2.5,2.95,-1.6000001,-47.058826,1.0,76,0.5473678076171876,False,REGULAR,USD,CDW,0,2025-05-16,2025-04-23 13:01:27.938348,155.48500061035156
CDW250516P00145000,2025-04-23 15:20:08+00:00,145.0,3.19,3.9,4.3,-1.8800001,-37.080868,11.0,69,0.5415084912109377,False,REGULAR,USD,CDW,0,2025-05-16,2025-04-23 13:01:27.938348,155.48500061035156
CDW250516P00150000,2025-04-23 14:24:03+00:00,150.0,3.67,5.4,6.1,-3.33,-47.57143,1.0,133,0.52539537109375,False,REGULAR,USD,CDW,0,2025-05-16,2025-04-23 13:01:27.938348,155.48500061035156
CDW250516P00155000,2025-04-23 14:24:03+00:00,155.0,5.74,7.2,8.2,-8.83,-60.60398,1.0,21,0.5003712072753908,False,REGULAR,USD,CDW,0,2025-05-16,2025-04-23 13:01:27.938348,155.48500061035156
CDW250516P00160000,2025-04-16 17:48:00+00:00,160.0,14.35,9.7,10.5,0.0,0.0,1.0,31,0.49878430908203125,True,REGULAR,USD,CDW,0,2025-05-16,2025-04-23 13:01:27.938348,155.48500061035156
CDW250516P00165000,2025-04-03 17:46:32+00:00,165.0,15.1,11.0,13.9,0.0,0.0,5.0,28,0.5061084545898438,True,REGULAR,USD,CDW,0,2025-05-16,2025-04-23 13:01:27.938348,155.48500061035156
CDW250516P00170000,2025-04-08 19:08:36+00:00,170.0,24.85,15.6,18.2,0.0,0.0,1.0,2,0.5518843640136719,True,REGULAR,USD,CDW,0,2025-05-16,2025-04-23 13:01:27.938348,155.48500061035156
CDW250516P00175000,2025-04-01 19:37:01+00:00,175.0,15.8,19.1,22.6,0.0,0.0,1.0,2,0.5893595751953126,True,REGULAR,USD,CDW,0,2025-05-16,2025-04-23 13:01:27.938348,155.48500061035156
CDW250516P00180000,2025-03-25 19:35:42+00:00,180.0,13.75,24.1,26.1,0.0,0.0,,1,0.52539537109375,True,REGULAR,USD,CDW,0,2025-05-16,2025-04-23 13:01:27.938348,155.48500061035156
CDW250516P00185000,2025-04-04 19:40:59+00:00,185.0,40.08,28.6,32.2,0.0,0.0,1.0,0,0.5012256909179689,True,REGULAR,USD,CDW,0,2025-05-16,2025-04-23 13:01:27.938348,155.48500061035156
CDW250620C00130000,2025-04-02 18:44:37+00:00,130.0,36.0,26.3,28.7,0.0,0.0,1.0,1,0.5195360546875,True,REGULAR,USD,CDW,1,2025-06-20,2025-04-23 13:01:27.992491,155.48500061035156
CDW250620C00135000,2025-04-08 13:43:42+00:00,135.0,22.58,22.7,25.5,0.0,0.0,,3,0.5478560839843751,True,REGULAR,USD,CDW,1,2025-06-20,2025-04-23 13:01:27.992491,155.48500061035156
CDW250620C00140000,2025-04-08 13:47:29+00:00,140.0,18.95,19.1,21.7,0.0,0.0,,0,0.5270433038330078,True,REGULAR,USD,CDW,1,2025-06-20,2025-04-23 13:01:27.992491,155.48500061035156
