contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,option_type,expiration,timestamp,underlying_price
CEG250425C00145000,2025-03-14 18:38:41+00:00,145.0,70.4,0.0,0.0,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00150000,2025-04-16 15:06:08+00:00,150.0,55.13,57.6,61.2,0.0,0.0,6.0,6,2.269535576171875,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00155000,2025-04-16 15:25:51+00:00,155.0,51.18,52.7,56.2,0.0,0.0,5.0,6,2.0859422851562495,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00157500,2025-04-22 15:08:04+00:00,157.5,41.25,50.8,53.9,0.0,0.0,10.0,10,2.0986375659179686,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00160000,2025-04-23 16:07:45+00:00,160.0,51.68,48.1,51.4,10.360001,25.072605,2.0,36,2.0058643603515627,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00165000,2025-04-15 13:48:23+00:00,165.0,46.8,43.4,46.4,0.0,0.0,1.0,17,1.8232430712890624,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00170000,2025-04-17 19:00:15+00:00,170.0,38.95,37.9,41.3,0.0,0.0,3.0,40,1.6015644921874999,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00172500,2025-04-17 17:07:09+00:00,172.5,36.0,35.6,38.8,0.0,0.0,2.0,2,1.5136743066406249,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00175000,2025-04-21 15:55:47+00:00,175.0,16.27,32.8,36.4,0.0,0.0,2.0,20,1.4658229833984375,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00177500,2025-04-17 16:04:53+00:00,177.5,29.35,30.9,33.9,0.0,0.0,2.0,3,1.3779327978515623,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00180000,2025-04-23 15:32:12+00:00,180.0,32.5,28.3,31.2,14.200001,77.59564,6.0,25,1.2172890698242185,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00182500,2025-04-21 15:25:00+00:00,182.5,30.39,26.1,29.0,18.939999,165.41483,1.0,3,1.2353553857421873,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00185000,2025-04-22 14:31:27+00:00,185.0,27.65,23.5,26.5,13.45,94.71831,2.0,10,1.1464886425781249,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00187500,2025-04-21 15:25:27+00:00,187.5,25.2,21.2,24.1,17.230001,216.18573,1.0,19,1.0859420703125,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00190000,2025-04-23 15:47:31+00:00,190.0,22.6,18.9,21.5,12.1,115.2381,10.0,327,0.9682620361328125,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00192500,2025-04-23 14:12:16+00:00,192.5,22.0,16.0,19.5,11.2,103.703705,6.0,20,0.99804689453125,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00195000,2025-04-23 14:15:57+00:00,195.0,18.0,13.9,17.0,9.0,100.0,7.0,51,0.9003916210937499,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00197500,2025-04-22 19:41:00+00:00,197.5,18.18,12.6,15.2,11.38,167.35294,23.0,79,0.6733431103515627,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00200000,2025-04-23 14:10:15+00:00,200.0,15.55,10.3,12.7,9.55,159.16667,11.0,133,0.6020547607421877,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00202500,2025-04-23 15:23:05+00:00,202.5,11.2,9.4,10.7,7.7,220.0,5.0,33,0.6875031250000001,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00205000,2025-04-23 15:25:30+00:00,205.0,8.6,7.3,8.5,5.3900003,167.9128,36.0,261,0.6237830590820312,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00207500,2025-04-23 13:51:17+00:00,207.5,7.95,4.9,7.1,5.45,218.0,25.0,363,0.5786174951171875,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00210000,2025-04-23 15:42:13+00:00,210.0,4.65,4.2,5.4,3.02,185.27606,78.0,199,0.6020547607421877,True,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
CEG250425C00212500,2025-04-23 15:01:35+00:00,212.5,5.6,3.3,4.0,4.52,418.51855,16.0,135,0.6022988989257814,False,REGULAR,USD,CEG,1,2025-04-25,2025-04-23 13:02:00.637491,210.44000244140625
